Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
the Americans and Free French forces	French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them	0.1739130434782609	Americans Free French forces	French people made peace Germans 1940 worked invaders instead fighting	0.14285714285714288	0
radar	radar	1.0	radar	radar	1.0	1
shooting	shooting range	0.6666666666666666	shooting	shooting range	0.6666666666666666	0
the British captured the Italian Tenth Army's Engineer-in-Chief	General Lastucci	0.0	British captured Italian Tenth Army 's Engineer-in-Chief	General Lastucci	0.0	0
in Tobruk	Tobruk	0.6666666666666666	Tobruk	Tobruk	1.0	1
Jai Shankar Choudhary	Sanju Sharma	0.0	Jai Shankar Choudhary	Sanju Sharma	0.0	0
Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou	Whirling Dervishes	0.0	Sezen Aksu performed Italian tenor Alessandro Safina Greek singer Haris Alexiou	Whirling Dervishes	0.0	0
Italian	Italian	1.0	Italian	Italian	1.0	1
in Tonga	Tonga	0.6666666666666666	Tonga	Tonga	1.0	1
when he slowed down to 160km/h	The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is	0.064516129032258	slowed 160km/h	New Zealand police trouble using speed radar guns see fast Mr Reid going low Black Beauty	0.0	0
about 65 km (40 miles) south of Butte	65 km (40 miles) south	0.7692307692307693	65 km ( 40 miles ) south Butte	65 km ( 40 miles ) south	0.9090909090909091	0
Abu Ghraib prison has been set alight	prison has been set alight	0.8333333333333333	Abu Ghraib prison set alight	prison set alight	0.7499999999999999	0
prisoner abuse was discovered	Abu Ghraib	0.0	prisoner abuse discovered	Abu Ghraib	0.0	0
protesters	protesters from the south	0.5	protesters	protesters south	0.6666666666666666	0
Bishkek residents	Several Bishkek residents	0.8	Bishkek residents	Several Bishkek residents	0.8	0
2013	2013 appearance in a Shark Tank episode	0.2857142857142857	2013	2013 appearance Shark Tank episode	0.33333333333333337	0
when his doorbell wasn't audible from his shop in his garage	2013 appearance in a Shark Tank episode where the show panel declined funding the startup. In late 2017	0.0769230769230769	doorbell n't audible shop garage	2013 appearance Shark Tank episode show panel declined funding startup . late 2017	0.0	0
books	recommendations for books that children should look for when they went to their library	0.1333333333333333	books	recommendations books children look went library	0.2857142857142857	0
the funding crunch and a shift in the philosophy of educational television programming	funding crunch and a shift in the philosophy of educational television programming	1.0	funding crunch shift philosophy educational television programming	funding crunch shift philosophy educational television programming	1.0	1
Polish government	Poland	0.0	Polish government	Poland	0.0	0
four	four	1.0	four	four	1.0	1
Apple	Japan's Ministry of Economy, Trade and Industry	0.0	Apple	Japan 's Ministry Economy , Trade Industry	0.0	0
the phone	Today Apple is going to reinvent the phone	0.25	phone	Today Apple going reinvent phone	0.33333333333333337	0
unveiled the device	Apple is going to reinvent the phone	0.0	unveiled device	Apple going reinvent phone	0.0	0
her presidential candidacy	her intention to run for president	0.2222222222222222	presidential candidacy	intention run president	0.0	0
in La Plata	yesterday evening	0.0	La Plata	yesterday evening	0.0	0
had not breached online content censorship laws	Big Brother had not breached online content censorship laws	0.8750000000000001	breached online content censorship laws	Big Brother breached online content censorship laws	0.8333333333333333	0
physically reside on a server	it must physically reside on a server	0.8	physically reside server	must physically reside server	0.8571428571428571	0
John Howard	Peter Costello	0.0	John Howard	Peter Costello	0.0	0
Maciej Krezel	South Korea's Jong Seork Park	0.0	Maciej Krezel	South Korea 's Jong Seork Park	0.0	0
Finland	Netherlands	0.0	Finland	Netherlands	0.0	0
53	53	1.0	53	53	1.0	1
Manchester City	Manchester City	1.0	Manchester City	Manchester City	1.0	1
Jack Layton	Jack Layton	1.0	Jack Layton	Jack Layton	1.0	1
the state government and some federal MPs	Prime Minister John Howard	0.0	state government federal MPs	Prime Minister John Howard	0.0	0
crystals	crystals	1.0	crystals	crystals	1.0	1
crystals formed in cat urine	crystals formed in cat urine	1.0	crystals formed cat urine	crystals formed cat urine	1.0	1
Tommy Dreamer	Tommy Dreamer	1.0	Tommy Dreamer	Tommy Dreamer	1.0	1
" Dustin """"Goldust"""" Runnels"	"Dustin """"Goldust"""" Runnels"	1.0	Dustin `` '' Goldust '' '' Runnels	Dustin `` '' Goldust '' '' Runnels	1.0	1
to avoid the old path of polluting first and cleaning up later	cut carbon dioxide emissions per unit of GDP	0.1052631578947368	avoid old path polluting first cleaning later	cut carbon dioxide emissions per unit GDP	0.0	0
Ed Davey	Ed Davey	1.0	Ed Davey	Ed Davey	1.0	1
Norman Lamb	Norman Lamb	1.0	Norman Lamb	Norman Lamb	1.0	1
smoke cannabis joints	cannabis joints	0.8	smoke cannabis joints	cannabis joints	0.8	0
the performers	the performers	1.0	performers	performers	1.0	1
extravehicular activity (EVA)	cosmonaut No. 11	0.0	extravehicular activity ( EVA )	cosmonaut . 11	0.0	0
Apollo–Soyuz	Apollo–Soyuz mission	0.6666666666666666	Apollo–Soyuz	Apollo–Soyuz mission	0.6666666666666666	0
Liberal	fiscal conservatives	0.0	Liberal	fiscal conservatives	0.0	0
her mother	heavily medicated state	0.0	mother	heavily medicated state	0.0	0
in the trunk of her car	Blue Ash, Ohio	0.0	trunk car	Blue Ash , Ohio	0.0	0
Skype	diversify its profit sources	0.0	Skype	diversify profit sources	0.0	0
diversify its profit sources and gain popularity in areas where Skype holds a strong position	diversify its profit sources and gain popularity in areas where Skype holds a strong position	1.0	diversify profit sources gain popularity areas Skype holds strong position	diversify profit sources gain popularity areas Skype holds strong position	1.0	1
the dependency on oil	dependency on oil	1.0	dependency oil	dependency oil	1.0	1
a pre-printed sheet of paper indicating their candidate of choice into an envelope	an envelope	0.1666666666666666	pre-printed sheet paper indicating candidate choice envelope	envelope	0.25	0
a lifelong interest in the war	a lifelong interest in the war	1.0	lifelong interest war	lifelong interest war	1.0	1
the very high fatality rate	very high fatality rate	1.0	high fatality rate	high fatality rate	1.0	1
two	6,000	0.0	two	6,000	0.0	0
satellite-based technology	satellite-based	0.6666666666666666	satellite-based technology	satellite-based	0.6666666666666666	0
pinpoint aircraft with greater precision	satellite-based technology	0.0	pinpoint aircraft greater precision	satellite-based technology	0.0	0
devote 10 agents to adult pornography	focusing resources on cases which are easy to solve	0.1333333333333333	devote 10 agents adult pornography	focusing resources cases easy solve	0.0	0
rolled over	an airport fire vehicle rolled over	0.5714285714285715	rolled	airport fire vehicle rolled	0.4	0
to commercial flights	closing the airport to commercial flights	0.7499999999999999	commercial flights	closing airport commercial flights	0.6666666666666666	0
Carter	1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981	0.1	Carter	1976 selections advised Carter foreign policy , served National Security Advisor ( NSA ) 1977 1981	0.14285714285714288	0
Henry Kissinger	Brzezinski	0.0	Henry Kissinger	Brzezinski	0.0	0
second claw was larger	western claw	0.3333333333333333	second claw larger	western claw	0.4	0
the 1960s	French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II	0.0	1960s	French law changed . activism went back age 15 joined French Resistance World War II	0.0	0
in St. Peter's Square	Rome	0.0	St. Peter 's Square	Rome	0.0	0
in St. Peter's Square	St. Peter's Square	0.8571428571428571	St. Peter 's Square	St. Peter 's Square	1.0	1
Uka	Uka	1.0	Uka	Uka	1.0	1
9,000	9,000	1.0	9,000	9,000	1.0	1
US$14.7 billion	US$14.7 billion	1.0	US $ 14.7 billion	US $ 14.7 billion	1.0	1
the seventh country	seventh	0.6666666666666666	seventh country	seventh	0.6666666666666666	0
in marshland near Lyon in the east of France	Lyon in the east of France	0.7692307692307693	marshland near Lyon east France	Lyon east France	0.7499999999999999	0
the 1800s	1800s	1.0	1800s	1800s	1.0	1
the troop's encampment	Artibonite River	0.0	troop 's encampment	Artibonite River	0.0	0
drug	substances	0.0	drug	substances	0.0	0
trespassing	vandalism	0.0	trespassing	vandalism	0.0	0
The sign was not physically damaged	vandalism	0.0	sign physically damaged	vandalism	0.0	0
to the National Congress	November	0.0	National Congress	November	0.0	0
hail fell from the sky	the rain	0.0	hail fell sky	rain	0.0	0
only the third major hurricane	third major hurricane	0.8571428571428571	third major hurricane	third major hurricane	1.0	1
northwest	northwest	1.0	northwest	northwest	1.0	1
dual radios	the base station has dual radios	0.5714285714285715	dual radios	base station dual radios	0.6666666666666666	0
100m and 200m freestyle and in three relays	100m and 200m freestyle	0.6666666666666666	100m 200m freestyle three relays	100m 200m freestyle	0.7499999999999999	0
as they are banned	He has been unable to take the drugs needed to overcome his pain as they are banned from the Games	0.3636363636363636	banned	unable take drugs needed overcome pain banned Games	0.2222222222222222	0
encephalitis vaccine	deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides	0.0	encephalitis vaccine	deployment pig catchers seriously affected areas , distributing thousands mosquito curtains spraying pesticides	0.0	0
through mosquitos	through mosquitos	1.0	mosquitos	mosquitos	1.0	1
possibly open the door for civil unions	could possibly open the door for civil unions in the future	0.8	possibly open door civil unions	could possibly open door civil unions future	0.8333333333333333	0
to the press	spring 2016.	0.0	press	spring 2016 .	0.0	0
Lo Piccolo	Lo Piccolo	1.0	Lo Piccolo	Lo Piccolo	1.0	1
in Nepal	Nepal	0.6666666666666666	Nepal	Nepal	1.0	1
a rabid dog	a rabid dog	1.0	rabid dog	rabid dog	1.0	1
right after his pit-stop	ended it right after his pit-stop	0.8	right pit-stop	ended right pit-stop	0.8	0
the suspension damage	suspension damage	1.0	suspension damage	suspension damage	1.0	1
a hearing	did not receive a hearing by a court commissioner	0.25	hearing	receive hearing court commissioner	0.4	0
These agents	Political Agents	0.5	agents	Political Agents	0.6666666666666666	0
Actress	Best Actor and Actress	0.4	Actress	Best Actor Actress	0.5	0
OHA	March 20	0.0	OHA	March 20	0.0	0
Bowyer	Stewart, Gordon, Kenseth, and Harvick	0.0	Bowyer	Stewart , Gordon , Kenseth , Harvick	0.0	0
2,220	2,250	0.0	2,220	2,250	0.0	0
34 have been verified to be martian in origin	chemically confirmed martian material	0.1538461538461538	34 verified martian origin	chemically confirmed martian material	0.25	0
in 2006	2006	0.6666666666666666	2006	2006	1.0	1
during the 2009 Hungarian Grand Prix	Massa is due to be out for at least the rest of the 2009 season	0.1111111111111111	2009 Hungarian Grand Prix	Massa due least rest 2009 season	0.2	0
all fifty of its delegates	all fifty of its delegates	1.0	fifty delegates	fifty delegates	1.0	1
information	David Headley's scouting and information gathering	0.2857142857142857	information	David Headley 's scouting information gathering	0.2857142857142857	0
boat	boat	1.0	boat	boat	1.0	1
Four	36 of the 116 competitors had the same result in that race. Her other race, the Giant Slalom, saw her finish in tenth	0.0	Four	36 116 competitors result race . race , Giant Slalom , saw finish tenth	0.0	0
in 2007	Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.	0.2352941176470588	2007	Northern Rock required support due exposure subprime mortgage crisis 2007 .	0.18181818181818182	0
the United States	United States	1.0	United States	United States	1.0	1
the economy	heavy reliance on coal exports	0.0	economy	heavy reliance coal exports	0.0	0
the Sporting Shooters Association's hunting program	supplementary pest control trial	0.0	Sporting Shooters Association 's hunting program	supplementary pest control trial	0.0	0
moving the device through the air	moving the device through the air	1.0	moving device air	moving device air	1.0	1
the controller	Nintendo Revolution console	0.0	controller	Nintendo Revolution console	0.0	0
the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature	the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him	0.8	committee , unable reach Bob Dylan directly winning 2016 Nobel Prize Literature	committee , unable reach Bob Dylan directly winning 2016 Nobel Prize Literature , abandoned efforts reach	0.88	0
Bob Dylan	Bob Dylan	1.0	Bob Dylan	Bob Dylan	1.0	1
Gordon Johndroe	Gordon Johndroe	1.0	Gordon Johndroe	Gordon Johndroe	1.0	1
over 1,000	over 1,000	1.0	1,000	1,000	1.0	1
A power failure	A power failure	1.0	power failure	power failure	1.0	1
waist-high	20 feet	0.0	waist-high	20 feet	0.0	0
flooding	The Ninth Ward	0.0	flooding	Ninth Ward	0.0	0
how planets form, especially how the Earth formed	how planets form	0.6	planets form , especially Earth formed	planets form	0.5714285714285715	0
take pictures of the police stop	take pictures of the police stop	1.0	take pictures police stop	take pictures police stop	1.0	1
240 kilometers an hour (149 miles per hour)	240 kilometers an hour	0.6	240 kilometers hour ( 149 miles per hour )	240 kilometers hour	0.6	0
just after an early pit stop for Fernando Alonso	Piquet Jr. crashed in the 2008 Singapore Grand Prix	0.0	early pit stop Fernando Alonso	Piquet Jr. crashed 2008 Singapore Grand Prix	0.0	0
The city	Bucharest City Hall	0.5	city	Bucharest City Hall	0.5	0
accident	an engine separated on takeoff	0.0	accident	engine separated takeoff	0.0	0
The aircraft	a major component of both the Russian and Soviet military	0.0	aircraft	major component Russian Soviet military	0.0	0
both female and male individuals	female and male individuals	0.888888888888889	female male individuals	female male individuals	1.0	1
rachis	confirms that at least some dinosaurs had feathers	0.0	rachis	confirms least dinosaurs feathers	0.0	0
in low-income countries	low-income countries	0.8	low-income countries	low-income countries	1.0	1
standard inkjet printers	a tiny printable chip	0.0	standard inkjet printers	tiny printable chip	0.0	0
extreme weather conditions	extreme weather conditions	1.0	extreme weather conditions	extreme weather conditions	1.0	1
when he believes life begins	when he believes life begins	1.0	believes life begins	believes life begins	1.0	1
the specifics of likely cases	when he believes life begins	0.0	specifics likely cases	believes life begins	0.0	0
skywards	8:46 a.m.	0.0	skywards	8:46 a.m .	0.0	0
temperature variations	Infrared images show that the temperature variations from night and day show that they are likely caves	0.2222222222222222	temperature variations	Infrared images show temperature variations night day show likely caves	0.33333333333333337	0
Infrared images	Infrared images	1.0	Infrared images	Infrared images	1.0	1
he is a member of the Uighur ethnic group	His name is still unknown to authorities, although they do know he is a member of the Uighur ethnic group	0.56	member Uighur ethnic group	name still unknown authorities , although know member Uighur ethnic group	0.5714285714285715	0
Springboks play Australia	Australia	0.5	Springboks play Australia	Australia	0.5	0
Johannesburg	Ellis Park in Johannesburg	0.4	Johannesburg	Ellis Park Johannesburg	0.5	0
49	49	1.0	49	49	1.0	1
Bolonia	Bolonia	1.0	Bolonia	Bolonia	1.0	1
a match planned for Sunday	Coverciano in Italy earlier in the day. He was staying in the team hotel ahead of a match planned for Sunday against Bolonia	0.3333333333333333	match planned Sunday	Coverciano Italy earlier day . staying team hotel ahead match planned Sunday Bolonia	0.4	0
29 per cent	29 per cent	1.0	29 per cent	29 per cent	1.0	1
at the end of Queen Elizabeth II's reign	at the end of Queen Elizabeth II's reign	1.0	end Queen Elizabeth II 's reign	end Queen Elizabeth II 's reign	1.0	1
Planned Parenthood	Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation	0.0	Planned Parenthood	Komen Foundation , said organization adopted new rule allow grants funding awarded organizations legal investigation	0.0	0
the Oversight and Investigations Subcommittee	Oversight and Investigations Subcommittee	1.0	Oversight Investigations Subcommittee	Oversight Investigations Subcommittee	1.0	1
ASUS	ASUS	1.0	ASUS	ASUS	1.0	1
laptop	earlier launched world-wide for cost-saving and functionality factors	0.0	laptop	earlier launched world-wide cost-saving functionality factors	0.0	0
the boy	Obanazawa Post Office	0.0	boy	Obanazawa Post Office	0.0	0
in the second set	after reaching 6-6	0.0	second set	reaching 6-6	0.0	0
Murray lost	Murray lost the first set in a tie break	0.4444444444444445	Murray lost	Murray lost first set tie break	0.5	0
children	school aged children	0.5	children	school aged children	0.5	0
The Onion	The Onion	1.0	Onion	Onion	1.0	1
At 11:20	11:20	0.6666666666666666	11:20	11:20	1.0	1
bad weather	bad weather	1.0	bad weather	bad weather	1.0	1
the storm is far from landfall	the storm is far from landfall, it remains difficult to assess potential impact to the United States or Caribbean	0.4545454545454545	storm far landfall	storm far landfall , remains difficult assess potential impact United States Caribbean	0.42857142857142855	0
Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666	Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666	0
After a week of losses in the midterm election	After a week of losses in the midterm election	1.0	week losses midterm election	week losses midterm election	1.0	1
fund extra carriages	Today's announcement also extended the government's commitment made in March of this year to fund extra carriages	0.3157894736842105	fund extra carriages	Today 's announcement also extended government 's commitment made March year fund extra carriages	0.35294117647058826	0
presidential commission	a presidential commission	1.0	presidential commission	presidential commission	1.0	1
making the sport of gymnastics, and others, as safe as possible	making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment	0.625	making sport gymnastics , others , safe possible	making sport gymnastics , others , safe possible athletes follow dreams safe , positive empowered environment	0.631578947368421	0
Palawan	Puerto Princesa in Palawan	0.4	Palawan	Puerto Princesa Palawan	0.5	0
the press secretary	Donald Trump	0.0	press secretary	Donald Trump	0.0	0
Turkey	Turkey	1.0	Turkey	Turkey	1.0	1
hostile fire	hostile fire	1.0	hostile fire	hostile fire	1.0	1
mountainous	mountainous	1.0	mountainous	mountainous	1.0	1
restore eroded sandbars	officials are hoping it will be enough to restore eroded sandbars downstream	0.4	restore eroded sandbars	officials hoping enough restore eroded sandbars downstream	0.6	0
7	36 runs loosing 7 wickets	0.3333333333333333	7	36 runs loosing 7 wickets	0.33333333333333337	0
after being involved in a crash	Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway	0.4761904761904761	involved crash	Peter Lenz , 13-year-old motorcycle racer , died involved crash Indianapolis Motor Speedway	0.3076923076923077	0
racer	Peter Lenz, a 13-year-old motorcycle racer	0.3333333333333333	racer	Peter Lenz , 13-year-old motorcycle racer	0.33333333333333337	0
overcome a fear which is based on the unknown or on not being in control	if they've not flown before or have experienced a traumatic event	0.1739130434782608	overcome fear based unknown control	've flown experienced traumatic event	0.0	0
send luggage	Airline regulations will not allow them to send luggage without a passenger	0.3076923076923077	send luggage	Airline regulations allow send luggage without passenger	0.4444444444444445	0
Drink alcoholic drinks with moderation	liver damage and even blindness and death. The potential danger is increased when consuming illegally produced alcohol	0.0	Drink alcoholic drinks moderation	liver damage even blindness death . potential danger increased consuming illegally produced alcohol	0.0	0
The Canal District	UNESCO World Heritage Site	0.0	Canal District	UNESCO World Heritage Site	0.0	0
cultural and historical value	unique cultural and historical value	0.888888888888889	cultural historical value	unique cultural historical value	0.8571428571428571	0
inland	Occasional specialist air tours go inland	0.2857142857142857	inland	Occasional specialist air tours go inland	0.2857142857142857	0
in remote areas	remote areas	0.8	remote areas	remote areas	1.0	1
Central Auckland	Tamaki Drive beaches	0.0	Central Auckland	Tamaki Drive beaches	0.0	0
because it is established by law as the first official language	most signs are indicated only in Catalan because it is established by law as the first official language	0.7407407407407407	established law first official language	signs indicated Catalan established law first official language	0.7692307692307693	0
people who work with poultry	birdwatchers	0.0	people work poultry	birdwatchers	0.0	0
the Arctic Ocean to the Baltic Sea	The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea	0.7142857142857143	Arctic Ocean Baltic Sea	White Sea–Baltic Canal connects Arctic Ocean Baltic Sea	0.6666666666666666	0
cherries and plums	cherries and plums	1.0	cherries plums	cherries plums	1.0	1
The Portuguese	The Portuguese	1.0	Portuguese	Portuguese	1.0	1
a new republic	a new republic	1.0	new republic	new republic	1.0	1
Diplomatic arguments	Diplomatic arguments	1.0	Diplomatic arguments	Diplomatic arguments	1.0	1
more than 2 passengers	There is a surcharge for having more than 2 passengers	0.6153846153846153	2 passengers	surcharge 2 passengers	0.8	0
Inca	Inca	1.0	Inca	Inca	1.0	1
Paths, trains and boats	Paths, trains and boats	1.0	Paths , trains boats	Paths , trains boats	1.0	1
Riomaggiore, Manarola, Corniglia, Vernazza and Monterosso	Cinque Terre, which means Five Lands	0.0	Riomaggiore , Manarola , Corniglia , Vernazza Monterosso	Cinque Terre , means Five Lands	0.0	0
readjusting to their native culture	readjusting to their native culture	1.0	readjusting native culture	readjusting native culture	1.0	1
Norwegians	Norwegians	1.0	Norwegians	Norwegians	1.0	1
US green card	an invitation letter	0.0	US green card	invitation letter	0.0	0
some may be knock-offs	the real imported ones may be more expensive than at home	0.2857142857142857	may knock-offs	real imported ones may expensive home	0.25	0
On the outlying islands	check with the owners in advance to determine what is an acceptable payment method	0.0	outlying islands	check owners advance determine acceptable payment method	0.0	0
Kerala's temple festivals	Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar	0.0	Kerala 's temple festivals	temples Annual festival starting November end Mid May , varies according temple 's annual calendar	0.22222222222222224	0
a microwave oven	Increasingly supermarkets are getting a more varied section of ready-made food	0.0	microwave oven	Increasingly supermarkets getting varied section ready-made food	0.0	0
If you don't have a data connection for your phone, or when it is out of range	save money over buying new maps	0.0	n't data connection phone , range	save money buying new maps	0.0	0
waving	come over	0.0	waving	come	0.0	0
the North Kivu province	Goma	0.0	North Kivu province	Goma	0.0	0
Permits are limited	Permits are limited	1.0	Permits limited	Permits limited	1.0	1
often covered in heather	treeless moorland often covered in heather	0.8	often covered heather	treeless moorland often covered heather	0.7499999999999999	0
