Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
 أواخر العصور الوسطى	أواخر العصور الوسطى	1.0	أواخر العصور الوسطى	أواخر العصور الوسطى	1.0	1
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692	أعضاء الحس جهاز الرؤية	أعضاء الحس جهاز الرؤية العينين	0.888888888888889	0
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	1
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	الهرم الأكبر	0.3333333333333333	عدة أهرامات ( أكبرها الهرم الأكبر ) ومقابر صغيرة ومعابد وأبو الهول	الهرم الأكبر	0.33333333333333337	0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	0
سترابو	سترابو	1.0	سترابو	سترابو	1.0	1
 التصدي لهذا الغزو 	استخدام الغواصات	0.0	التصدي لهذا الغزو	استخدام الغواصات	0.0	0
السرج	اختراع العجلات ذات العوارض	0.0	السرج	اختراع العجلات العوارض	0.0	0
على ظهور الخيل	على ظهور خيولهم العارية	0.5714285714285715	ظهور الخيل	ظهور خيولهم العارية	0.4	0
في عام 1922	1922	0.5	عام 1922	1922	0.6666666666666666	0
اكتشاف قبره	اكتشاف قبره	1.0	اكتشاف قبره	اكتشاف قبره	1.0	1
 فقد بصره	فقد بصره	1.0	فقد بصره	فقد بصره	1.0	1
فيثاغورس	هوميروس	0.0	فيثاغورس	هوميروس	0.0	0
في الهواء الطلق	الهواء الطلق	0.8	الهواء الطلق	الهواء الطلق	1.0	1
للمنزل	للمنزل	1.0	للمنزل	للمنزل	1.0	1
قبائل الإسكيمو	قبائل الإسكيمو	1.0	قبائل الإسكيمو	قبائل الإسكيمو	1.0	1
الرجال الأغنياء	الفقراء والنساء يأكلون طعامهم وهم جالسون على المقاعد، كان الرجال الأغنياء	0.3076923076923077	الرجال الأغنياء	الفقراء والنساء يأكلون طعامهم وهم جالسون المقاعد، الرجال الأغنياء	0.3636363636363636	0
تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان	تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان التي حكمت الجزيرة حتى عام 1945	0.7499999999999999	تنازلت خلالها سيادتها التايوان لصالح اليابان	تنازلت خلالها سيادتها التايوان لصالح اليابان حكمت الجزيرة عام 1945	0.7499999999999999	0
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	رقم الأس الهيدروجيني	0.0	خلال عدد أيونات الهيدروجين ( حرف الH pH ) المادة الكيميائية	رقم الأس الهيدروجيني	0.0	0
الإلكترونات	الإلكترونات	1.0	الإلكترونات	الإلكترونات	1.0	1
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0	القطط متوسطة الحجم	القطط متوسطة الحجم	1.0	1
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0	غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0	1
الشمس	التمثيل الضوئي	0.0	الشمس	التمثيل الضوئي	0.0	0
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0	أكسيد الكربون	أكسيد الكربون	1.0	1
الأوردة	العضو الرئيسي	0.0	الأوردة	العضو الرئيسي	0.0	0
الشعيرات الدموية	الشعيرات الدموية	1.0	الشعيرات الدموية	الشعيرات الدموية	1.0	1
الثورة البلجيكية	الثورة البلجيكية	1.0	الثورة البلجيكية	الثورة البلجيكية	1.0	1
23،764	23،764 كيلومتر مربع	0.5	23،764	23،764 كيلومتر مربع	0.5	0
المراسم الدينيّة	المراسم الدينيّة	1.0	المراسم الدينيّة	المراسم الدينيّة	1.0	1
استخدام ضوء ساطع في تحفيز الذرات	ضوء ساطع	0.5	استخدام ضوء ساطع تحفيز الذرات	ضوء ساطع	0.5714285714285715	0
النرويج	نرويجي	0.0	النرويج	نرويجي	0.0	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571	حوالي القرن الخامس	القرن الخامس	0.8	0
الأبجدية الألمانية	ألمانيا	0.0	الأبجدية الألمانية	ألمانيا	0.0	0
 الهانجول 	الهانجول	1.0	الهانجول	الهانجول	1.0	1
الغاز	الغاز	1.0	الغاز	الغاز	1.0	1
النّفط	الخدمات	0.0	النّفط	الخدمات	0.0	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0	ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0	1
حالته الكيميائية	حالته الكيميائية	1.0	حالته الكيميائية	حالته الكيميائية	1.0	1
مقلوباً	غير معروف	0.0	مقلوباً	معروف	0.0	0
هجين أوركيد	هجين أوركيد	1.0	هجين أوركيد	هجين أوركيد	1.0	1
بريطانيا	بريطانيا	1.0	بريطانيا	بريطانيا	1.0	1
عملية أسد البحر 	عملية أسد البحر	1.0	عملية أسد البحر	عملية أسد البحر	1.0	1
"يحكم فرنسا """"فيشي"	فيشي	0.5	يحكم فرنسا `` '' فيشي	فيشي	0.5	0
الأمريكيون والقوات الفرنسية الحرة	غزا الحلفاء جنوب فرنسا	0.0	الأمريكيون والقوات الفرنسية الحرة	غزا الحلفاء جنوب فرنسا	0.0	0
الرادار	عندما بدأ الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء لتفادي كشفها	0.125	الرادار	عندما بدأ الرادار التطور وأصبح أدق، اضطرت الغواصات الغوص الماء لتفادي كشفها	0.15384615384615385	0
الرّماية	الرّماية	1.0	الرّماية	الرّماية	1.0	1
 أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر، الجنرال لاستوتشي في كمينٍ غرب ميناء بردية	0.5714285714285714	أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر، الجنرال لاستوتشي كمينٍ غرب ميناء بردية	0.6	0
في طبرق	بنيران صديقة	0.0	طبرق	بنيران صديقة	0.0	0
جاي شانكار شودري	لاكها سينغ	0.0	جاي شانكار شودري	لاكها سينغ	0.0	0
"غنت المغنية التركية """"سيزين أكسو"""" مع الإيطالي """"أليساندرو سافينا"""" والمغني اليوناني """"هاريس أليكسيو"""""	سيرك دو سوليه	0.0	غنت المغنية التركية `` '' سيزين أكسو '' '' الإيطالي `` '' أليساندرو سافينا '' '' والمغني اليوناني `` '' هاريس أليكسيو '' ''	سيرك دو سوليه	0.0	0
الإيطالي	الإيطالي	1.0	الإيطالي	الإيطالي	1.0	1
في تونغا	بالقرب من باغو باغو ونيو	0.0	تونغا	بالقرب باغو باغو ونيو	0.0	0
عندما قلل السرعة إلى 160 كيلومتر في ساعة	قلل السرعة إلى 160 كيلومتر في ساعة	0.9333333333333332	عندما قلل السرعة 160 كيلومتر ساعة	قلل السرعة 160 كيلومتر ساعة	0.9090909090909091	0
حوالي 65 كم (40 ميلاً) جنوب بوتي	جنوب	0.25	حوالي 65 ( 40 ميلاً ) جنوب بوتي	جنوب	0.2857142857142857	0
اشتعلت النيران في سجن أبو غريب	اشتعلت النيران	0.5	اشتعلت النيران سجن غريب	اشتعلت النيران	0.6666666666666666	0
بعد اكتشاف إساءة معاملة السجناء	اكتشاف إساءة معاملة السجناء به	0.8000000000000002	اكتشاف إساءة معاملة السجناء	اكتشاف إساءة معاملة السجناء	1.0	1
المتظاهرين	المتظاهرين في الجنوب	0.5	المتظاهرين	المتظاهرين الجنوب	0.6666666666666666	0
"سكان مدينة """"بشكيك"""""	عصابات	0.0	سكان مدينة `` '' بشكيك '' ''	عصابات	0.0	0
في عام 2013	ارتفعت	0.0	عام 2013	ارتفعت	0.0	0
عندما لم يكن جرس بابه مسموعاً من متجره ف مرآب منزله	رفضت لجنة العرض تمويل الشركة البادئة. في أواخر عام 2017	0.0	عندما يكن جرس بابه مسموعاً متجره مرآب منزله	رفضت لجنة العرض تمويل الشركة البادئة . أواخر عام 2017	0.0	0
كتب	توصيات عن كتب يجب على الأطفال أن يبحثوا عنها عندما يتوجه كل منهم إلى المكتبة	0.125	كتب	توصيات كتب يجب الأطفال يبحثوا عنها عندما يتوجه منهم المكتبة	0.18181818181818182	0
أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	1.0	أزمة التمويل والتحول فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل والتحول فلسفة البرامج التلفزيونية التعليمية	1.0	1
الحكومة البولندية 	بولندا	0.0	الحكومة البولندية	بولندا	0.0	0
أربعة	أربعة	1.0			1.0	1
 Apple 	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0.0	Apple	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0.0	0
الهاتف	الهاتف	1.0	الهاتف	الهاتف	1.0	1
اختراع الهاتف	ستعيد شركة أبل اختراع الهاتف، سنصنع التاريخ اليوم	0.2	اختراع الهاتف	ستعيد شركة أبل اختراع الهاتف، سنصنع التاريخ اليوم	0.2	0
عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0	عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0	1
في لابلاتا	لابلاتا	0.6666666666666666	لابلاتا	لابلاتا	1.0	1
لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	برنامج الأخ الأكبر لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	0.8695652173913044	ينتهك أياً قوانين الرقابة المحتوى عبر الإنترنت	برنامج الأخ الأكبر ينتهك أياً قوانين الرقابة المحتوى عبر الإنترنت	0.8235294117647058	0
يجب أن يكون موجوداً على الخادم بشكل ملموس	يجب أن يكون موجوداً على الخادم بشكل ملموس	1.0	يجب يكون موجوداً الخادم بشكل ملموس	يجب يكون موجوداً الخادم بشكل ملموس	1.0	1
جون هاوارد	بيتر كوستيلو	0.0	جون هاوارد	بيتر كوستيلو	0.0	0
ماسيج كريزيل	ماسيج كريزيل	1.0	ماسيج كريزيل	ماسيج كريزيل	1.0	1
فنلندا	هولندا	0.0	فنلندا	هولندا	0.0	0
53	53	1.0	53	53	1.0	1
مانشستر سيتي	مانشستر سيتي	1.0	مانشستر سيتي	مانشستر سيتي	1.0	1
جاك ليتون	جاك ليتون	1.0	جاك ليتون	جاك ليتون	1.0	1
حكومة الولاية وبعض النواب الفيدراليين	حكومة الولاية وبعض النواب الفيدراليين	1.0	حكومة الولاية وبعض النواب الفيدراليين	حكومة الولاية وبعض النواب الفيدراليين	1.0	1
بلورات	بلورات	1.0	بلورات	بلورات	1.0	1
بلورات تتشكل في بول القطط	بلورات تتشكل في بول القطط	1.0	بلورات تتشكل بول القطط	بلورات تتشكل بول القطط	1.0	1
تومي دريمر	تومي دريمر	1.0	تومي دريمر	تومي دريمر	1.0	1
"داستن """"جولدست"""" رانلز"	"داستن """"جولدست"""" رانلز"	1.0	داستن `` '' جولدست '' '' رانلز	داستن `` '' جولدست '' '' رانلز	1.0	1
تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	1.0	تجنب الطريق القديم يقوم مبدأ تلوث أولاً تنظف لاحقاً	تجنب الطريق القديم يقوم مبدأ تلوث أولاً تنظف لاحقاً	1.0	1
إيد ديفي 	إيد ديفي	1.0	إيد ديفي	إيد ديفي	1.0	1
نورمان لامب 	نورمان لامب	1.0	نورمان لامب	نورمان لامب	1.0	1
يدخن الفنانون لفائف القنب 	لفائف القنب	0.6666666666666666	يدخن الفنانون لفائف القنب	لفائف القنب	0.6666666666666666	0
الفنانون	الفنانون	1.0	الفنانون	الفنانون	1.0	1
نشاط مأهول خارج المركبة ( EVA )	EVA	0.3333333333333333	نشاط مأهول خارج المركبة ( EVA )	EVA	0.33333333333333337	0
أبولو سويوز	أبولو سويوز	1.0	أبولو سويوز	أبولو سويوز	1.0	1
الليبرالي	المحافظين الماليين	0.0	الليبرالي	المحافظين الماليين	0.0	0
أمها 	طبيبةً قد عملت في مستشفى الأطفال	0.0	أمها	طبيبةً عملت مستشفى الأطفال	0.0	0
في صندوق سيارتها	بلو آش، أوهايو	0.0	صندوق سيارتها	بلو آش، أوهايو	0.0	0
سكايب	سكايب مكانة قوية، مثل الصين، وأوروبا الشرقية، والبرازيل	0.2222222222222222	سكايب	سكايب مكانة قوية، الصين، وأوروبا الشرقية، والبرازيل	0.25	0
تنويع مصادر ربحها واكتساب شعبية في المناطق التي يحتل فيها سكايب مكانة قوية	تنويع مصادر ربحها واكتساب شعبية	0.5555555555555556	تنويع مصادر ربحها واكتساب شعبية المناطق يحتل سكايب مكانة قوية	تنويع مصادر ربحها واكتساب شعبية	0.6666666666666666	0
الاعتماد على النفط	الاعتماد على النفط	1.0	الاعتماد النفط	الاعتماد النفط	1.0	1
 ويضعون ورقة مطبوعة بشكل مسبق مشيرة إلى مرشحهم المفضل في ظرف	ظرف	0.1666666666666666	ويضعون ورقة مطبوعة بشكل مسبق مشيرة مرشحهم المفضل ظرف	ظرف	0.19999999999999998	0
اهتمامه بالحرب الذي استمر طوال حياته	هذا الاكتشاف	0.0	اهتمامه بالحرب استمر طوال حياته	الاكتشاف	0.0	0
معدل الوفيات المرتفع جداً	معدل الوفيات المرتفع	0.8571428571428571	معدل الوفيات المرتفع جداً	معدل الوفيات المرتفع	0.8571428571428571	0
اثنين	6000	0.0		6000	0.0	0
 مرتبطة بالأقمار الاصطناعية 	بالأقمار الاصطناعية	0.8	مرتبطة بالأقمار الاصطناعية	بالأقمار الاصطناعية	0.8	0
بتحديد مكان طائرة بدقة أعلى	تزود الطيارين بمعلومات محددة أكثر	0.0	بتحديد مكان طائرة بدقة أعلى	تزود الطيارين بمعلومات محددة	0.0	0
يخصص 10 عملاء للمواد الإباحية للبالغين	انتقد المؤرخون	0.0	يخصص 10 عملاء للمواد الإباحية للبالغين	انتقد المؤرخون	0.0	0
انقلاب	انقلاب	1.0	انقلاب	انقلاب	1.0	1
 أمام الرحلات الجوية التجارية	ديلوكريت باتافي	0.0	الرحلات الجوية التجارية	ديلوكريت باتافي	0.0	0
كارتر	كارتر	1.0	كارتر	كارتر	1.0	1
لهنري كيسنجر	بريجنسكي	0.0	لهنري كيسنجر	بريجنسكي	0.0	0
مخلبه الثاني كان أكبر	المخلب الغربي	0.0	مخلبه الثاني أكبر	المخلب الغربي	0.0	0
الستينيات	1973	0.0	الستينيات	1973	0.0	0
في ساحة القديس بطرس.	روما	0.0	ساحة القديس بطرس .	روما	0.0	0
في ساحة القديس بطرس.	روما	0.0	ساحة القديس بطرس .	روما	0.0	0
 '' أوكا '' '' 	أوكا	1.0	`` أوكا `` ``	أوكا	1.0	1
9000	9000	1.0	9000	9000	1.0	1
14.7 مليار دولار أمريكي	10 مليار يورو	0.2857142857142857	14.7 مليار أمريكي	10 مليار	0.4	0
البلد السابع	السابع	0.6666666666666666	البلد السابع	السابع	0.6666666666666666	0
في مستنقعات بالقرب من ليون في شرق فرنسا.	ليون في شرق فرنسا	0.6666666666666666	مستنقعات بالقرب ليون شرق فرنسا .	ليون شرق فرنسا	0.7499999999999999	0
منذ القرن التاسع عشر	٢٠١٠	0.0	القرن التاسع	٢٠١٠	0.0	0
مُعسكر القوات	أرتيبونايت	0.0	مُعسكر القوات	أرتيبونايت	0.0	0
المخدرات 	والإدانات المتعلقة بالمخدرات	0.0	المخدرات	والإدانات المتعلقة بالمخدرات	0.0	0
التعدّي على ممتلكات الغيْر	قسم شرطة مدينة لوس أنجلوس	0.0	التعدّي ممتلكات الغيْر	قسم شرطة مدينة لوس أنجلوس	0.0	0
لم يمسس اللافتة ضرر	لم يمسس اللافتة ضرر مادي	0.888888888888889	يمسس اللافتة ضرر	يمسس اللافتة ضرر مادي	0.8571428571428571	0
إلى الجمعية الوطنية	يأمل المحتجون في جمع 1.2 مليون توقيع على عريضة لرفعها إلى الجمعية الوطنية في شهر نوفمبر	0.3157894736842105	الجمعية الوطنية	يأمل المحتجون جمع 1.2 مليون توقيع عريضة لرفعها الجمعية الوطنية شهر	0.3076923076923077	0
هطلت الأمطار	بدأت الرياح في الدخول	0.0	هطلت الأمطار	بدأت الرياح الدخول	0.0	0
ثالث أكبر إعصار تم تسجيله 	ثالث	0.3333333333333333	أكبر إعصار تم تسجيله		0.0	0
الشمال الغربي.	الشمال الغربي	1.0	الشمال الغربي .	الشمال الغربي	1.0	1
لأجهزة راديو مزدوجة 	امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.6666666666666666	لأجهزة راديو مزدوجة	امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.6666666666666666	0
100 م و 200 م أسلوب حر وفي ثلاث مراحل	ثلاث	0.1818181818181818	100 200 أسلوب حر وفي مراحل		0.0	0
استخدامها ممنوع في الألعاب	الأدوية	0.0	استخدامها ممنوع الألعاب	الأدوية	0.0	0
لقاح التهاب الدماغ،	نشر من يصطاد الخنازير في المناطق المصابة بشدة	0.0	لقاح التهاب الدماغ،	نشر يصطاد الخنازير المناطق المصابة بشدة	0.0	0
من خلال الخنازير،	البعوض	0.0	خلال الخنازير،	البعوض	0.0	0
منع الاتحادات المدنية لشخصين من نفس الجنس	قد يفتح فشل الجملة الثانية، التي تقترح منع الاتحادات المدنية لشخصين من نفس الجنس، الباب للاتحادات المدنية في المستقبل	0.4615384615384615	منع الاتحادات المدنية لشخصين الجنس	يفتح فشل الجملة الثانية، تقترح منع الاتحادات المدنية لشخصين الجنس، الباب للاتحادات المدنية المستقبل	0.4210526315789473	0
 للصحافة 	للصحافة	1.0	للصحافة	للصحافة	1.0	1
للو بيكولو	للو بيكولو	1.0	للو بيكولو	للو بيكولو	1.0	1
في نيبال	نيبال	0.6666666666666666	نيبال	نيبال	1.0	1
كلب مسعور	قراصنة	0.0	كلب مسعور	قراصنة	0.0	0
مباشرةً بعد التوقف للصيانة	التوقف للصيانة	0.6666666666666666	مباشرةً التوقف للصيانة	التوقف للصيانة	0.8	0
 بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571	بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571	0
جلسة استماع	وكيل المحكمة جلسة استماع	0.6666666666666666	جلسة استماع	وكيل المحكمة جلسة استماع	0.6666666666666666	0
هؤلاء الوكلاء	عملاء سياسيين	0.0	الوكلاء	عملاء سياسيين	0.0	0
ممثلة	أفضل ممثل وممثلة	0.0	ممثلة	أفضل ممثل وممثلة	0.0	0
هيئة الإسكان 	هيئة الإسكان في أوكلاند	0.6666666666666666	هيئة الإسكان	هيئة الإسكان أوكلاند	0.8	0
بوير	كيسلوسكي	0.0	بوير	كيسلوسكي	0.0	0
2,220	2,220 و2,207	0.6666666666666666	2,220	2,220 و2,207	0.6666666666666666	0
جرى التحقق من أن أصل حوالي 34 فقط	نيزك	0.0	جرى التحقق أصل حوالي 34 فقط	نيزك	0.0	0
في عام2006	2006	0.0	عام2006	2006	0.0	0
خلال سباق جائزة المجر الكبرى عام 2009.	يغيب ماسا لما تبقى من موسم 2009	0.1428571428571428	خلال سباق جائزة المجر الكبرى عام 2009 .	يغيب ماسا تبقى موسم 2009	0.16666666666666666	0
جميع أصوات مندوبيها الخمسين	جميع أصوات مندوبيها الخمسين	1.0	أصوات مندوبيها الخمسين	أصوات مندوبيها الخمسين	1.0	1
المعلومات	المعلومات	1.0	المعلومات	المعلومات	1.0	1
قارب	قارب	1.0	قارب	قارب	1.0	1
أربع	116	0.0		116	0.0	0
في عام 2007	2008	0.0	عام 2007	2008	0.0	0
الولايات المتحدة	الولايات المتحدة	1.0	الولايات المتحدة	الولايات المتحدة	1.0	1
الاقتصاد	بالاقتصاد	0.0	الاقتصاد	بالاقتصاد	0.0	0
برنامج الصيد التابع للجمعية	الصيد	0.4	برنامج الصيد التابع للجمعية	الصيد	0.4	0
التلويح بالجهاز في الهواء	الهواء	0.4	التلويح بالجهاز الهواء	الهواء	0.5	0
 نظام التحكم	مستشعرين موضوعين بالقرب من تلفزيون المستخدم لتحديد موقعه في الفضاء ثلاثي الأبعاد	0.0	نظام التحكم	مستشعرين موضوعين بالقرب تلفزيون المستخدم لتحديد موقعه الفضاء ثلاثي الأبعاد	0.0	0
اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016	تخلت عن جهودها للوصول إليه	0.0	اللجنة -التي تتمكن الوصول مباشرة بوب ديلان بشأن الفوز بجائزة نوبل الأدب لعام 2016	تخلت جهودها للوصول إليه	0.0	0
بوب ديلان	بوب ديلان	1.0	بوب ديلان	بوب ديلان	1.0	1
جوردون جوندرو	جوردون جوندرو	1.0	جوردون جوندرو	جوردون جوندرو	1.0	1
أكثر من 1,000	1,000	0.5	1,000	1,000	1.0	1
 عطل كهربائي	عطل كهربائي	1.0	عطل كهربائي	عطل كهربائي	1.0	1
20 قدماً	20 قدماً	1.0	20 قدماً	20 قدماً	1.0	1
فيضاناً	فيضاناً يصل ارتفاعه إلى 20 قدماً	0.2857142857142857	فيضاناً	فيضاناً يصل ارتفاعه 20 قدماً	0.33333333333333337	0
كيفية تشكل الكواكب، وعلى الأخص كيف تشكلت الأرض	كيفية تشكل الكواكب	0.3636363636363636	كيفية تشكل الكواكب، وعلى الأخص تشكلت الأرض	كيفية تشكل الكواكب	0.4	0
التقاط صور لحاجز الشرطة	أوقف مركبته	0.0	التقاط صور لحاجز الشرطة	أوقف مركبته	0.0	0
240 كيلومتراً في الساعة (149 ميلاً في الساعة)	240 كيلومتراً في الساعة (149 ميلاً في الساعة). بحلول وقت مبكر من اليوم، كانت سرعة الرياح حوالي 83 كم/ساعة	0.5925925925925926	240 كيلومتراً الساعة ( 149 ميلاً الساعة )	240 كيلومتراً الساعة ( 149 ميلاً الساعة ) . بحلول وقت مبكر اليوم، كانت سرعة الرياح حوالي 83 كم/ساعة	0.5454545454545454	0
بعد توقف فيرناندو ألونسو المبكر	بيكيه جونيور في سباق جائزة سنغافورة الكبرى لعام 2008	0.0	توقف فيرناندو ألونسو المبكر	بيكيه جونيور سباق جائزة سنغافورة الكبرى لعام 2008	0.0	0
المدينة	بوخارست	0.0	المدينة	بوخارست	0.0	0
الحادث	حادثاً خطيراً	0.0	الحادث	حادثاً خطيراً	0.0	0
الطائرة	مكوناً رئيسياً لكل من الجيشين الروسي والسوفيتي منذ سبعينيات القرن العشرين	0.0	الطائرة	مكوناً رئيسياً لكل الجيشين الروسي والسوفيتي سبعينيات القرن العشرين	0.0	0
إناث وذكور	إناث وذكور	1.0	إناث وذكور	إناث وذكور	1.0	1
محور النورة	محوراً متطوراً بالكامل	0.0	محور النورة	محوراً متطوراً بالكامل	0.0	0
في البلدان ذوات الدخل المنخفض	البلدان ذوات الدخل المنخفض	0.888888888888889	البلدان ذوات الدخل المنخفض	البلدان ذوات الدخل المنخفض	1.0	1
طابعات نفاثة للحبر	طابعات نفاثة للحبر قياسية	0.8571428571428571	طابعات نفاثة للحبر	طابعات نفاثة للحبر قياسية	0.8571428571428571	0
