Annotator,link,question_number,flores_passage,question,dialect,ds,multi-choice_answer,Span,Belebele problem?
Anonymous,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Behavioural_and_Neuroscience_Methods,2,"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University). In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals. In the year 1970, Raymond Damadian, a medical doctor and research scientist, discovered the basis for using magnetic resonance imaging as a tool for medical diagnosis. Four years later a patent was granted, which was the world's first patent issued in the field of MRI. In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.",In what year was the first patent granted for medical imaging resonance?,eng_Latn,05/03/2023,1974,X,No
Anonymous,https://en.wikibooks.org/wiki/Costume_History/Gothic,1,"Gothic style peaked in the period between the 10th - 11th centuries and the 14th century. At the beginning dress was heavily influenced by the Byzantine culture in the east. However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year. towards the end of the Middle Ages western Europe began to develop their own style. one of the biggest developments of the time as a result of the crusades people began to use buttons to fasten clothing.",When did western Europe stop relying heavily on influences and start developing its own style?,eng_Latn,05/03/2023,Around the end of the Middle Ages,"Gothic style peaked in the period between the 10th - 11th centuries and the 14th century. At the beginning dress was heavily influenced by the Byzantine culture in the east. However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year. $!towards the end of the Middle Ages!$ western Europe began to develop their own style. one of the biggest developments of the time as a result of the crusades people began to use buttons to fasten clothing.",No
Anonymous,https://en.wikibooks.org/wiki/Costume_History/Gothic,2,"Gothic style peaked in the period between the 10th - 11th centuries and the 14th century. At the beginning dress was heavily influenced by the Byzantine culture in the east. However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year. towards the end of the Middle Ages western Europe began to develop their own style. one of the biggest developments of the time as a result of the crusades people began to use buttons to fasten clothing.",Using buttons to fasten clothing was a result of what?,eng_Latn,05/03/2023,The Crusades,"Gothic style peaked in the period between the 10th - 11th centuries and the 14th century. At the beginning dress was heavily influenced by the Byzantine culture in the east. However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year. towards the end of the Middle Ages western Europe began to develop their own style. one of the biggest developments of the time as a result of $!the crusades!$ people began to use buttons to fasten clothing.",No
Anonymous,https://en.wikibooks.org/wiki/European_History/Absolutism_in_Europe,1,"The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states. The concept was that all European nations had to seek to prevent one nation from becoming powerful, and thus national governments often changed their alliances in order to maintain the balance. The War of Spanish Succession marked the first war whose central issue was the balance of power. This marked an important change, as European powers would no longer have the pretext of being religious wars. Thus, the Thirty Years' War would be the last war to be labeled a religious war.",In which country was the first war in Europe whose central issue was said to relate to the balance of power rather than having a religious context?,eng_Latn,05/03/2023,Spain,"The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states. The concept was that all European nations had to seek to prevent one nation from becoming powerful, and thus national governments often changed their alliances in order to maintain the balance. The War of $!Spanish!$ Succession marked the first war whose central issue was the balance of power. This marked an important change, as European powers would no longer have the pretext of being religious wars. Thus, the Thirty Years' War would be the last war to be labeled a religious war.",BB
Anonymous,https://en.wikibooks.org/wiki/European_History/Absolutism_in_Europe,2,"The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states. The concept was that all European nations had to seek to prevent one nation from becoming powerful, and thus national governments often changed their alliances in order to maintain the balance. The War of Spanish Succession marked the first war whose central issue was the balance of power. This marked an important change, as European powers would no longer have the pretext of being religious wars. Thus, the Thirty Years' War would be the last war to be labeled a religious war.",What war is sometimes described as the last ‘religious war’?,eng_Latn,05/03/2023,Thirty Years’ War,"The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states. The concept was that all European nations had to seek to prevent one nation from becoming powerful, and thus national governments often changed their alliances in order to maintain the balance. The War of Spanish Succession marked the first war whose central issue was the balance of power. This marked an important change, as European powers would no longer have the pretext of being religious wars. Thus, $!the Thirty Years' War!$ would be the last war to be labeled a religious war.",No
Anonymous,https://en.wikibooks.org/wiki/European_History/World_War_I,2,"Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany. The strategy proved effective, cutting off vital military and civilian supplies, although this blockade violated generally accepted international law codified by several international agreements of the past two centuries. Britain mined international waters to prevent any ships from entering entire sections of ocean, causing danger to even neutral ships. Since there was limited response to this tactic, Germany expected a similar response to its unrestricted submarine warfare.",Which statement does not accurately describe Britain’s naval blockage against Germany?,eng_Latn,05/03/2023,It ensured that neutral ships wouldn’t be jeopardized,X,No
Anonymous,https://en.wikibooks.org/wiki/Exercise_as_it_relates_to_Disease/Can_Exercise_Really_Help_Multiple_Sclerosis%3F,1,"Across the United States of America, there are approximately 400,000 known cases of Multiple Sclerosis (MS), leaving it as the leading neurological disease in younger and middle aged adults. MS is a disease that affects the central nervous system, which is made up of the brain, the spinal cord and the optic nerve. Research has found that females are two times more likely to have MS then males.","Based on the passage, for whom would a diagnosis of Multiple Sclerosis be most likely?",eng_Latn,05/03/2023,A 32 year old female,X,No
Anonymous,https://en.wikibooks.org/wiki/French_Revolution/Effects,1,"There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler. Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed. Same goes for the military because instead of army rankings being based on class they were now based on cailaber. The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.",Which of the changes prompted by The French Revolution had a significant impact on working class citizens?,eng_Latn,05/03/2023,A shift of focus from class to competence,X,No
Anonymous,https://en.wikibooks.org/wiki/French_Revolution/Effects,2,"There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler. Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed. Same goes for the military because instead of army rankings being based on class they were now based on cailaber. The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.","Following the French Revolution, success in the military and other occupations was less likely to be based on what?",eng_Latn,05/03/2023,Class,"There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler. Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed. Same goes for the military because instead of army rankings being based on $!class!$ they were now based on cailaber. The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.",No
Anonymous,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Introduction,1,"Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems. In developed countries you seldom hear similar levels of complaints about water quality or bridges falling down. Why do transportation systems engender such complaints, why do they fail on a daily basis? Are transportation engineers just incompetent? Or is something more fundamental going on?",Which public service is said to cause the most discontent in developed countries?,eng_Latn,05/03/2023,Public transport,"Everyone participates in society and uses transportation systems. $!transportation!$. In developed countries you seldom hear similar levels of complaints about water quality or bridges falling down. Why do transportation systems engender such complaints, why do they fail on a daily basis? Are transportation engineers just incompetent? Or is something more fundamental going on?",BB
Anonymous,https://en.wikibooks.org/wiki/General_Biology/Genetics/DNA_The_Genetic_Material,1,"The Hershey and Chase experiment was one of the leading suggestions that DNA was a genetic material. Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium. They did two experiments marking either the DNA in the phage with a radioactive phosphorus or the protein of the phage with radioactive sulfur.",What did Hershey and Chase use to implant their DNA?,eng_Latn,05/03/2023,Viruses,"The Hershey and Chase experiment was one of the leading suggestions that DNA was a genetic material. Hershey and Chase used $!phages!$, or viruses, to implant their own DNA into a bacterium. They did two experiments marking either the DNA in the phage with a radioactive phosphorus or the protein of the phage with radioactive sulfur.",No
Anonymous,https://en.wikibooks.org/wiki/General_Biology/Genetics/Mutation,1,"Mutations can have a variety of different effects depending on the type of mutation, the significance of the piece of genetic material affected and whether the cells affected are germ-line cells. Only mutations in germ-line cells can be passed on to children, while mutations elsewhere can cause cell-death or cancer.",The ability for a mutation to be passed on to offspring is dependent upon what?,eng_Latn,05/03/2023,If the cells are germ-line,"Mutations can have a variety of different effects depending on the type of mutation, the significance of the piece of genetic material affected and whether the cells affected are germ-line cells. Only mutations in $!germ-line cells can be passed on to children!$, while mutations elsewhere can cause cell-death or cancer.",BB
Anonymous,https://en.wikibooks.org/wiki/Golf,1,"Golf is a game in which players use clubs to hit balls into holes. Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth. The player who takes the fewest strokes, or swings of the club, to complete the course wins. The game is played on grass, and the grass around the hole is mown shorter and called the green.",The goal of golf is to take the least amount of what?,eng_Latn,05/03/2023,Stokes,"Golf is a game in which players use clubs to hit balls into holes. Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth. The player who takes the fewest $!strokes!$, or swings of the club, to complete the course wins. The game is played on grass, and the grass around the hole is mown shorter and called the green.",No
Anonymous,https://en.wikibooks.org/wiki/Golf,2,"Golf is a game in which players use clubs to hit balls into holes. Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth. The player who takes the fewest strokes, or swings of the club, to complete the course wins. The game is played on grass, and the grass around the hole is mown shorter and called the green.","On a golf course, where is the grass cut shorter?",eng_Latn,05/03/2023,On the green,"Golf is a game in which players use clubs to hit balls into holes. Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth. The player who takes the fewest strokes, or swings of the club, to complete the course wins. The game is played on grass, and the grass around the hole is mown shorter and called $!the green!$.",BB
Anonymous,https://en.wikibooks.org/wiki/High_School_Biology/Nature_of_Science,1,"Science’s main goal is to figure out the way the world works through the scientific method. This method in fact guides most scientific research. It isn’t alone though, experimentation, and an experiment is a test that is used to eliminate one or more of the possible hypotheses, asking questions, and making observations also guide scientific research.",Which is the typical purpose of an experiment?,eng_Latn,05/03/2023,To eliminate one or more possible hypotheses,"Science’s main goal is to figure out the way the world works through the scientific method. This method in fact guides most scientific research. It isn’t alone though, experimentation, and an experiment is a test that is used $!to eliminate one or more of the possible hypotheses!$, asking questions, and making observations also guide scientific research.",No
Anonymous,https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes,2,"Humans have been making and using lenses for magnification for thousands and thousands of years. However, the first true telescopes were made in Europe in the late 16th century. These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.",How long have humans been magnifying objects using lenses?,eng_Latn,05/03/2023,Since the late 16th century,"Humans have been making and using lenses for magnification for thousands and $!thousands of years!$. However, the first true telescopes were made in Europe in the late 16th century. These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.",No
Anonymous,https://en.wikibooks.org/wiki/History_of_Islam/Early_Islam,1,"Muhammad was deeply interested in matters beyond this mundane life. He used to frequent a cave that became known as “Hira‘” on the Mountain of “Noor” (light) for contemplation. he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations. Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world. In fact, it is not easy to find at all even if one knew it existed. Once inside the cave, it is a total isolation. Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.","Based on the passage, what does Muhammad’s cave say about his spiritual practices or values?",eng_Latn,05/03/2023,He values peace and isolation,X,No
Anonymous,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Bones,1,"Unlike other primates, hominids no longer use their hands in locomotion or bearing weight or swinging through the trees. The chimpanzee's hand and foot are similar in size and length, reflecting the hand's use for bearing weight in knuckle walking. The human hand is shorter than the foot, with straighter phalanges. Fossil hand bones two million to three million years old reveal this shift in specialization of the hand from locomotion to manipulation.",Fossils show that hands eventually adapted to be used primarily for which following?,eng_Latn,05/03/2023,Manipulation,X,No
Anonymous,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Genetics/Introduction,1,"Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed. Mutation adds new genetic variation, and selection removes it from the pool of expressed variation. Segregation and recombination shuffle variation back and forth between the two pools with each generation.",Selection removes new genetic variation from which pool?,eng_Latn,05/03/2023,Expressed,"Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed. Mutation adds new genetic variation, and selection removes it from the pool of $!expressed variation!$. Segregation and recombination shuffle variation back and forth between the two pools with each generation.",No
Anonymous,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Genetics/Introduction,2,"Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed. Mutation adds new genetic variation, and selection removes it from the pool of expressed variation. Segregation and recombination shuffle variation back and forth between the two pools with each generation.",Which process is responsible for adding genetic variation?,eng_Latn,05/03/2023,Mutation,"Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed. $!Mutation!$ adds new genetic variation, and selection removes it from the pool of expressed variation. Segregation and recombination shuffle variation back and forth between the two pools with each generation.",No
Anonymous,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Oldowan,1,"""Out on the savanna, it is hard for a primate with a digestive system like that of humans to satisfy its amino-acid requirements from available plant resources. Moreover, failure to do so has serious consequences: growth depression, malnutrition, and ultimately death. The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked. In contrast, animal foods (ants, termites, eggs) not only are easily digestible, but they provide high-quantity proteins that contain all the essential amino acids. All things considered, we should not be surprised if our own ancestors solved their """"protein problem"""" in somewhat the same way that chimps on the savanna do today.""","Based on the information in the passage, which of these should a primate eat to solve a “protein problem”?",eng_Latn,05/03/2023,Grasshoppers,X,No
Anonymous,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Culture,1,"Subcultures bring together like-minded individuals who feel neglected by societal standards and allow them to develop a sense of identity. Subcultures can be distinctive because of the age, ethnicity, class, location, and/or gender of the members. The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors. Members of a subculture often signal their membership through a distinctive and symbolic use of style, which includes fashions, mannerisms, and argot.",How do members of a particular subculture often signify their association with the group?,eng_Latn,05/03/2023,By using style as a form of symbolism,"Subcultures bring together like-minded individuals who feel neglected by societal standards and allow them to develop a sense of identity. Subcultures can be distinctive because of the age, ethnicity, class, location, and/or gender of the members. The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors. Members of a subculture often signal their membership $! through a distinctive and symbolic use of style!$, which includes fashions, mannerisms, and argot.",No
Anonymous,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Race_and_Ethnicity,1,"Children develop an awareness of race and racial stereotypes quite young and these racial stereotypes affect behavior. For instance, children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school once they learn about the stereotype associated with their race.","According to the theory presented in the passage, what might happen to a child who identifies with a racial minority that is stereotyped for engaging in menacing behavior?",eng_Latn,05/03/2023,The child will be more likely to engage in menacing behavior,"Children develop an awareness of race and racial stereotypes quite young and these racial stereotypes affect behavior. For instance, children who identify with a racial minority that is stereotyped as not doing well in school $!tend to not do well in school!$ once they learn about the stereotype associated with their race.",No
Anonymous,https://en.wikibooks.org/wiki/Introductory_Tourism,1,"Perhaps the most common type of tourism is what most people associate with traveling: Recreation tourism. This is when people go to a place that is very different from their regular day-to-day life to relax and have fun. Beaches, theme parks and camp grounds are often the most common places frequented by recreational tourists. If the objective of one’s visit to a particular place is to get to know its history and culture then this type of tourism is known as cultural tourism. Tourists may visit different landmarks of a particular country or they may simply opt to focus on just one area.",Visiting a museum would fall under which category of tourism?,eng_Latn,05/03/2023,Cultural tourism,"Perhaps the most common type of tourism is what most people associate with traveling: Recreation tourism. This is when people go to a place that is very different from their regular day-to-day life to relax and have fun. Beaches, theme parks and camp grounds are often the most common places frequented by recreational tourists. If the objective of one’s visit to a particular place is to get to know its history and culture then this type of tourism is known as $!cultural tourism!$. Tourists may visit different landmarks of a particular country or they may simply opt to focus on just one area.",BB
Anonymous,https://en.wikibooks.org/wiki/Learning_Theories/Organizational_Learning:_Influencing_Factors,1,"Individuals who had been involved for several decades helped us appreciate our strengths and passions while candidly assessing difficulties and even failures. While listening to individuals share their individual, family, and organizational stories, we gained valuable insight into the past and some of the personalities who influenced for good or ill the culture of the organization. While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization. While assessing the successes and becoming aware of failures, individuals and the whole of the participating persons discover more deeply the values, mission, and driving forces of the organization. In this instance, recalling previous instances of entrepreneurial behavior and resulting successes helped people to be open to new changes and new direction for the local church. Such success stories lessened the fears of change, while creating positive inclinations toward change in the future.",What is mentioned in the passage as something that helped lessen the fear of change within the local church?,eng_Latn,05/03/2023,Remembering successful instances of entrepreneurial behavior,"Individuals who had been involved for several decades helped us appreciate our strengths and passions while candidly assessing difficulties and even failures. While listening to individuals share their individual, family, and organizational stories, we gained valuable insight into the past and some of the personalities who influenced for good or ill the culture of the organization. While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization. While assessing the successes and becoming aware of failures, individuals and the whole of the participating persons discover more deeply the values, mission, and driving forces of the organization. In this instance, $!recalling previous instances of entrepreneurial behavior and resulting successes!$ helped people to be open to new changes and new direction for the local church. Such success stories lessened the fears of change, while creating positive inclinations toward change in the future.",BB
Anonymous,https://en.wikibooks.org/wiki/Lucid_Dreaming/Induction_Techniques,1,"Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes). This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you. If you find yourself resetting the clock in your sleep, it can be placed on the other side of the room, forcing you to get out of bed to turn it off. Other biorhythm-based options involve drinking lots of fluid (particularly water or tea, a known diuretic) prior to sleep, forcing one to get up to urinate.","After purposefully awakening during the normal sleep period, which of these would interfere with the sleep interruption process?",eng_Latn,05/03/2023,Reading for an hour and half before falling back to sleep,X,No
Anonymous,https://en.wikibooks.org/wiki/Lucid_Dreaming/Introduction,1,"Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting. The main reason for this phenomenon is the result of the lucid dreams expanding the length of time between REM states. With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem. This is just as exhausting as if you were to wake up every twenty or thirty minutes and watch TV. The effect is dependent on how often your brain attempts to lucidly dream per night.","As the brain attempts to lucid dream more frequently, what is increased?",eng_Latn,05/03/2023,Time between REM states,"Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting. The main reason for this phenomenon is the result of the lucid dreams expanding $!the length of time between REM states!$. With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem. This is just as exhausting as if you were to wake up every twenty or thirty minutes and watch TV. The effect is dependent on how often your brain attempts to lucidly dream per night.",No
Anonymous,https://en.wikibooks.org/wiki/Managing_Groups_and_Teams/How_Do_You_Build_High-performing_Virtual_Teams%3F,2,"Virtual teams are held to the same standards of excellence as conventional teams, but there are subtle differences. Virtual team members often function as the point of contact for their immediate physical group. They often have more autonomy than conventional team members as their teams may meet according to varying time zones which may not be understood by their local management. The presence of a true “invisible team” (Larson and LaFasto, 1989, p109) is also a unique component of a virtual team. The “invisible team” is the management team to which each of the members report. The invisible team sets the standards for each member.","Based on the passage, which statement regarding physical and virtual teams is not true?",eng_Latn,05/03/2023,Conventional teams are usually held to a higher standard,X,No
