Reference	Predection	F1_score
to honor the Pharaoh Khufu	to honor the Pharaoh Khufu	1.0
Strabo	Herostratus	0
stop this traffic	trying to stop this traffic	0.7499999999999999
saddle	The saddle had not yet been invented, so the Assyrian cavalry fought on the bare backs of their horses	0.11764705882352941
on horseback	the Assyrian cavalry fought on the bare backs of their horses	0.1818181818181818
in 1922	King Tutankhamun	0
the discovery of his tomb	King Tutankhamun	0
blind poet	blind	0.6666666666666666
Pythagoras	Pythagoras	1.0
in the open air	Most of the life of the Hebrew family happened in the open air	0.4615384615384615
the house	Most of the life of the Hebrew family happened in the open air	0
Eskimo tribes	Erik the Red	0
the rich men	the rich men liked to have banquets together where they would lounge on their sides while they ate their meals	0.1904761904761905
it cedes sovereignty over Taiwan to Japan	cedes sovereignty over Taiwan to Japan	0.923076923076923
the amount of Hydrogen (the H in pH) ions in the tested chemical	The pH level is indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.8
electrons	Hydrogen ions are protons that had their electrons stripped off them	0.16666666666666669
medium sized cats	small cats	0.4
small room	cella which means small room	0.5714285714285715
sun	photosynthesis	0
carbon-dioxide	oxygen	0
veins	veins	1.0
capillaries	capillaries	1.0
Belgian Revolution	1830s Belgian Revolution	0.8
23,764	23,764 square kilometres	0.5
religious ceremonies	Latin is often used in religious ceremonies	0.4444444444444445
stimulated by the bright light	To return to their previous energy level, they must get rid of the extra energy they got from the light	0.0909090909090909
Norway	Norway	1.0
Around the 15th century	Around the 15th century	1.0
the German alphabet	many words that were borrowed from German coalesced. This was the beginning of enlightenment	0.13333333333333336
Hangeul	Hangeul	1.0
gas	The gas becomes thinner as you go farther from the center of the Sun	0.16666666666666669
oil	Eighteen percent of Venezuelans are unemployed	0
two hydrogen atoms and one oxygen atom	its chemical state remains the same	0
chemical state	its chemical state remains the same	0.5714285714285715
upside down	upside down	1.0
national flower	Vanda Miss Joaquim, an orchid hybrid, was chosen as the nation's national flower	0.3076923076923077
Britain	Germany	0
Operation Sealion	Operation Sealion	1.0
""Vichy"" French	French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them	0.09999999999999999
the Americans and Free French forces	Operation Dragoon"". In just two weeks the Americans and Free French forces had liberated southern France and were turning towards Germany.	0.4
radar	radar	1.0
shooting	shooting range	0.6666666666666666
the British captured the Italian Tenth Army's Engineer-in-Chief	the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci	0.8571428571428571
in Tobruk	June 28,	0
Jai Shankar Choudhary	Lakkha Singh	0
Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou	Whirling Dervishes	0
Italian	Italian	1.0
in Tonga	There was some definite tsunami activity recorded near Pago Pago and Niue	0
when he slowed down to 160km/h	when he slowed down to 160km/h	1.0
about 65 km (40 miles) south of Butte	65 km (40 miles) south	0.7692307692307693
Abu Ghraib prison has been set alight	prison has been set alight	0.8333333333333333
prisoner abuse was discovered	The jail became notorious after prisoner abuse was discovered there after US forces took over	0.4444444444444445
protesters	Several Bishkek residents blamed protesters from the south for the lawlessness.	0.19999999999999998
Bishkek residents	Several Bishkek residents blamed protesters from the south for the lawlessness	0.3636363636363636
2013	2013 appearance in a Shark Tank episode where the show panel declined funding the startup	0.15384615384615385
when his doorbell wasn't audible from his shop in his garage	when his doorbell wasn't audible from his shop in his garage	1.0
books	recommendations for books that children should look for when they went to their library	0.13333333333333333
the funding crunch and a shift in the philosophy of educational television programming	funding crunch and a shift in the philosophy of educational television programming contributed to ending the series	0.8333333333333333
Polish government	Poland	0
four	four	1.0
Apple	Japan	0
the phone	Today Apple is going to reinvent the phone	0.25
unveiled the device	Apple is going to reinvent the phone	0
her presidential candidacy	announced her intention to run for president	0.2
in La Plata	announced her presidential candidacy	0
had not breached online content censorship laws	Big Brother had not breached online content censorship laws	0.8750000000000001
physically reside on a server	it must physically reside on a server	0.8
John Howard	Peter Costello	0
Maciej Krezel	a number of countries have failed to make the medal podium	0
Finland	Anna Jochemsen	0
53	Palmeiras	0
Manchester City	Manchester City	1.0
Jack Layton	Jack Layton	1.0
the state government and some federal MPs	Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania	0.18181818181818182
crystals	cyanuric acid and melamine	0
crystals formed in cat urine	block kidney function	0
Tommy Dreamer	Luna was the first Queen of Extreme	0
"" Dustin ""Goldust"" Runnels	Dustin ""Goldust"" Runnels	1.0
to avoid the old path of polluting first and cleaning up later	Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later	0.846153846153846
Ed Davey	Business Minister	0
Norman Lamb	Norman Lamb	1.0
smoke cannabis joints	the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in	0.33333333333333337
the performers	the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.	0.125
extravehicular activity (EVA)	the Space Race was over.	0
Apollo–Soyuz	led the Soviet part of the Apollo–Soyuz mission	0.2857142857142857
Liberal	Bush's New Orleans Deal.	0
her mother	Blue Ash, Ohio	0
in the trunk of her car	Blue Ash, Ohio	0
Skype	eBay	0
diversify its profit sources and gain popularity in areas where Skype holds a strong position	diversify its profit sources	0.4444444444444445
the dependency on oil	dependency on oil	1.0
a pre-printed sheet of paper indicating their candidate of choice into an envelope	put a pre-printed sheet of paper indicating their candidate of choice into an envelope	0.9565217391304348
a lifelong interest in the war	eight	0
the very high fatality rate	very high fatality rate	1.0
two	6,000	0
satellite-based technology	satellite-based technology	1.0
pinpoint aircraft with greater precision	give pilots more accurate information	0
devote 10 agents to adult pornography	the FBI must devote 10 agents to adult pornography	0.8571428571428571
rolled over	exploded	0
to commercial flights	closing the airport to commercial flights	0.7499999999999999
Carter	John F. Kennedy	0
Henry Kissinger	National Security Advisor (NSA) from 1977 to 1981	0
second claw was larger	western claw	0.3333333333333333
the 1960s	1973	0
in St. Peter's Square	Several large television screens were installed in various places in Rome to let the people watch the ceremony	0.1
in St. Peter's Square	St. Peter's Square	0.8571428571428571
Uka	Uka's weapon failed whilst pointed at a fifth man's head	0
9,000	1759	0
US$14.7 billion	US$14.7 billion	1.0
the seventh country	France	0
in marshland near Lyon in the east of France	dead wild duck	0
the 1800s	1800s	1.0
the troop's encampment	waste from the UN camp was not properly sanitized	0
drug	temporary legality	0
trespassing	trespassing rather than vandalism	0.4
The sign was not physically damaged	vandalism	0
to the National Congress	Roberto Jefferson	0
hail fell from the sky	the rain comes	0
only the third major hurricane	Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery	0
northwest	Cape Verde islands	0
dual radios	provided that the base station has dual radios	0.4444444444444445
100m and 200m freestyle and in three relays	due to his complaints his fitness has been in doubt	0.11111111111111112
as they are banned	his fitness has been in doubt	0
encephalitis vaccine	The outbreak has prompted the Indian government to undertake such measures as deployment of pig catchers in seriously affected areas	0
through mosquitos	through mosquitos	1.0
possibly open the door for civil unions	could possibly open the door for civil unions in the future	0.8
to the press	Panamanian law firm Mossack Fonseca	0
Lo Piccolo	Lo Piccolo	1.0
in Nepal	Nepal	0.6666666666666666
a rabid dog	a rabid dog	1.0
right after his pit-stop	right after his pit-stop	1.0
the suspension damage	suspension damage	1.0
a hearing	did not receive a hearing by a court commissioner	0.25
These agents	Political Agents	0.5
Actress	Best Actor and Actress	0.4
OHA	tenants	0
Bowyer	Keselowski	0
2,220	Keselowski remains the Drivers' Championship leader with 2,250 points	0
34 have been verified to be martian in origin	Fifteen of these rocks are attributed to the meteorite shower last July	0.09999999999999999
in 2006	Schumacher	0
during the 2009 Hungarian Grand Prix	Massa is due to be out for at least the rest of the 2009 season	0.1111111111111111
all fifty of its delegates	all fifty of its delegates	1.0
information	10 gunmen from the Pakistani militant group Laskhar-e-Taiba	0
boat	boat	1.0
Four	45 of the 117 total skiers in the Giant Slalom failed to rank in the race	0
in 2007	Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.	0.23529411764705882
the United States	United States	1.0
the economy	it would damage the economy with its heavy reliance on coal exports	0.16666666666666669
the Sporting Shooters Association's hunting program	Sporting Shooters Association's hunting program	1.0
moving the device through the air	the controller	0
the controller	Nintendo Revolution console	0
the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature	unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him	0.7647058823529412
Bob Dylan	Bob Dylan	1.0
Gordon Johndroe	North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula	0
over 1,000	28	0
A power failure	800 miles of the Trans-Alaska Pipeline System were closed down	0
waist-high	The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water	0.10526315789473684
flooding	Hurricane Katrina	0
how planets form, especially how the Earth formed	Scientists hope to understand how planets form	0.42857142857142855
take pictures of the police stop	the photographer stopped his vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop	0.4347826086956522
240 kilometers an hour (149 miles per hour)	240 kilometers an hour	0.6
just after an early pit stop for Fernando Alonso	Piquet Jr. crashed in the 2008 Singapore Grand Prix	0
The city	Bucharest City Hall	0.5
accident	Russia briefly grounded Il-76s after that accident	0.25
The aircraft	The Il-76 has been a major component of both the Russian and Soviet military since the 1970s	0
both female and male individuals	positive comments and encouragement sent to her by both female and male individuals	0.5555555555555556
rachis	confirms that at least some dinosaurs had feathers	0
in low-income countries	the survival rates for illnesses such as breast cancer can be half those of richer countries	0.1111111111111111
standard inkjet printers	a tiny printable chip	0
extreme weather conditions	extreme weather conditions have been hampering rescue efforts	0.5454545454545454
when he believes life begins	Roberts flatly refused to say about when he believes life begins	0.625
the specifics of likely cases	Roberts flatly refused to say about when he believes life begins	0
skywards	Two beams of light have been rigged up to point skywards	0.16666666666666669
temperature variations	Glen Cushing	0
Infrared images	Infrared images	1.0
he is a member of the Uighur ethnic group	His name is still unknown to authorities, although they do know he is a member of the Uighur ethnic group	0.56
Springboks play Australia	South Africa	0
Johannesburg	final match for the All Blacks	0
49	Sevilla	0
Bolonia	Bolonia	1.0
a match planned for Sunday	Jarque was practicing during pre-season training at Coverciano in Italy	0
29 per cent	8 per cent	0.6666666666666666
at the end of Queen Elizabeth II's reign	Prime Minister	0
Planned Parenthood	Komen Foundation	0
the Oversight and Investigations Subcommittee	Oversight and Investigations Subcommittee	1.0
ASUS	ASUS was awarded in the 2007 Taiwan Sustainable Award by Executive Yuan of the Republic of China	0.125
laptop	earlier launched world-wide for cost-saving and functionality factors	0
the boy	the boy had hidden more than 600 postal documents, including 429 New Year postcards, which weren't delivered to their intended recipients	0.09523809523809523
in the second set	a tie break after reaching 6-6	0
Murray lost	Murray lost the first set in a tie break	0.4444444444444445
children	Texas citizens that steps were being taken to protect the public's safety	0
The Onion	The Onion	1.0
At 11:20	11:20	0.6666666666666666
bad weather	bad weather	1.0
the storm is far from landfall	it remains difficult to assess potential impact to the United States or Caribbean	0
Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666
After a week of losses in the midterm election	George W. Bush	0
fund extra carriages	Today's announcement also extended the government's commitment made in March of this year to fund extra carriages	0.3157894736842105
presidential commission	Last month a presidential commission recommended the prior CEP's resignation	0.4
making the sport of gymnastics, and others, as safe as possible	making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment	0.625
Palawan	Japan	0
the press secretary	US troops would be leaving Syria	0
Turkey	Turkey	1.0
hostile fire	hostile fire	1.0
mountainous	mountainous	1.0
restore eroded sandbars	officials are hoping it will be enough to restore eroded sandbars downstream	0.4
7	India	0
after being involved in a crash	Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway	0.47619047619047616
racer	Xavier Zayat	0
overcome a fear which is based on the unknown or on not being in control	Travelling by plane can be a scary experience for people of all ages and backgrounds	0
send luggage	Airline regulations will not allow them to send luggage without a passenger	0.3076923076923077
Drink alcoholic drinks with moderation	knowing your limit is very important	0
The Canal District	The Canal District	1.0
cultural and historical value	unique cultural and historical value	0.888888888888889
inland	Tourist visits are costly, demand physical fitness, can only take place in summer Nov-Feb	0
in remote areas	remote areas with favorable atmospheric conditions	0.4444444444444444
Central Auckland	Tamaki Drive beaches	0
because it is established by law as the first official language	most signs are indicated only in Catalan because it is established by law as the first official language	0.7407407407407407
people who work with poultry	birdwatchers	0
the Arctic Ocean to the Baltic Sea	Check possible need for special permits	0
cherries and plums	cherries and plums making their appearances during the summer	0.5454545454545454
The Portuguese	earthquake in 1755	0
a new republic	Diplomatic arguments over the region continue to mar relations between Armenia and Azerbaijan	0
Diplomatic arguments	Diplomatic arguments over the region	0.6666666666666666
more than 2 passengers	There is a surcharge for having more than 2 passengers	0.6153846153846153
Inca	northern Chile was under Inca rule	0.2857142857142857
Paths, trains and boats	Paths, trains and boats	1.0
Riomaggiore, Manarola, Corniglia, Vernazza and Monterosso	Cinque Terre, which means Five Lands	0
readjusting to their native culture	Travellers who had an easy time adjusting to the new culture sometimes have a particularly hard time readjusting to their native culture	0.4166666666666667
Norwegians	Australia	0
US green card	Cuban citizens who are US green card holders	0.5454545454545454
some may be knock-offs	some may be knock-offs, and the real imported ones may be more expensive than at home	0.4210526315789474
On the outlying islands	The official Falklands currency is the Falkland pound (FKP) whose value is set equivalent to that of one British pound (GBP).	0
Kerala's temple festivals	Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar	0
a microwave oven	Buying food in supermarkets	0
If you don't have a data connection for your phone, or when it is out of range	Using GPS navigation apps on your smartphone can be the easiest and most convenient way to navigate when out of your home country	0.2105263157894737
waving	come over	0
the North Kivu province	any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province	0.2727272727272727
Permits are limited	There are a limited number permits reserved for walk-in requests available on a first come, first served basis	0.3157894736842105
often covered in heather	Rogaland and Agder they are usually called ""hei"" meaning a treeless moorland often covered in heather.	0.4210526315789474
during winter	many hill stations receiving healthy amounts of snow and offering activities such as skiing and snowboarding	0
putting up notices offering your help, pacing the docks, approaching people cleaning their yachts, trying to make contact with sailors in the bar	Basically you'll be putting up notices offering your help	0.4
This	Hong Kong Island	0
the Kowloon waterfront	Hong Kong Island	0
safety bars	Stirrups	0
a heel and a smooth, quite narrow, sole	Stirrups	0
A listing of available hosts	A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit	0
a typical guest is in their twenties	Hostels cater primarily to young people – a typical guest is in their twenties	0.631578947368421
the Internet	There is also no requirement that you obtain a local number from the community in which you live	0
Cherry blossom	Cherry blossom viewing	0.8
the emperor	Cherry blossom viewing, known as hanami	0
bring your own, especially one with bright colors	women are required to wear skirts covering the knees and have their shoulders covered, too	0
in the winter	in the winter	1.0
In remote locations, without cell phone coverage	A satellite phone is not generally a replacement for a mobile phone	0.125
to camp on site	camp on site	0.8571428571428571
Fruit juices	bottled water is easy to find if you are fearful	0
The Spaniards	The Spaniards	1.0
more comfortable and less crowded	MetroPlus	0
corner store	pay phones or ordinary telephones	0
through a toll-free telephone number	toll-free telephone number that can be called from most phones without charge	0.375
immigration check	immigration check is usually absent or a formality when you arrive in your homeland, customs control can be a hassle	0.19999999999999998
SkyTeam	No airline alliance covers all three ocean crossings in the Southern Hemisphere (and SkyTeam covers none of the crossings).	0.1111111111111111
Go Running Tours	Go Running Tours	1.0
with binoculars	binoculars	0.6666666666666666
elephants and giraffes	elephants and giraffes	1.0
downloading the desired language data	Google Translate	0
yogurt	coconut milk is commonly used	0
These aren't very nimble	The South Pole Traverse	0
crevasses	The South Pole Traverse (or Highway) is a 1600 km trail from McMurdo Station on the Ross Sea to the Pole	0
In the churchyard	marble sculptures of doves	0
Student visas	Student visas	1.0
an international student	going there as an international student	0.5714285714285715
In summer	you'll need to watch out for mosquitoes if you decide to hike through the rainforest	0
Sundarbans National Park	The Sundarbans	0.5
to purchase a ticket a few days in advance	purchase a ticket a few days in advance	0.923076923076923
July 2020	July 2020	1.0
hot climates	hot climates are fairly common	0.5714285714285715
The fabulous riches	only the head and shoulders are visible	0
say that they are married	It is recommended that any women travellers say that they are married	0.5882352941176471
phages	phages	1.0
the show	War Memorial Stadium	0
band's management company	gave no initial reason	0
Gibson	The truck driver, who is aged 64, was not injured in the crash	0
Gibson was transported to a hospital but died shortly afterwards. The truck driver, who is aged 64, was not injured	Gibson was transported to a hospital but died shortly afterwards	0.6666666666666666
No major injuries were reported	No major injuries were reported, but at least five people on scene at the time of the explosion were treated for symptoms of shock	0.37037037037037035
a neighbor	An official with the gas company was reporting to the scene after a neighbor called about a gas leak	0.13333333333333333
enough ambiguity in the Afghan constitution	Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary	0.47619047619047616
two	Police said they suspect an alleged Daesh (ISIL) militant	0
Police	Daesh (ISIL) militant	0
TogiNet Radio	TogiNet Radio	1.0
geeky	old school	0
Nicklas Backstrom	Alex Ovechkin	0
Alex Ovechkin	Alex Ovechkin	1.0
block	authorities are unsure of the credibility of the threat	0
Simon	Simon	1.0
the quake did not meet the magnitude 6.5 requirement	No tsunami warning has been issued	0
The luminosity and rotation	luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow	0.3
