Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
 أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333	أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333	0
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692	أعضاء الحس جهاز الرؤية	أعضاء الحس جهاز الرؤية العينين	0.888888888888889	0
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	1
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	1.0	عدة أهرامات ( أكبرها الهرم الأكبر ) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات ( أكبرها الهرم الأكبر ) ومقابر صغيرة ومعابد وأبو الهول	1.0	1
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	0
سترابو	سترابو	1.0	سترابو	سترابو	1.0	1
 التصدي لهذا الغزو 	التصدي لهذا الغزو	1.0	التصدي لهذا الغزو	التصدي لهذا الغزو	1.0	1
السرج	لم يكن السرج قد اخترع بعد، لذلك قاتل الفرسان الآشوريون على ظهور خيولهم العارية	0.1333333333333333	السرج	يكن السرج اخترع بعد، لذلك قاتل الفرسان الآشوريون ظهور خيولهم العارية	0.16666666666666669	0
على ظهور الخيل	على ظهور خيولهم العارية	0.5714285714285715	ظهور الخيل	ظهور خيولهم العارية	0.4	0
في عام 1922	1922	0.5	عام 1922	1922	0.6666666666666666	0
اكتشاف قبره	اكتشاف قبره	1.0	اكتشاف قبره	اكتشاف قبره	1.0	1
 فقد بصره	فقد بصره	1.0	فقد بصره	فقد بصره	1.0	1
فيثاغورس	هوميروس	0.0	فيثاغورس	هوميروس	0.0	0
في الهواء الطلق	الهواء الطلق	0.8	الهواء الطلق	الهواء الطلق	1.0	1
للمنزل	للمنزل	1.0	للمنزل	للمنزل	1.0	1
قبائل الإسكيمو	إريك الأحمر	0.0	قبائل الإسكيمو	إريك الأحمر	0.0	0
الرجال الأغنياء	الفقراء والنساء يأكلون طعامهم وهم جالسون على المقاعد، كان الرجال الأغنياء	0.3076923076923077	الرجال الأغنياء	الفقراء والنساء يأكلون طعامهم وهم جالسون المقاعد، الرجال الأغنياء	0.3636363636363636	0
تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان	تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان التي حكمت الجزيرة حتى عام 1945	0.7499999999999999	تنازلت خلالها سيادتها التايوان لصالح اليابان	تنازلت خلالها سيادتها التايوان لصالح اليابان حكمت الجزيرة عام 1945	0.7499999999999999	0
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	من خلال عدد أيونات الهيدروجين	0.5882352941176471	خلال عدد أيونات الهيدروجين ( حرف الH pH ) المادة الكيميائية	خلال عدد أيونات الهيدروجين	0.6153846153846153	0
الإلكترونات	بروتونات منزوعة الإلكترونات	0.5	الإلكترونات	بروتونات منزوعة الإلكترونات	0.5	0
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0	القطط متوسطة الحجم	القطط متوسطة الحجم	1.0	1
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0	غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0	1
الشمس	تصنع النباتات طعامها من الشمس	0.3333333333333333	الشمس	تصنع النباتات طعامها الشمس	0.4	0
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0	أكسيد الكربون	أكسيد الكربون	1.0	1
الأوردة	العضو الرئيسي	0.0	الأوردة	العضو الرئيسي	0.0	0
الشعيرات الدموية	الشعيرات الدموية	1.0	الشعيرات الدموية	الشعيرات الدموية	1.0	1
الثورة البلجيكية	الثورة البلجيكية	1.0	الثورة البلجيكية	الثورة البلجيكية	1.0	1
23،764	23،764 كيلومتر مربع	0.5	23،764	23،764 كيلومتر مربع	0.5	0
المراسم الدينيّة	الإيطالية	0.0	المراسم الدينيّة	الإيطالية	0.0	0
استخدام ضوء ساطع في تحفيز الذرات	لاستخدام ضوء ساطع	0.4444444444444444	استخدام ضوء ساطع تحفيز الذرات	لاستخدام ضوء ساطع	0.5	0
النرويج	نرويجي	0.0	النرويج	نرويجي	0.0	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571	حوالي القرن الخامس	القرن الخامس	0.8	0
الأبجدية الألمانية	تأثير ثقافي كبير من ألمانيا	0.0	الأبجدية الألمانية	تأثير ثقافي كبير ألمانيا	0.0	0
 الهانجول 	اخترعت عن قصد	0.0	الهانجول	اخترعت قصد	0.0	0
الغاز	سماكة الغاز	0.6666666666666666	الغاز	سماكة الغاز	0.6666666666666666	0
النّفط	الزراعة	0.0	النّفط	الزراعة	0.0	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0	ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0	1
حالته الكيميائية	حالته الكيميائية	1.0	حالته الكيميائية	حالته الكيميائية	1.0	1
مقلوباً	مقلوباً	1.0	مقلوباً	مقلوباً	1.0	1
هجين أوركيد	عبارة عن هجين أوركيد	0.6666666666666666	هجين أوركيد	عبارة هجين أوركيد	0.8	0
بريطانيا	بريطانيا	1.0	بريطانيا	بريطانيا	1.0	1
عملية أسد البحر 	عملية أسد البحر	1.0	عملية أسد البحر	عملية أسد البحر	1.0	1
"يحكم فرنسا """"فيشي"	فيشي	0.5	يحكم فرنسا `` '' فيشي	فيشي	0.5	0
الأمريكيون والقوات الفرنسية الحرة	الشعب الفرنسي	0.0	الأمريكيون والقوات الفرنسية الحرة	الشعب الفرنسي	0.0	0
الرادار	عندما بدأ الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء لتفادي كشفها	0.125	الرادار	عندما بدأ الرادار التطور وأصبح أدق، اضطرت الغواصات الغوص الماء لتفادي كشفها	0.15384615384615385	0
الرّماية	الحرب العالميّة الأولى والثّانية	0.0	الرّماية	الحرب العالميّة الأولى والثّانية	0.0	0
 أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0.0	أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0.0	0
في طبرق	بنيران صديقة أثناء هبوطه في طبرق	0.5	طبرق	بنيران صديقة أثناء هبوطه طبرق	0.33333333333333337	0
جاي شانكار شودري	لاكها سينغ	0.0	جاي شانكار شودري	لاكها سينغ	0.0	0
"غنت المغنية التركية """"سيزين أكسو"""" مع الإيطالي """"أليساندرو سافينا"""" والمغني اليوناني """"هاريس أليكسيو"""""	أوركسترا الدولة السيمفونية في اسطنبول	0.0	غنت المغنية التركية `` '' سيزين أكسو '' '' الإيطالي `` '' أليساندرو سافينا '' '' والمغني اليوناني `` '' هاريس أليكسيو '' ''	أوركسترا الدولة السيمفونية اسطنبول	0.0	0
الإيطالي	الإيطالي	1.0	الإيطالي	الإيطالي	1.0	1
في تونغا	بالقرب من باغو باغو ونيو	0.0	تونغا	بالقرب باغو باغو ونيو	0.0	0
عندما قلل السرعة إلى 160 كيلومتر في ساعة	"درجة انخفاض """"البلاك بيوتي""""."	0.0	عندما قلل السرعة 160 كيلومتر ساعة	درجة انخفاض `` '' البلاك بيوتي '' '' .	0.0	0
حوالي 65 كم (40 ميلاً) جنوب بوتي	جنوب بوتي	0.4444444444444445	حوالي 65 ( 40 ميلاً ) جنوب بوتي	جنوب بوتي	0.5	0
اشتعلت النيران في سجن أبو غريب	اشتعلت النيران	0.5	اشتعلت النيران سجن غريب	اشتعلت النيران	0.6666666666666666	0
بعد اكتشاف إساءة معاملة السجناء	اكتشاف إساءة معاملة السجناء به	0.8000000000000002	اكتشاف إساءة معاملة السجناء	اكتشاف إساءة معاملة السجناء	1.0	1
المتظاهرين	ضباط إنفاذ القانون	0.0	المتظاهرين	ضباط إنفاذ القانون	0.0	0
"سكان مدينة """"بشكيك"""""	"العديد من سكان مدينة """"بشكيك"""""	0.7499999999999999	سكان مدينة `` '' بشكيك '' ''	العديد سكان مدينة `` '' بشكيك '' ''	0.8571428571428571	0
في عام 2013	المبيعات ارتفعت بعد ظهوره في عام 2013	0.6	عام 2013	المبيعات ارتفعت ظهوره عام 2013	0.5714285714285715	0
عندما لم يكن جرس بابه مسموعاً من متجره ف مرآب منزله	2013	0.0	عندما يكن جرس بابه مسموعاً متجره مرآب منزله	2013	0.0	0
كتب	توصيات عن كتب يجب على الأطفال أن يبحثوا عنها عندما يتوجه كل منهم إلى المكتبة	0.125	كتب	توصيات كتب يجب الأطفال يبحثوا عنها عندما يتوجه منهم المكتبة	0.18181818181818182	0
أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل	0.4	أزمة التمويل والتحول فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل	0.4444444444444445	0
الحكومة البولندية 	بولندا	0.0	الحكومة البولندية	بولندا	0.0	0
أربعة	أربعة	1.0			1.0	1
 Apple 	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0.0	Apple	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0.0	0
الهاتف	سنصنع التاريخ اليوم	0.0	الهاتف	سنصنع التاريخ اليوم	0.0	0
اختراع الهاتف	سنصنع التاريخ اليوم	0.0	اختراع الهاتف	سنصنع التاريخ اليوم	0.0	0
عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0	عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0	1
في لابلاتا	لابلاتا	0.6666666666666666	لابلاتا	لابلاتا	1.0	1
لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	برنامج الأخ الأكبر لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	0.8695652173913044	ينتهك أياً قوانين الرقابة المحتوى عبر الإنترنت	برنامج الأخ الأكبر ينتهك أياً قوانين الرقابة المحتوى عبر الإنترنت	0.8235294117647058	0
يجب أن يكون موجوداً على الخادم بشكل ملموس	يجب أن يكون موجوداً على الخادم بشكل ملموس	1.0	يجب يكون موجوداً الخادم بشكل ملموس	يجب يكون موجوداً الخادم بشكل ملموس	1.0	1
جون هاوارد	بيتر كوستيلو	0.0	جون هاوارد	بيتر كوستيلو	0.0	0
ماسيج كريزيل	ماسيج كريزيل والمرشدة آنا أوغارزينسكا	0.5714285714285715	ماسيج كريزيل	ماسيج كريزيل والمرشدة آنا أوغارزينسكا	0.5714285714285715	0
فنلندا	فنلندا	1.0	فنلندا	فنلندا	1.0	1
53	53	1.0	53	53	1.0	1
مانشستر سيتي	27 مليون جنيه إسترليني	0.0	مانشستر سيتي	27 مليون إسترليني	0.0	0
جاك ليتون	جاك ليتون	1.0	جاك ليتون	جاك ليتون	1.0	1
حكومة الولاية وبعض النواب الفيدراليين	حكومة الولاية وبعض النواب الفيدراليين	1.0	حكومة الولاية وبعض النواب الفيدراليين	حكومة الولاية وبعض النواب الفيدراليين	1.0	1
بلورات	لتكوين بلورات قد تُعيق وظائف الكلى	0.2857142857142857	بلورات	لتكوين بلورات تُعيق وظائف الكلى	0.33333333333333337	0
بلورات تتشكل في بول القطط	بلورات تتشكل في بول القطط	1.0	بلورات تتشكل بول القطط	بلورات تتشكل بول القطط	1.0	1
تومي دريمر	تومي دريمر	1.0	تومي دريمر	تومي دريمر	1.0	1
"داستن """"جولدست"""" رانلز"	"داستن """"جولدست"""" رانلز"	1.0	داستن `` '' جولدست '' '' رانلز	داستن `` '' جولدست '' '' رانلز	1.0	1
تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	1.0	تجنب الطريق القديم يقوم مبدأ تلوث أولاً تنظف لاحقاً	تجنب الطريق القديم يقوم مبدأ تلوث أولاً تنظف لاحقاً	1.0	1
إيد ديفي 	نورمان لامب	0.0	إيد ديفي	نورمان لامب	0.0	0
نورمان لامب 	نورمان لامب	1.0	نورمان لامب	نورمان لامب	1.0	1
يدخن الفنانون لفائف القنب 	يدخن الفنانون لفائف القنب	1.0	يدخن الفنانون لفائف القنب	يدخن الفنانون لفائف القنب	1.0	1
الفنانون	لكاميل سان ساينز	0.0	الفنانون	لكاميل سان ساينز	0.0	0
نشاط مأهول خارج المركبة ( EVA )	رائد الفضاء رقم 11	0.0	نشاط مأهول خارج المركبة ( EVA )	رائد الفضاء رقم 11	0.0	0
أبولو سويوز	"قام بقيادة الجزء السوفيتي من مهمة """"أبولو سويوز"	0.4	أبولو سويوز	بقيادة الجزء السوفيتي مهمة `` '' أبولو سويوز	0.5	0
الليبرالي	المحافظين الماليين	0.0	الليبرالي	المحافظين الماليين	0.0	0
أمها 	طبيبةً قد عملت في مستشفى الأطفال في بيتسبرغ في ولاية بنسلفانيا، ستتهمُ بجريمةِ القتل المتعمد	0.0	أمها	طبيبةً عملت مستشفى الأطفال بيتسبرغ ولاية بنسلفانيا، ستتهمُ بجريمةِ القتل المتعمد	0.0	0
في صندوق سيارتها	بلو آش، أوهايو	0.0	صندوق سيارتها	بلو آش، أوهايو	0.0	0
سكايب	الصين، وأوروبا الشرقية، والبرازيل	0.0	سكايب	الصين، وأوروبا الشرقية، والبرازيل	0.0	0
تنويع مصادر ربحها واكتساب شعبية في المناطق التي يحتل فيها سكايب مكانة قوية	تنويع مصادر ربحها واكتساب شعبية	0.5555555555555556	تنويع مصادر ربحها واكتساب شعبية المناطق يحتل سكايب مكانة قوية	تنويع مصادر ربحها واكتساب شعبية	0.6666666666666666	0
الاعتماد على النفط	الاعتماد على النفط	1.0	الاعتماد النفط	الاعتماد النفط	1.0	1
 ويضعون ورقة مطبوعة بشكل مسبق مشيرة إلى مرشحهم المفضل في ظرف	ظرف	0.1666666666666666	ويضعون ورقة مطبوعة بشكل مسبق مشيرة مرشحهم المفضل ظرف	ظرف	0.19999999999999998	0
اهتمامه بالحرب الذي استمر طوال حياته	اهتمامه بالحرب	0.5	اهتمامه بالحرب استمر طوال حياته	اهتمامه بالحرب	0.5714285714285715	0
معدل الوفيات المرتفع جداً	معدل الوفيات المرتفع	0.8571428571428571	معدل الوفيات المرتفع جداً	معدل الوفيات المرتفع	0.8571428571428571	0
اثنين	6000	0.0		6000	0.0	0
 مرتبطة بالأقمار الاصطناعية 	تقنية مرتبطة بالأقمار الاصطناعية	0.8571428571428571	مرتبطة بالأقمار الاصطناعية	تقنية مرتبطة بالأقمار الاصطناعية	0.8571428571428571	0
بتحديد مكان طائرة بدقة أعلى	بتحديد مكان طائرة بدقة أعلى	1.0	بتحديد مكان طائرة بدقة أعلى	بتحديد مكان طائرة بدقة أعلى	1.0	1
يخصص 10 عملاء للمواد الإباحية للبالغين	يخصص 10 عملاء للمواد الإباحية للبالغين	1.0	يخصص 10 عملاء للمواد الإباحية للبالغين	يخصص 10 عملاء للمواد الإباحية للبالغين	1.0	1
انقلاب	انقلاب	1.0	انقلاب	انقلاب	1.0	1
 أمام الرحلات الجوية التجارية	وانفجرت	0.0	الرحلات الجوية التجارية	وانفجرت	0.0	0
كارتر	كارتر	1.0	كارتر	كارتر	1.0	1
لهنري كيسنجر	بريجنسكي	0.0	لهنري كيسنجر	بريجنسكي	0.0	0
مخلبه الثاني كان أكبر	المخلب الغربي	0.0	مخلبه الثاني أكبر	المخلب الغربي	0.0	0
الستينيات	الحرب العالمية الثانية	0.0	الستينيات	الحرب العالمية الثانية	0.0	0
في ساحة القديس بطرس.	روما	0.0	ساحة القديس بطرس .	روما	0.0	0
في ساحة القديس بطرس.	ساحة القديس بطرس	0.8571428571428571	ساحة القديس بطرس .	ساحة القديس بطرس	1.0	1
 '' أوكا '' '' 	أوكا	1.0	`` أوكا `` ``	أوكا	1.0	1
9000	9000	1.0	9000	9000	1.0	1
14.7 مليار دولار أمريكي	10 مليار يورو	0.2857142857142857	14.7 مليار أمريكي	10 مليار	0.4	0
البلد السابع	السابع	0.6666666666666666	البلد السابع	السابع	0.6666666666666666	0
في مستنقعات بالقرب من ليون في شرق فرنسا.	ليون في شرق فرنسا	0.6666666666666666	مستنقعات بالقرب ليون شرق فرنسا .	ليون شرق فرنسا	0.7499999999999999	0
منذ القرن التاسع عشر	لم تواجه هايتي مشاكل متعلقة بالمرض منذ القرن التاسع عشر	0.5714285714285715	القرن التاسع	تواجه هايتي مشاكل متعلقة بالمرض القرن التاسع	0.4444444444444445	0
مُعسكر القوات	أرتيبونايت	0.0	مُعسكر القوات	أرتيبونايت	0.0	0
المخدرات 	والإدانات المتعلقة بالمخدرات الصادرة منذ أن دخلت التغييرات غير الدستورية قيد التنفيذ	0.0	المخدرات	والإدانات المتعلقة بالمخدرات الصادرة دخلت التغييرات الدستورية قيد التنفيذ	0.0	0
التعدّي على ممتلكات الغيْر	التعدّي على ممتلكات الغيْر	1.0	التعدّي ممتلكات الغيْر	التعدّي ممتلكات الغيْر	1.0	1
لم يمسس اللافتة ضرر	"تغيير شكل حرف ال""""O"""" ليبدو كحرف """"e""""."	0.0	يمسس اللافتة ضرر	تغيير شكل حرف ال '' '' O '' '' ليبدو كحرف `` '' e '' '' .	0.0	0
إلى الجمعية الوطنية	الجمعية الوطنية	0.8	الجمعية الوطنية	الجمعية الوطنية	1.0	1
هطلت الأمطار	هطلت الأمطار	1.0	هطلت الأمطار	هطلت الأمطار	1.0	1
ثالث أكبر إعصار تم تسجيله 	ثالث	0.3333333333333333	أكبر إعصار تم تسجيله		0.0	0
الشمال الغربي.	الشمال الغربي	1.0	الشمال الغربي .	الشمال الغربي	1.0	1
لأجهزة راديو مزدوجة 	امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.6666666666666666	لأجهزة راديو مزدوجة	امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.6666666666666666	0
100 م و 200 م أسلوب حر وفي ثلاث مراحل	ثلاث مراحل	0.3333333333333333	100 200 أسلوب حر وفي مراحل	مراحل	0.2857142857142857	0
استخدامها ممنوع في الألعاب	استخدامها ممنوع في الألعاب	1.0	استخدامها ممنوع الألعاب	استخدامها ممنوع الألعاب	1.0	1
لقاح التهاب الدماغ،	نشر من يصطاد الخنازير في المناطق المصابة بشدة	0.0	لقاح التهاب الدماغ،	نشر يصطاد الخنازير المناطق المصابة بشدة	0.0	0
من خلال الخنازير،	البعوض	0.0	خلال الخنازير،	البعوض	0.0	0
منع الاتحادات المدنية لشخصين من نفس الجنس	قد يفتح فشل الجملة الثانية، التي تقترح منع الاتحادات المدنية لشخصين من نفس الجنس، الباب للاتحادات المدنية في المستقبل	0.4615384615384615	منع الاتحادات المدنية لشخصين الجنس	يفتح فشل الجملة الثانية، تقترح منع الاتحادات المدنية لشخصين الجنس، الباب للاتحادات المدنية المستقبل	0.4210526315789473	0
 للصحافة 	موساك فونسيكا	0.0	للصحافة	موساك فونسيكا	0.0	0
للو بيكولو	للو بيكولو	1.0	للو بيكولو	للو بيكولو	1.0	1
في نيبال	نيبال	0.6666666666666666	نيبال	نيبال	1.0	1
كلب مسعور	قراصنة	0.0	كلب مسعور	قراصنة	0.0	0
مباشرةً بعد التوقف للصيانة	التوقف للصيانة	0.6666666666666666	مباشرةً التوقف للصيانة	التوقف للصيانة	0.8	0
 بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571	بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571	0
جلسة استماع	وكيل المحكمة جلسة استماع	0.6666666666666666	جلسة استماع	وكيل المحكمة جلسة استماع	0.6666666666666666	0
هؤلاء الوكلاء	عملاء سياسيين	0.0	الوكلاء	عملاء سياسيين	0.0	0
ممثلة	أفضل فيلمٍ ومخرجٍ وتصويرٍ سينمائيٍّ	0.0	ممثلة	أفضل فيلمٍ ومخرجٍ وتصويرٍ سينمائيٍّ	0.0	0
هيئة الإسكان 	هيئة الإسكان في أوكلاند	0.6666666666666666	هيئة الإسكان	هيئة الإسكان أوكلاند	0.8	0
بوير	هاملين	0.0	بوير	هاملين	0.0	0
2,220	2,220	1.0	2,220	2,220	1.0	1
جرى التحقق من أن أصل حوالي 34 فقط	نيزك	0.0	جرى التحقق أصل حوالي 34 فقط	نيزك	0.0	0
في عام2006	2006	0.0	عام2006	2006	0.0	0
خلال سباق جائزة المجر الكبرى عام 2009.	2009.	0.25	خلال سباق جائزة المجر الكبرى عام 2009 .	2009 .	0.25	0
جميع أصوات مندوبيها الخمسين	قوى مركزه ليصبح المرشح الأول في قائمة ترشيحات الحزب الجمهوري	0.0	أصوات مندوبيها الخمسين	قوى مركزه ليصبح المرشح الأول قائمة ترشيحات الحزب الجمهوري	0.0	0
المعلومات	المعلومات	1.0	المعلومات	المعلومات	1.0	1
قارب	قارب	1.0	قارب	قارب	1.0	1
أربع	45	0.0		45	0.0	0
في عام 2007	2007.	0.5	عام 2007	2007 .	0.6666666666666666	0
الولايات المتحدة	الولايات المتحدة	1.0	الولايات المتحدة	الولايات المتحدة	1.0	1
الاقتصاد	لاعتماده الكبير على صادرات الفحم	0.0	الاقتصاد	لاعتماده الكبير صادرات الفحم	0.0	0
برنامج الصيد التابع للجمعية	برنامج الصيد	0.6666666666666666	برنامج الصيد التابع للجمعية	برنامج الصيد	0.6666666666666666	0
التلويح بالجهاز في الهواء	التلويح بالجهاز في الهواء	1.0	التلويح بالجهاز الهواء	التلويح بالجهاز الهواء	1.0	1
 نظام التحكم	نينتندو الثوري	0.0	نظام التحكم	نينتندو الثوري	0.0	0
اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016	أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها	0.878048780487805	اللجنة -التي تتمكن الوصول مباشرة بوب ديلان بشأن الفوز بجائزة نوبل الأدب لعام 2016	اللجنة -التي تتمكن الوصول مباشرة بوب ديلان بشأن الفوز بجائزة نوبل الأدب لعام 2016- تخلت جهودها	0.9333333333333333	0
بوب ديلان	بوب ديلان	1.0	بوب ديلان	بوب ديلان	1.0	1
جوردون جوندرو	جوردون جوندرو	1.0	جوردون جوندرو	جوردون جوندرو	1.0	1
أكثر من 1,000	1,000	0.5	1,000	1,000	1.0	1
 عطل كهربائي	عطل كهربائي	1.0	عطل كهربائي	عطل كهربائي	1.0	1
20 قدماً	20 قدماً	1.0	20 قدماً	20 قدماً	1.0	1
فيضاناً	شهد فيضاناً يصل ارتفاعه إلى 20 قدماً	0.25	فيضاناً	شهد فيضاناً يصل ارتفاعه 20 قدماً	0.2857142857142857	0
كيفية تشكل الكواكب، وعلى الأخص كيف تشكلت الأرض	كيفية تشكل الكواكب	0.3636363636363636	كيفية تشكل الكواكب، وعلى الأخص تشكلت الأرض	كيفية تشكل الكواكب	0.4	0
