Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333	العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333	0
 أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333	أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333	0
على أعضاء الحس في جهاز الرؤية	أعضاء الحس	0.5	أعضاء الحس جهاز الرؤية	أعضاء الحس	0.6666666666666666	0
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	1
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	1.0	عدة أهرامات ( أكبرها الهرم الأكبر ) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات ( أكبرها الهرم الأكبر ) ومقابر صغيرة ومعابد وأبو الهول	1.0	1
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	0
سترابو	سترابو	1.0	سترابو	سترابو	1.0	1
 التصدي لهذا الغزو 	التصدي لهذا الغزو قوامها في هذا استخدام الغواصات	0.5454545454545454	التصدي لهذا الغزو	التصدي لهذا الغزو قوامها استخدام الغواصات	0.6666666666666666	0
السرج	العجلات ذات العوارض	0.0	السرج	العجلات العوارض	0.0	0
على ظهور الخيل	قاتل الفرسان الآشوريون على ظهور خيولهم العارية	0.4	ظهور الخيل	قاتل الفرسان الآشوريون ظهور خيولهم العارية	0.25	0
في عام 1922	1922	0.5	عام 1922	1922	0.6666666666666666	0
اكتشاف قبره	اكتشاف قبره	1.0	اكتشاف قبره	اكتشاف قبره	1.0	1
 فقد بصره	فقد بصره	1.0	فقد بصره	فقد بصره	1.0	1
فيثاغورس	هوميروس	0.0	فيثاغورس	هوميروس	0.0	0
في الهواء الطلق	الهواء الطلق	0.8	الهواء الطلق	الهواء الطلق	1.0	1
للمنزل	للمنزل	1.0	للمنزل	للمنزل	1.0	1
قبائل الإسكيمو	إريك الأحمر	0.0	قبائل الإسكيمو	إريك الأحمر	0.0	0
الرجال الأغنياء	الرجال الأغنياء	1.0	الرجال الأغنياء	الرجال الأغنياء	1.0	1
تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان	تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان	1.0	تنازلت خلالها سيادتها التايوان لصالح اليابان	تنازلت خلالها سيادتها التايوان لصالح اليابان	1.0	1
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	من خلال عدد أيونات الهيدروجين	0.5882352941176471	خلال عدد أيونات الهيدروجين ( حرف الH pH ) المادة الكيميائية	خلال عدد أيونات الهيدروجين	0.6153846153846153	0
الإلكترونات	بروتونات منزوعة الإلكترونات	0.5	الإلكترونات	بروتونات منزوعة الإلكترونات	0.5	0
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0	القطط متوسطة الحجم	القطط متوسطة الحجم	1.0	1
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0	غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0	1
الشمس	التمثيل الضوئي	0.0	الشمس	التمثيل الضوئي	0.0	0
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0	أكسيد الكربون	أكسيد الكربون	1.0	1
الأوردة	الأوردة	1.0	الأوردة	الأوردة	1.0	1
الشعيرات الدموية	الشعيرات الدموية	1.0	الشعيرات الدموية	الشعيرات الدموية	1.0	1
الثورة البلجيكية	الثورة البلجيكية	1.0	الثورة البلجيكية	الثورة البلجيكية	1.0	1
23،764	23،764 كيلومتر مربع	0.5	23،764	23،764 كيلومتر مربع	0.5	0
المراسم الدينيّة	الإيطالية	0.0	المراسم الدينيّة	الإيطالية	0.0	0
استخدام ضوء ساطع في تحفيز الذرات	ضوء ساطع	0.5	استخدام ضوء ساطع تحفيز الذرات	ضوء ساطع	0.5714285714285715	0
النرويج	نرويجي	0.0	النرويج	نرويجي	0.0	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571	حوالي القرن الخامس	القرن الخامس	0.8	0
الأبجدية الألمانية	تأثير ثقافي كبير من ألمانيا	0.0	الأبجدية الألمانية	تأثير ثقافي كبير ألمانيا	0.0	0
 الهانجول 	اخترعت عن قصد	0.0	الهانجول	اخترعت قصد	0.0	0
الغاز	سماكة الغاز	0.6666666666666666	الغاز	سماكة الغاز	0.6666666666666666	0
النّفط	ثمانية عشر في المائة من الفنزويليين عاطلون عن العمل	0.0	النّفط	المائة الفنزويليين عاطلون العمل	0.0	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0	ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0	1
حالته الكيميائية	حالته الكيميائية	1.0	حالته الكيميائية	حالته الكيميائية	1.0	1
مقلوباً	مقلوباً	1.0	مقلوباً	مقلوباً	1.0	1
هجين أوركيد	هجين أوركيد	1.0	هجين أوركيد	هجين أوركيد	1.0	1
بريطانيا	بريطانيا	1.0	بريطانيا	بريطانيا	1.0	1
عملية أسد البحر 	عملية أسد البحر	1.0	عملية أسد البحر	عملية أسد البحر	1.0	1
"يحكم فرنسا """"فيشي"	الشعب الفرنسي	0.0	يحكم فرنسا `` '' فيشي	الشعب الفرنسي	0.0	0
الأمريكيون والقوات الفرنسية الحرة	الشعب الفرنسي	0.0	الأمريكيون والقوات الفرنسية الحرة	الشعب الفرنسي	0.0	0
الرادار	الرادار	1.0	الرادار	الرادار	1.0	1
الرّماية	نطاق الرّماية محدوداً جداً	0.4	الرّماية	نطاق الرّماية محدوداً جداً	0.4	0
 أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0.0	أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0.0	0
في طبرق	طبرق	0.6666666666666666	طبرق	طبرق	1.0	1
جاي شانكار شودري	لاكها سينغ	0.0	جاي شانكار شودري	لاكها سينغ	0.0	0
"غنت المغنية التركية """"سيزين أكسو"""" مع الإيطالي """"أليساندرو سافينا"""" والمغني اليوناني """"هاريس أليكسيو"""""	طروادة	0.0	غنت المغنية التركية `` '' سيزين أكسو '' '' الإيطالي `` '' أليساندرو سافينا '' '' والمغني اليوناني `` '' هاريس أليكسيو '' ''	طروادة	0.0	0
الإيطالي	الإيطالي	1.0	الإيطالي	الإيطالي	1.0	1
في تونغا	تونغا	0.6666666666666666	تونغا	تونغا	1.0	1
عندما قلل السرعة إلى 160 كيلومتر في ساعة	"درجة انخفاض """"البلاك بيوتي""""."	0.0	عندما قلل السرعة 160 كيلومتر ساعة	درجة انخفاض `` '' البلاك بيوتي '' '' .	0.0	0
حوالي 65 كم (40 ميلاً) جنوب بوتي	جنوب	0.25	حوالي 65 ( 40 ميلاً ) جنوب بوتي	جنوب	0.2857142857142857	0
اشتعلت النيران في سجن أبو غريب	اشتعلت النيران في سجن أبو غريب بالعراق أثناء أحداث شغب	0.7499999999999999	اشتعلت النيران سجن غريب	اشتعلت النيران سجن غريب بالعراق أثناء أحداث شغب	0.6666666666666666	0
بعد اكتشاف إساءة معاملة السجناء	اكتشاف إساءة معاملة السجناء به	0.8000000000000002	اكتشاف إساءة معاملة السجناء	اكتشاف إساءة معاملة السجناء	1.0	1
المتظاهرين	المتظاهرين في الجنوب	0.5	المتظاهرين	المتظاهرين الجنوب	0.6666666666666666	0
"سكان مدينة """"بشكيك"""""	"العديد من سكان مدينة """"بشكيك"""""	0.7499999999999999	سكان مدينة `` '' بشكيك '' ''	العديد سكان مدينة `` '' بشكيك '' ''	0.8571428571428571	0
في عام 2013	2013	0.5	عام 2013	2013	0.6666666666666666	0
عندما لم يكن جرس بابه مسموعاً من متجره ف مرآب منزله	2013	0.0	عندما يكن جرس بابه مسموعاً متجره مرآب منزله	2013	0.0	0
كتب	يقدم كل برنامج توصيات عن كتب يجب على الأطفال أن يبحثوا عنها عندما يتوجه كل منهم إلى المكتبة	0.1052631578947368	كتب	يقدم برنامج توصيات كتب يجب الأطفال يبحثوا عنها عندما يتوجه منهم المكتبة	0.15384615384615385	0
أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	1.0	أزمة التمويل والتحول فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل والتحول فلسفة البرامج التلفزيونية التعليمية	1.0	1
الحكومة البولندية 	بولندا	0.0	الحكومة البولندية	بولندا	0.0	0
أربعة	60	0.0		60	0.0	0
 Apple 	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0.0	Apple	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0.0	0
الهاتف	الهاتف	1.0	الهاتف	الهاتف	1.0	1
اختراع الهاتف	سنصنع التاريخ اليوم	0.0	اختراع الهاتف	سنصنع التاريخ اليوم	0.0	0
عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0	عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0	1
في لابلاتا	لابلاتا	0.6666666666666666	لابلاتا	لابلاتا	1.0	1
لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	على الرغم من أنه تم بث الفيديو على الإنترنت، برنامج الأخ الأكبر لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	0.625	ينتهك أياً قوانين الرقابة المحتوى عبر الإنترنت	الرغم أنه تم بث الفيديو الإنترنت، برنامج الأخ الأكبر ينتهك أياً قوانين الرقابة المحتوى عبر الإنترنت	0.6086956521739131	0
يجب أن يكون موجوداً على الخادم بشكل ملموس	يجب أن يكون موجوداً على الخادم بشكل ملموس	1.0	يجب يكون موجوداً الخادم بشكل ملموس	يجب يكون موجوداً الخادم بشكل ملموس	1.0	1
جون هاوارد	بيتر كوستيلو	0.0	جون هاوارد	بيتر كوستيلو	0.0	0
ماسيج كريزيل	ماسيج كريزيل	1.0	ماسيج كريزيل	ماسيج كريزيل	1.0	1
فنلندا	فنلندا	1.0	فنلندا	فنلندا	1.0	1
53	53	1.0	53	53	1.0	1
مانشستر سيتي	مانشستر سيتي	1.0	مانشستر سيتي	مانشستر سيتي	1.0	1
جاك ليتون	جاك ليتون	1.0	جاك ليتون	جاك ليتون	1.0	1
حكومة الولاية وبعض النواب الفيدراليين	وبعض النواب الفيدراليين	0.7499999999999999	حكومة الولاية وبعض النواب الفيدراليين	وبعض النواب الفيدراليين	0.7499999999999999	0
بلورات	بلورات	1.0	بلورات	بلورات	1.0	1
بلورات تتشكل في بول القطط	تكوين هذه البلورات	0.0	بلورات تتشكل بول القطط	تكوين البلورات	0.0	0
تومي دريمر	تومي دريمر	1.0	تومي دريمر	تومي دريمر	1.0	1
"داستن """"جولدست"""" رانلز"	"داستن """"جولدست"""" رانلز"	1.0	داستن `` '' جولدست '' '' رانلز	داستن `` '' جولدست '' '' رانلز	1.0	1
تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	1.0	تجنب الطريق القديم يقوم مبدأ تلوث أولاً تنظف لاحقاً	تجنب الطريق القديم يقوم مبدأ تلوث أولاً تنظف لاحقاً	1.0	1
إيد ديفي 	إيد ديفي	1.0	إيد ديفي	إيد ديفي	1.0	1
نورمان لامب 	نورمان لامب	1.0	نورمان لامب	نورمان لامب	1.0	1
يدخن الفنانون لفائف القنب 	يدخن الفنانون لفائف القنب	1.0	يدخن الفنانون لفائف القنب	يدخن الفنانون لفائف القنب	1.0	1
الفنانون	الفنانون	1.0	الفنانون	الفنانون	1.0	1
نشاط مأهول خارج المركبة ( EVA )	EVA	0.3333333333333333	نشاط مأهول خارج المركبة ( EVA )	EVA	0.33333333333333337	0
أبولو سويوز	أبولو سويوز	1.0	أبولو سويوز	أبولو سويوز	1.0	1
الليبرالي	المحافظين الماليين	0.0	الليبرالي	المحافظين الماليين	0.0	0
أمها 	طبيبةً قد عملت في مستشفى الأطفال في بيتسبرغ في ولاية بنسلفانيا، ستتهمُ بجريمةِ القتل المتعمد	0.0	أمها	طبيبةً عملت مستشفى الأطفال بيتسبرغ ولاية بنسلفانيا، ستتهمُ بجريمةِ القتل المتعمد	0.0	0
في صندوق سيارتها	بلو آش، أوهايو	0.0	صندوق سيارتها	بلو آش، أوهايو	0.0	0
سكايب	سكايب	1.0	سكايب	سكايب	1.0	1
تنويع مصادر ربحها واكتساب شعبية في المناطق التي يحتل فيها سكايب مكانة قوية	تنويع مصادر ربحها واكتساب شعبية في المناطق التي يحتل فيها سكايب مكانة قوية	1.0	تنويع مصادر ربحها واكتساب شعبية المناطق يحتل سكايب مكانة قوية	تنويع مصادر ربحها واكتساب شعبية المناطق يحتل سكايب مكانة قوية	1.0	1
الاعتماد على النفط	الاعتماد على النفط	1.0	الاعتماد النفط	الاعتماد النفط	1.0	1
 ويضعون ورقة مطبوعة بشكل مسبق مشيرة إلى مرشحهم المفضل في ظرف	صندوق الاقتراع	0.0	ويضعون ورقة مطبوعة بشكل مسبق مشيرة مرشحهم المفضل ظرف	صندوق الاقتراع	0.0	0
اهتمامه بالحرب الذي استمر طوال حياته	اهتمامه بالحرب	0.5	اهتمامه بالحرب استمر طوال حياته	اهتمامه بالحرب	0.5714285714285715	0
معدل الوفيات المرتفع جداً	معدل الوفيات المرتفع	0.8571428571428571	معدل الوفيات المرتفع جداً	معدل الوفيات المرتفع	0.8571428571428571	0
اثنين	اثنين	1.0			1.0	1
 مرتبطة بالأقمار الاصطناعية 	بالأقمار الاصطناعية	0.8	مرتبطة بالأقمار الاصطناعية	بالأقمار الاصطناعية	0.8	0
بتحديد مكان طائرة بدقة أعلى	بتحديد مكان طائرة بدقة أعلى وتزود الطيارين بمعلومات محددة أكثر	0.6666666666666666	بتحديد مكان طائرة بدقة أعلى	بتحديد مكان طائرة بدقة أعلى وتزود الطيارين بمعلومات محددة	0.7142857142857143	0
يخصص 10 عملاء للمواد الإباحية للبالغين	يخصص 10 عملاء للمواد الإباحية للبالغين	1.0	يخصص 10 عملاء للمواد الإباحية للبالغين	يخصص 10 عملاء للمواد الإباحية للبالغين	1.0	1
انقلاب	انقلاب	1.0	انقلاب	انقلاب	1.0	1
 أمام الرحلات الجوية التجارية	وانفجرت	0.0	الرحلات الجوية التجارية	وانفجرت	0.0	0
كارتر	كارتر	1.0	كارتر	كارتر	1.0	1
لهنري كيسنجر	بريجنسكي	0.0	لهنري كيسنجر	بريجنسكي	0.0	0
مخلبه الثاني كان أكبر	الريش الكامل والدم الحار	0.0	مخلبه الثاني أكبر	الريش الكامل والدم الحار	0.0	0
الستينيات	1973	0.0	الستينيات	1973	0.0	0
في ساحة القديس بطرس.	ساحة القديس بطرس	0.8571428571428571	ساحة القديس بطرس .	ساحة القديس بطرس	1.0	1
في ساحة القديس بطرس.	روما	0.0	ساحة القديس بطرس .	روما	0.0	0
 '' أوكا '' '' 	كريستوفر شنايدر	0.0	`` أوكا `` ``	كريستوفر شنايدر	0.0	0
9000	9000	1.0	9000	9000	1.0	1
14.7 مليار دولار أمريكي	14.7 مليار دولار أمريكي	1.0	14.7 مليار أمريكي	14.7 مليار أمريكي	1.0	1
البلد السابع	السابع	0.6666666666666666	البلد السابع	السابع	0.6666666666666666	0
في مستنقعات بالقرب من ليون في شرق فرنسا.	بطة برية نافقة	0.0	مستنقعات بالقرب ليون شرق فرنسا .	بطة برية نافقة	0.0	0
منذ القرن التاسع عشر	القرن التاسع عشر	0.8571428571428571	القرن التاسع	القرن التاسع	1.0	1
مُعسكر القوات	معسكر الأمم المتّحدة	0.0	مُعسكر القوات	معسكر الأمم المتّحدة	0.0	0
المخدرات 	لتشريعٍ برلمانيٍ لتصحيح الوضع	0.0	المخدرات	لتشريعٍ برلمانيٍ لتصحيح الوضع	0.0	0
التعدّي على ممتلكات الغيْر	التعدّي على ممتلكات الغيْر	1.0	التعدّي ممتلكات الغيْر	التعدّي ممتلكات الغيْر	1.0	1
لم يمسس اللافتة ضرر	ضرر مادي	0.3333333333333333	يمسس اللافتة ضرر	ضرر مادي	0.4	0
إلى الجمعية الوطنية	الجمعية الوطنية	0.8	الجمعية الوطنية	الجمعية الوطنية	1.0	1
هطلت الأمطار	بدأت الرياح في الدخول	0.0	هطلت الأمطار	بدأت الرياح الدخول	0.0	0
ثالث أكبر إعصار تم تسجيله 	ثالث	0.3333333333333333	أكبر إعصار تم تسجيله		0.0	0
الشمال الغربي.	645 ميلاً	0.0	الشمال الغربي .	645 ميلاً	0.0	0
لأجهزة راديو مزدوجة 	على شرط امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.5454545454545454	لأجهزة راديو مزدوجة	شرط امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.6	0
100 م و 200 م أسلوب حر وفي ثلاث مراحل	ثلاث	0.1818181818181818	100 200 أسلوب حر وفي مراحل		0.0	0
استخدامها ممنوع في الألعاب	استخدامها ممنوع في الألعاب	1.0	استخدامها ممنوع الألعاب	استخدامها ممنوع الألعاب	1.0	1
لقاح التهاب الدماغ،	تم تأجيل خطط توصيل اللقاحات إلى المناطق الأكثر تضرراً على مر التاريخ هذا العام	0.0	لقاح التهاب الدماغ،	تم تأجيل خطط توصيل اللقاحات المناطق الأكثر تضرراً مر التاريخ العام	0.0	0
من خلال الخنازير،	البعوض	0.0	خلال الخنازير،	البعوض	0.0	0
منع الاتحادات المدنية لشخصين من نفس الجنس	قد يفتح فشل الجملة الثانية، التي تقترح منع الاتحادات المدنية لشخصين من نفس الجنس، الباب للاتحادات المدنية في المستقبل	0.4615384615384615	منع الاتحادات المدنية لشخصين الجنس	يفتح فشل الجملة الثانية، تقترح منع الاتحادات المدنية لشخصين الجنس، الباب للاتحادات المدنية المستقبل	0.4210526315789473	0
 للصحافة 	لعملاء أثرياء	0.0	للصحافة	لعملاء أثرياء	0.0	0
للو بيكولو	للو بيكولو	1.0	للو بيكولو	للو بيكولو	1.0	1
في نيبال	نيبال	0.6666666666666666	نيبال	نيبال	1.0	1
كلب مسعور	قراصنة	0.0	كلب مسعور	قراصنة	0.0	0
مباشرةً بعد التوقف للصيانة	بعد التوقف للصيانة	0.8571428571428571	مباشرةً التوقف للصيانة	التوقف للصيانة	0.8	0
 بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571	بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571	0
جلسة استماع	لم يمنحهم وكيل المحكمة جلسة استماع	0.5	جلسة استماع	يمنحهم وكيل المحكمة جلسة استماع	0.5714285714285715	0
هؤلاء الوكلاء	عملاء سياسيين	0.0	الوكلاء	عملاء سياسيين	0.0	0
ممثلة	أفضل فيلمٍ ومخرجٍ وتصويرٍ سينمائيٍّ	0.0	ممثلة	أفضل فيلمٍ ومخرجٍ وتصويرٍ سينمائيٍّ	0.0	0
هيئة الإسكان 	هيئة الإسكان في أوكلاند	0.6666666666666666	هيئة الإسكان	هيئة الإسكان أوكلاند	0.8	0
بوير	هاملين	0.0	بوير	هاملين	0.0	0
2,220	2250	0.0	2,220	2250	0.0	0
جرى التحقق من أن أصل حوالي 34 فقط	يُعتقد أن هذه هي المرة الخامسة في التاريخ التي يلاحظ فيها الناس ما تبين أنه مادة مريخية مؤكدة كيميائيًا	0.074074074074074	جرى التحقق أصل حوالي 34 فقط	يُعتقد المرة الخامسة التاريخ يلاحظ الناس تبين أنه مادة مريخية مؤكدة كيميائيًا	0.0	0
في عام2006	2006	0.0	عام2006	2006	0.0	0
خلال سباق جائزة المجر الكبرى عام 2009.	أصيب البرازيلي بجروح خطيرة في الرأس إثر اصطدام خلال سباق جائزة المجر الكبرى عام 2009.	0.6363636363636364	خلال سباق جائزة المجر الكبرى عام 2009 .	أصيب البرازيلي بجروح خطيرة الرأس إثر اصطدام خلال سباق جائزة المجر الكبرى عام 2009 .	0.6666666666666666	0
جميع أصوات مندوبيها الخمسين	جميع أصوات مندوبيها الخمسين	1.0	أصوات مندوبيها الخمسين	أصوات مندوبيها الخمسين	1.0	1
المعلومات	المعلومات	1.0	المعلومات	المعلومات	1.0	1
قارب	قارب	1.0	قارب	قارب	1.0	1
أربع	أربع	1.0			1.0	1
في عام 2007	2007.	0.5	عام 2007	2007 .	0.6666666666666666	0
الولايات المتحدة	الولايات المتحدة	1.0	الولايات المتحدة	الولايات المتحدة	1.0	1
الاقتصاد	سيضر بالاقتصاد	0.0	الاقتصاد	سيضر بالاقتصاد	0.0	0
برنامج الصيد التابع للجمعية	برنامج الصيد	0.6666666666666666	برنامج الصيد التابع للجمعية	برنامج الصيد	0.6666666666666666	0
التلويح بالجهاز في الهواء	التلويح بالجهاز في الهواء	1.0	التلويح بالجهاز الهواء	التلويح بالجهاز الهواء	1.0	1
 نظام التحكم	نينتندو الثوري	0.0	نظام التحكم	نينتندو الثوري	0.0	0
اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016	أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها	0.878048780487805	اللجنة -التي تتمكن الوصول مباشرة بوب ديلان بشأن الفوز بجائزة نوبل الأدب لعام 2016	اللجنة -التي تتمكن الوصول مباشرة بوب ديلان بشأن الفوز بجائزة نوبل الأدب لعام 2016- تخلت جهودها	0.9333333333333333	0
بوب ديلان	بوب ديلان	1.0	بوب ديلان	بوب ديلان	1.0	1
جوردون جوندرو	جوردون جوندرو	1.0	جوردون جوندرو	جوردون جوندرو	1.0	1
أكثر من 1,000	1,000	0.5	1,000	1,000	1.0	1
 عطل كهربائي	عطل كهربائي	1.0	عطل كهربائي	عطل كهربائي	1.0	1
20 قدماً	20 قدماً	1.0	20 قدماً	20 قدماً	1.0	1
فيضاناً	شهد فيضاناً	0.6666666666666666	فيضاناً	شهد فيضاناً	0.6666666666666666	0
كيفية تشكل الكواكب، وعلى الأخص كيف تشكلت الأرض	كيفية تشكل الكواكب	0.3636363636363636	كيفية تشكل الكواكب، وعلى الأخص تشكلت الأرض	كيفية تشكل الكواكب	0.4	0
التقاط صور لحاجز الشرطة	التقاط صور لحاجز الشرطة	1.0	التقاط صور لحاجز الشرطة	التقاط صور لحاجز الشرطة	1.0	1
240 كيلومتراً في الساعة (149 ميلاً في الساعة)	240 كيلومتراً في الساعة	0.6666666666666666	240 كيلومتراً الساعة ( 149 ميلاً الساعة )	240 كيلومتراً الساعة	0.6666666666666666	0
بعد توقف فيرناندو ألونسو المبكر	2009	0.0	توقف فيرناندو ألونسو المبكر	2009	0.0	0
المدينة	بوخارست	0.0	المدينة	بوخارست	0.0	0
الحادث	حادثاً خطيراً	0.0	الحادث	حادثاً خطيراً	0.0	0
الطائرة	مكوناً رئيسياً لكل من الجيشين الروسي والسوفيتي منذ سبعينيات القرن العشرين	0.0	الطائرة	مكوناً رئيسياً لكل الجيشين الروسي والسوفيتي سبعينيات القرن العشرين	0.0	0
إناث وذكور	إناث وذكور	1.0	إناث وذكور	إناث وذكور	1.0	1
