Reference	Predection	F1_score
crystals formed in cat urine	crystals	0.33333333333333337
Tommy Dreamer	Tommy Dreamer	1.0
"" Dustin ""Goldust"" Runnels	Dustin ""Goldust"" Runnels	1.0
to avoid the old path of polluting first and cleaning up later	to avoid the old path of polluting first and cleaning up later	1.0
Ed Davey	Ed Davey	1.0
Norman Lamb	Norman Lamb	1.0
smoke cannabis joints	join in	0
the performers	performers	1.0
extravehicular activity (EVA)	manned extravehicular activity	0.6666666666666666
Apollo–Soyuz	Apollo–Soyuz mission	0.6666666666666666
Liberal	Liberal	1.0
her mother	heavily medicated state	0
in the trunk of her car	Oldsmobile Intrigue	0
Skype	eBay	0
diversify its profit sources and gain popularity in areas where Skype holds a strong position	diversify its profit sources	0.4444444444444445
the dependency on oil	dependency on oil	1.0
a pre-printed sheet of paper indicating their candidate of choice into an envelope	an envelope	0.16666666666666669
a lifelong interest in the war	a lifelong interest in the war	1.0
the very high fatality rate	high fatality rate	0.8571428571428571
two	two	1.0
satellite-based technology	satellite-based	0.6666666666666666
pinpoint aircraft with greater precision	pinpoint aircraft with greater precision	1.0
devote 10 agents to adult pornography	devote 10 agents to adult pornography	1.0
rolled over	rolled over	1.0
to commercial flights	commercial flights	0.8
Carter	Carter	1.0
Henry Kissinger	Brzezinski	0
second claw was larger	western claw	0.3333333333333333
the 1960s	1960s	1.0
in St. Peter's Square	Rome	0
in St. Peter's Square	St. Peter's Square	0.8571428571428571
Uka	Uka	1.0
9,000	9,000	1.0
US$14.7 billion	US$14.7 billion	1.0
the seventh country	seventh country in the European Union to suffer this virus; following Austria, Germany, Slovenia, Bulgaria, Greece and Italy	0.21052631578947367
in marshland near Lyon in the east of France	marshland near Lyon in the east of France	0.9333333333333333
the 1800s	1800s	1.0
the troop's encampment	UN camp	0
drug	substances	0
trespassing	trespassing	1.0
The sign was not physically damaged	physically damaged	0.5714285714285715
to the National Congress	the National Congress	0.8
hail fell from the sky	a wind starts rolling in	0
only the third major hurricane	third	0.4
northwest	northwest	1.0
dual radios	the base station has dual radios	0.5714285714285715
100m and 200m freestyle and in three relays	three relays	0.4
as they are banned	they are banned from the Games	0.6666666666666665
encephalitis vaccine	encephalitis vaccine	1.0
through mosquitos	mosquitos	0.6666666666666666
possibly open the door for civil unions	open the door for civil unions	0.9090909090909091
to the press	the press	0.6666666666666666
Lo Piccolo	Lo Piccolo	1.0
in Nepal	Nepal	0.6666666666666666
a rabid dog	a rabid dog	1.0
right after his pit-stop	right after his pit-stop	1.0
the suspension damage	suspension damage	1.0
a hearing	release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner	0.1
These agents	Political Agents	0.5
Actress	Best Picture	0
OHA	Lockwood Gardens	0
Bowyer	Harvick	0
2,220	2,220	1.0
34 have been verified to be martian in origin	chemically confirmed martian material	0.15384615384615383
in 2006	2006	0.6666666666666666
during the 2009 Hungarian Grand Prix	2009 season	0.28571428571428575
all fifty of its delegates	all fifty of its delegates	1.0
information	scouting and information gathering	0.4
boat	boat	1.0
Four	45	0
in 2007	during the subprime mortgage crisis in 2007.	0.5
the United States	United States	1.0
the economy	the economy	1.0
the Sporting Shooters Association's hunting program	hunting program	0.5714285714285715
moving the device through the air	moving the device through the air	1.0
the controller	Nintendo Revolution console	0
the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature	the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him	0.8
Bob Dylan	Nobel Committee for Literature at the Swedish Academy	0
Gordon Johndroe	Gordon Johndroe	1.0
over 1,000	over 1,000	1.0
A power failure	A power failure following a routine fire-command system test	0.4444444444444445
waist-high	waist-high	1.0
flooding	flooding as high as 20 feet	0.2857142857142857
how planets form, especially how the Earth formed	how planets form	0.6
take pictures of the police stop	take pictures of the police stop	1.0
240 kilometers an hour (149 miles per hour)	240 kilometers an hour	0.6
just after an early pit stop for Fernando Alonso	2008 Singapore Grand Prix	0
The city	Bucharest City Hall	0.5
accident	an engine separated on takeoff	0
The aircraft	a major component of both the Russian and Soviet military	0
both female and male individuals	both female and male individuals	1.0
rachis	a well-developed shaft	0
in low-income countries	low-income countries	0.8
standard inkjet printers	a tiny printable chip	0
extreme weather conditions	extreme weather conditions	1.0
when he believes life begins	life begins	0.5714285714285715
the specifics of likely cases	abortion	0
skywards	skywards	1.0
temperature variations	Infrared images	0
Infrared images	deep holes in the ground	0
he is a member of the Uighur ethnic group	he is a member of the Uighur ethnic group	1.0
Springboks play Australia	Australia	0.5
Johannesburg	Ellis Park in Johannesburg	0.4
49	49	1.0
Bolonia	Bolonia	1.0
a match planned for Sunday	ahead of a match planned for Sunday against Bolonia	0.6666666666666666
29 per cent	29	0.5
at the end of Queen Elizabeth II's reign	at the end of Queen Elizabeth II's reign	1.0
Planned Parenthood	Planned Parenthood	1.0
the Oversight and Investigations Subcommittee	Oversight and Investigations Subcommittee	1.0
ASUS	ASUS	1.0
laptop	laptop computer	0.6666666666666666
the boy	Obanazawa Post Office	0
in the second set	after reaching 6-6	0
Murray lost	Murray lost the first set	0.6666666666666666
children	school aged children	0.5
The Onion	The Onion	1.0
At 11:20	11:20	0.6666666666666666
bad weather	bad weather	1.0
the storm is far from landfall	the storm is far from landfall	1.0
Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666
After a week of losses in the midterm election	After a week of losses in the midterm election	1.0
fund extra carriages	extended the government's commitment made in March of this year to fund extra carriages	0.375
presidential commission	a presidential commission	1.0
making the sport of gymnastics, and others, as safe as possible	making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment	0.625
Palawan	Puerto Princesa in Palawan	0.4
the press secretary	Donald Trump	0
Turkey	Turkey	1.0
hostile fire	hostile fire	1.0
mountainous	mountainous	1.0
restore eroded sandbars	restore eroded sandbars downstream	0.8571428571428571
7	7	1.0
after being involved in a crash	Indianapolis Motor Speedway	0
racer	fellow racer	0.6666666666666666
overcome a fear which is based on the unknown or on not being in control	overcome a fear which is based on the unknown or on not being in control	1.0
send luggage	Airline regulations will not allow them to send luggage without a passenger	0.3076923076923077
Drink alcoholic drinks with moderation	moderation	0.33333333333333337
The Canal District	The Canal District	1.0
cultural and historical value	its unique cultural and historical value	0.8
inland	the Pole	0
in remote areas	remote areas	0.8
Central Auckland	North Shore beaches	0
because it is established by law as the first official language	it is established by law as the first official language	0.9473684210526316
people who work with poultry	people who work with poultry	1.0
the Arctic Ocean to the Baltic Sea	Arctic Ocean	0.5714285714285715
cherries and plums	almonds, hazelnuts, and other tree nuts	0.2222222222222222
The Portuguese	The Portuguese	1.0
a new republic	no established nation	0
Diplomatic arguments	Diplomatic arguments	1.0
more than 2 passengers	having more than 2 passengers	0.888888888888889
Inca	Inca	1.0
Paths, trains and boats	Paths, trains and boats	1.0
Riomaggiore, Manarola, Corniglia, Vernazza and Monterosso	Five Lands	0
readjusting to their native culture	readjusting to their native culture	1.0
Norwegians	Norwegians	1.0
US green card	US green card holders	0.8571428571428571
some may be knock-offs	knock-offs	0.4
On the outlying islands	check with the owners in advance	0
Kerala's temple festivals	Kerala's temple festivals	1.0
a microwave oven	microwave oven or other means to heat food	0.4
If you don't have a data connection for your phone, or when it is out of range	If you don't have a data connection for your phone	0.72
waving	waving	1.0
the North Kivu province	North Kivu province	1.0
Permits are limited	Permits are limited	1.0
often covered in heather	treeless moorland often covered in heather	0.8
during winter	winter	0.6666666666666666
putting up notices offering your help, pacing the docks, approaching people cleaning their yachts, trying to make contact with sailors in the bar	putting up notices offering your help	0.4444444444444445
This	Hong Kong Island	0
the Kowloon waterfront	Kowloon waterfront	1.0
safety bars	safety bars	1.0
a heel and a smooth, quite narrow, sole	safety bars	0
A listing of available hosts	A listing of available hosts	1.0
a typical guest is in their twenties	young people	0
the Internet	calls are routed over the Internet	0.33333333333333337
Cherry blossom	Cherry blossom viewing	0.8
the emperor	the emperor	1.0
bring your own, especially one with bright colors	if you bring your own, especially one with bright colors	0.888888888888889
in the winter	winter	0.6666666666666666
In remote locations, without cell phone coverage	remote locations, without cell phone coverage	0.923076923076923
to camp on site	camp on site	0.8571428571428571
Fruit juices	bottled water	0
The Spaniards	The Spaniards	1.0
more comfortable and less crowded	more comfortable and less crowded	1.0
corner store	Every corner store	0.8
through a toll-free telephone number	toll-free telephone number	0.8571428571428571
immigration check	immigration check	1.0
SkyTeam	SkyTeam	1.0
Go Running Tours	Go Running Tours	1.0
with binoculars	binoculars	0.6666666666666666
elephants and giraffes	elephants and giraffes	1.0
downloading the desired language data	Google Translate	0
yogurt	yogurt	1.0
These aren't very nimble	These aren't very nimble	1.0
crevasses	crevasses	1.0
In the churchyard	Haldarsvík	0
Student visas	Student visas	1.0
an international student	international student	1.0
In summer	summer	0.6666666666666666
Sundarbans National Park	Sundarbans National Park	1.0
to purchase a ticket a few days in advance	purchase a ticket a few days in advance	0.923076923076923
July 2020	1964	0
hot climates	hot	0.6666666666666666
The fabulous riches	fabulous riches	1.0
say that they are married	say that they are married	1.0
phages	phages, or viruses	0.5
the show	War Memorial Stadium, which was set to be attended by 9,000 people	0
band's management company	HK Management Inc.	0.3333333333333333
Gibson	The truck driver	0
Gibson was transported to a hospital but died shortly afterwards. The truck driver, who is aged 64, was not injured	Gibson was transported to a hospital but died shortly afterwards	0.6666666666666666
No major injuries were reported	five people on scene	0
a neighbor	a neighbor	1.0
enough ambiguity in the Afghan constitution	ambiguity in the Afghan constitution	0.888888888888889
two	two police officers and injured more than twenty other people. The governor's office said nineteen	0.13333333333333333
Police	Police	1.0
TogiNet Radio	TogiNet Radio	1.0
geeky	old school	0
Nicklas Backstrom	Nicklas Backstrom	1.0
Alex Ovechkin	Alex Ovechkin	1.0
block	Dump trucks were used to block tube entrances	0.2222222222222222
Simon	Brooks and Groening	0
the quake did not meet the magnitude 6.5 requirement	the quake did not meet the magnitude 6.5 requirement	1.0
The luminosity and rotation	luminosity and rotation	1.0
