Reference	Predection	F1_score
Ed Davey	Ed Davey	1.0
Norman Lamb	Norman Lamb	1.0
the performers	performers	1.0
extravehicular activity (EVA)	cosmonaut No. 11	0
Apollo–Soyuz	Apollo–Soyuz mission	0.6666666666666666
Liberal	fiscal conservatives	0
Skype	diversify its profit sources	0
diversify its profit sources and gain popularity in areas where Skype holds a strong position	diversify its profit sources	0.4444444444444445
the dependency on oil	dependency on oil	1.0
a pre-printed sheet of paper indicating their candidate of choice into an envelope	an envelope	0.16666666666666669
a lifelong interest in the war	a lifelong interest in the war	1.0
the very high fatality rate	high fatality rate	0.8571428571428571
two	two	1.0
satellite-based technology	satellite-based technology	1.0
pinpoint aircraft with greater precision	allow aircraft to fly shorter routes	0.1818181818181818
devote 10 agents to adult pornography	the FBI must devote 10 agents to adult pornography	0.8571428571428571
rolled over	exploded	0
to commercial flights	commercial flights	0.8
Carter	John F. Kennedy	0
Henry Kissinger	Brzezinski	0
second claw was larger	western claw	0.3333333333333333
the 1960s	1973	0
in St. Peter's Square	St. Peter's Square	0.8571428571428571
Uka	Uka	1.0
9,000	9,000	1.0
US$14.7 billion	US$14.7 billion	1.0
in marshland near Lyon in the east of France	marshland near Lyon in the east of France	0.9333333333333333
the 1800s	1800s	1.0
the troop's encampment	waste from the UN camp was not properly sanitized	0
trespassing	trespassing	1.0
The sign was not physically damaged	vandalism	0
to the National Congress	the National Congress	0.8
northwest	northwest	1.0
dual radios	the base station has dual radios	0.5714285714285715
as they are banned	they are banned from the Games	0.6666666666666665
encephalitis vaccine	deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides	0
through mosquitos	through mosquitos	1.0
possibly open the door for civil unions	open the door for civil unions in the future	0.7692307692307692
to the press	Mossack Fonseca	0
Lo Piccolo	Lo Piccolo	1.0
in Nepal	Nepal	0.6666666666666666
a rabid dog	a rabid dog	1.0
right after his pit-stop	right after his pit-stop	1.0
the suspension damage	suspension damage	1.0
a hearing	the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner	0.1
Actress	Best Actor and Actress	0.4
OHA	Lockwood Gardens	0
2,220	2,220	1.0
34 have been verified to be martian in origin	Fifteen of these rocks are attributed to the meteorite shower last July.	0.09999999999999999
in 2006	2006	0.6666666666666666
during the 2009 Hungarian Grand Prix	2009	0.33333333333333337
all fifty of its delegates	all fifty of its delegates	1.0
information	scouting and information gathering	0.4
boat	boat	1.0
Four	45 of the 117	0
in 2007	2007.	0.6666666666666666
the United States	United States	1.0
the economy	the economy	1.0
the Sporting Shooters Association's hunting program	Sporting Shooters Association's hunting program	1.0
moving the device through the air	moving the device through the air	1.0
the controller	a television remote	0
the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature	the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him	0.8
Bob Dylan	Bob Dylan	1.0
Gordon Johndroe	Gordon Johndroe	1.0
over 1,000	28	0
A power failure	A power failure following a routine fire-command system test	0.4444444444444445
waist-high	20 feet during Hurricane Katrina, is currently in waist-high	0.19999999999999998
flooding	flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water	0.13333333333333333
how planets form, especially how the Earth formed	how planets form	0.6
take pictures of the police stop	take pictures of the police stop	1.0
240 kilometers an hour (149 miles per hour)	240 kilometers an hour (149 miles per hour)	1.0
just after an early pit stop for Fernando Alonso	2008	0
The aircraft	a major component of both the Russian and Soviet military since the 1970s	0
both female and male individuals	female and male individuals	0.888888888888889
rachis	a well-developed shaft	0
in low-income countries	low-income countries	0.8
standard inkjet printers	a tiny printable chip that can be manufactured using standard inkjet printers	0.42857142857142855
extreme weather conditions	extreme weather conditions	1.0
when he believes life begins	when he believes life begins	1.0
the specifics of likely cases	when he believes life begins	0
skywards	skywards	1.0
temperature variations	Infrared images show that the temperature variations from night and day show that they are likely caves	0.2222222222222222
Infrared images	Infrared images	1.0
Springboks play Australia	Springboks	0.5
Johannesburg	Ellis Park in Johannesburg	0.4
49	49	1.0
Bolonia	Bolonia	1.0
29 per cent	29 per cent	1.0
at the end of Queen Elizabeth II's reign	at the end of Queen Elizabeth II's reign	1.0
Planned Parenthood	Komen Foundation	0
the Oversight and Investigations Subcommittee	Oversight and Investigations Subcommittee	1.0
ASUS	ASUS	1.0
laptop	earlier launched world-wide for cost-saving and functionality factors	0
the boy	Obanazawa Post Office	0
in the second set	after reaching 6-6	0
Murray lost	Murray lost the first set in a tie break	0.4444444444444445
children	school aged children	0.5
The Onion	The Onion	1.0
At 11:20	11:20	0.6666666666666666
bad weather	bad weather	1.0
the storm is far from landfall	the storm is far from landfall	1.0
Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666
After a week of losses in the midterm election	After a week of losses in the midterm election	1.0
fund extra carriages	extended the government's commitment made in March of this year to fund extra carriages	0.375
presidential commission	presidential commission	1.0
making the sport of gymnastics, and others, as safe as possible	making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment	0.625
Palawan	Puerto Princesa in Palawan	0.4
the press secretary	Donald Trump	0
Turkey	Turkey	1.0
hostile fire	hostile fire	1.0
mountainous	mountainous	1.0
restore eroded sandbars	restore eroded sandbars downstream	0.8571428571428571
7	7	1.0
racer	a 13-year-old motorcycle racer	0.5
overcome a fear which is based on the unknown or on not being in control	may help to overcome a fear	0.2222222222222222
Drink alcoholic drinks with moderation	knowing your limit	0
The Canal District	Binnenstad of Amsterdam	0
cultural and historical value	unique cultural and historical value	0.888888888888889
inland	South Pole	0
in remote areas	remote areas with favorable atmospheric conditions	0.4444444444444444
Central Auckland	North Shore beaches	0
because it is established by law as the first official language	it is established by law as the first official language	0.9473684210526316
people who work with poultry	people who work with poultry	1.0
the Arctic Ocean to the Baltic Sea	The White Sea–Baltic Canal	0
The Portuguese	The Portuguese	1.0
a new republic	no established nation	0
Diplomatic arguments	Diplomatic arguments over the region	0.6666666666666666
more than 2 passengers	a surcharge for having more than 2 passengers	0.7272727272727273
Inca	Inca	1.0
Paths, trains and boats	Paths, trains and boats	1.0
Riomaggiore, Manarola, Corniglia, Vernazza and Monterosso	Five Lands	0
readjusting to their native culture	readjusting to their native culture	1.0
Norwegians	Norwegians	1.0
US green card	an invitation letter	0
some may be knock-offs	some may be knock-offs, and the real imported ones may be more expensive	0.5
On the outlying islands	check with the owners in advance to determine what is an acceptable payment method	0
Kerala's temple festivals	Kerala	0
a microwave oven	microwave oven	1.0
waving	come over	0
the North Kivu province	any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province	0.2727272727272727
Permits are limited	Permits are limited	1.0
often covered in heather	treeless moorland often covered in heather	0.8
during winter	winter	0.6666666666666666
This	Hong Kong Island	0
the Kowloon waterfront	Kowloon waterfront	1.0
safety bars	safety bars	1.0
a heel and a smooth, quite narrow, sole	Stirrups	0
A listing of available hosts	A listing of available hosts	1.0
a typical guest is in their twenties	older travellers	0
the Internet	There is also no requirement that you obtain a local number from the community in which you live	0
Cherry blossom	Cherry blossom viewing	0.8
the emperor	the emperor	1.0
In remote locations, without cell phone coverage	A satellite phone is not generally a replacement for a mobile phone	0.125
to camp on site	camp on site	0.8571428571428571
Fruit juices	bottled water is easy to find if you are fearful	0
The Spaniards	Spaniards	1.0
more comfortable and less crowded	cheaper than normal metro tickets in Europe	0
corner store	Every corner store	0.8
through a toll-free telephone number	through a toll-free telephone number	1.0
immigration check	immigration check	1.0
SkyTeam	Star Alliance	0
elephants and giraffes	elephants and giraffes	1.0
downloading the desired language data	Google Translate	0
yogurt	coconut milk	0
crevasses	The South Pole Traverse	0
In the churchyard	Haldarsvík	0
Student visas	Student visas	1.0
an international student	international student	1.0
Sundarbans National Park	Sundarbans	0.5
to purchase a ticket a few days in advance	purchase a ticket a few days in advance	0.923076923076923
July 2020	July 2020	1.0
hot climates	hot climates	1.0
The fabulous riches	head and shoulders	0
phages	phages	1.0
the show	War Memorial Stadium	0
a neighbor	a neighbor	1.0
enough ambiguity in the Afghan constitution	they had found enough ambiguity in the Afghan constitution	0.7692307692307693
Police	Police	1.0
TogiNet Radio	TogiNet Radio	1.0
geeky	geeky spin!	0.6666666666666666
Nicklas Backstrom	Nicklas Backstrom	1.0
Alex Ovechkin	Alex Ovechkin	1.0
block	Dump trucks were used to block tube entrances	0.2222222222222222
Simon	Brooks and Groening	0
the quake did not meet the magnitude 6.5 requirement	the quake did not meet the magnitude 6.5 requirement	1.0
The luminosity and rotation	luminosity and rotation	1.0
