Reference	Predection	F1_score
the amount of Hydrogen (the H in pH) ions in the tested chemical	by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.9523809523809523
electrons	Hydrogen ions are protons that had their electrons stripped off them	0.16666666666666669
medium sized cats	rabbits to antelopes and deer	0
small room	cella which means small room	0.5714285714285715
sun	photosynthesis	0
carbon-dioxide	oxygen	0
veins	veins	1.0
capillaries	capillaries	1.0
Belgian Revolution	1830s Belgian Revolution	0.8
23,764	23,764 square kilometres	0.5
religious ceremonies	religious ceremonies	1.0
stimulated by the bright light	the atoms are stimulated by the bright light	0.8
Norway	Norwegian	0
Around the 15th century	Around the 15th century	1.0
the German alphabet	Germany	0
Hangeul	Hangeul	1.0
gas	gas	1.0
oil	informal economy	0
two hydrogen atoms and one oxygen atom	its chemical state remains the same	0
chemical state	its chemical state remains the same	0.5714285714285715
upside down	upside down	1.0
national flower	an orchid hybrid	0
Britain	Britain	1.0
Operation Sealion	Operation Sealion	1.0
""Vichy"" French	French people	0.5
the Americans and Free French forces	Vichy"" French	0.28571428571428575
radar	radar	1.0
shooting	shooting range	0.6666666666666666
the British captured the Italian Tenth Army's Engineer-in-Chief	the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.	0.8571428571428571
in Tobruk	Tobruk	0.6666666666666666
Jai Shankar Choudhary	Lakkha Singh	0
Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou	Turkish dance group Fire of Anatolia performed the show ""Troy"".	0.09090909090909093
Italian	Turkish	0
in Tonga	Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC	0.09999999999999999
when he slowed down to 160km/h	when he slowed down to 160km/h	1.0
about 65 km (40 miles) south of Butte	about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte	0.6399999999999999
Abu Ghraib prison has been set alight	prison has been set alight	0.8333333333333333
prisoner abuse was discovered	prisoner abuse	0.6666666666666666
protesters	protesters from the south	0.5
Bishkek residents	Several Bishkek residents	0.8
2013	2013	1.0
when his doorbell wasn't audible from his shop in his garage	2013	0
books	books that children should look for when they went to their library	0.15384615384615385
the funding crunch and a shift in the philosophy of educational television programming	funding crunch and a shift in the philosophy of educational television programming	1.0
four	four	1.0
Apple	Japan's Ministry of Economy, Trade and Industry	0
the phone	Today Apple is going to reinvent the phone	0.25
her presidential candidacy	her intention to run for president	0.2222222222222222
in La Plata	yesterday evening	0
had not breached online content censorship laws	Big Brother had not breached online content censorship laws	0.8750000000000001
physically reside on a server	it must physically reside on a server	0.8
John Howard	Peter Costello	0
Maciej Krezel	Super-G	0
Finland	Finland	1.0
53	53	1.0
Manchester City	Palmeiras	0
Jack Layton	Jack Layton	1.0
the state government and some federal MPs	Prime Minister John Howard	0
crystals	crystals	1.0
crystals formed in cat urine	crystals	0.33333333333333337
Tommy Dreamer	Dustin ""Goldust"" Runnels	0
"" Dustin ""Goldust"" Runnels	Dustin ""Goldust"" Runnels	1.0
to avoid the old path of polluting first and cleaning up later	carbon dioxide emissions per unit of GDP	0.1111111111111111
Ed Davey	Ed Davey	1.0
Norman Lamb	Norman Lamb	1.0
the performers	performers	1.0
extravehicular activity (EVA)	cosmonaut No. 11	0
Apollo–Soyuz	Apollo–Soyuz mission	0.6666666666666666
Liberal	Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.	0.11764705882352941
Skype	diversify its profit sources	0
diversify its profit sources and gain popularity in areas where Skype holds a strong position	diversify its profit sources	0.4444444444444445
the dependency on oil	dependency on oil	1.0
a pre-printed sheet of paper indicating their candidate of choice into an envelope	an envelope	0.16666666666666669
a lifelong interest in the war	Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war	0.2857142857142857
the very high fatality rate	high fatality rate	0.8571428571428571
two	two	1.0
satellite-based technology	satellite-based	0.6666666666666666
pinpoint aircraft with greater precision	It uses satellite-based technology	0
devote 10 agents to adult pornography	the FBI must devote 10 agents to adult pornography	0.8571428571428571
rolled over	exploded	0
to commercial flights	commercial flights	0.8
Carter	advised Carter on foreign policy	0.33333333333333337
Henry Kissinger	Brzezinski	0
second claw was larger	western claw	0.3333333333333333
the 1960s	1973	0
in St. Peter's Square	Rome	0
Uka	Uka	1.0
9,000	9,000	1.0
US$14.7 billion	US$14.7 billion	1.0
in marshland near Lyon in the east of France	Monday	0
the 1800s	1800s	1.0
the troop's encampment	2010 earthquake	0
trespassing	trespassing	1.0
The sign was not physically damaged	alter the ""O"" to read lowercase ""e"".	0
to the National Congress	November	0
northwest	northwest	1.0
dual radios	the base station has dual radios	0.5714285714285715
as they are banned	He has been unable to take the drugs needed to overcome his pain as they are banned from the Games	0.3636363636363636
encephalitis vaccine	deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides	0
through mosquitos	through mosquitos	1.0
possibly open the door for civil unions	could possibly open the door for civil unions in the future	0.8
to the press	Panama Papers	0
Lo Piccolo	Lo Piccolo	1.0
in Nepal	Nepal	0.6666666666666666
a rabid dog	a rabid dog	1.0
right after his pit-stop	right after his pit-stop	1.0
the suspension damage	suspension damage	1.0
a hearing	bail	0
Actress	Best Actor and Actress	0.4
OHA	stolen their security deposits	0
2,220	2,250	0
34 have been verified to be martian in origin	only about 34 have been verified to be martian in origin	0.9
in 2006	2006	0.6666666666666666
during the 2009 Hungarian Grand Prix	2009	0.33333333333333337
all fifty of its delegates	all fifty of its delegates	1.0
information	scouting and information gathering	0.4
boat	boat	1.0
Four	116	0
in 2007	2007.	0.6666666666666666
the United States	United States	1.0
the economy	heavy reliance on coal exports	0
the Sporting Shooters Association's hunting program	Sporting Shooters Association's hunting program	1.0
moving the device through the air	two sensors	0
the controller	a television remote	0
the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature	the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him	0.8
Bob Dylan	Bob Dylan	1.0
Gordon Johndroe	Gordon Johndroe	1.0
over 1,000	28	0
A power failure	A power failure following a routine fire-command system test caused relief valves to open	0.2857142857142857
waist-high	20 feet	0
flooding	The Ninth Ward	0
how planets form, especially how the Earth formed	how planets form	0.6
take pictures of the police stop	take pictures of the police stop	1.0
240 kilometers an hour (149 miles per hour)	240 kilometers an hour	0.6
just after an early pit stop for Fernando Alonso	2008	0
The aircraft	a major component of both the Russian and Soviet military	0
both female and male individuals	female and male individuals	0.888888888888889
rachis	at least some dinosaurs had feathers	0
in low-income countries	low-income countries	0.8
standard inkjet printers	a tiny printable chip	0
extreme weather conditions	extreme weather conditions	1.0
when he believes life begins	when he believes life begins	1.0
the specifics of likely cases	abortion	0
skywards	8:46 a.m	0
temperature variations	Infrared images show that the temperature variations from night and day show that they are likely caves	0.2222222222222222
Infrared images	Infrared images	1.0
Springboks play Australia	the Springboks	0.5
Johannesburg	next week	0
49	49	1.0
Bolonia	Bolonia	1.0
29 per cent	1,400	0
at the end of Queen Elizabeth II's reign	at the end of Queen Elizabeth II's reign	1.0
Planned Parenthood	Komen Foundation	0
the Oversight and Investigations Subcommittee	Oversight and Investigations Subcommittee	1.0
ASUS	ASUS	1.0
laptop	earlier launched world-wide for cost-saving and functionality factors	0
the boy	Obanazawa Post Office	0
in the second set	after reaching 6-6	0
Murray lost	Murray lost the first set in a tie break	0.4444444444444445
children	school aged children	0.5
The Onion	The Onion	1.0
At 11:20	11:20	0.6666666666666666
bad weather	bad weather	1.0
the storm is far from landfall	the storm is far from landfall	1.0
Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666
After a week of losses in the midterm election	After a week of losses in the midterm election	1.0
fund extra carriages	Today's announcement also extended the government's commitment made in March of this year to fund extra carriages	0.3157894736842105
presidential commission	a presidential commission	1.0
making the sport of gymnastics, and others, as safe as possible	making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment	0.625
Palawan	Puerto Princesa in Palawan	0.4
the press secretary	Donald Trump	0
Turkey	Turkey	1.0
hostile fire	hostile fire	1.0
mountainous	mountainous	1.0
restore eroded sandbars	restore eroded sandbars downstream	0.8571428571428571
7	36 runs loosing 7 wickets	0.33333333333333337
racer	Peter Lenz	0
overcome a fear which is based on the unknown or on not being in control	during a flight may help to overcome a fear which is based on the unknown or on not being in control	0.8387096774193548
Drink alcoholic drinks with moderation	knowing your limit is very important	0
The Canal District	The Canal District	1.0
cultural and historical value	unique cultural and historical value	0.888888888888889
inland	Antarctica	0
in remote areas	remote areas with favorable atmospheric conditions	0.4444444444444444
Central Auckland	Auckland	0.6666666666666666
because it is established by law as the first official language	most signs are indicated only in Catalan because it is established by law as the first official language	0.7407407407407407
people who work with poultry	birdwatchers	0
the Arctic Ocean to the Baltic Sea	The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea	0.7142857142857143
The Portuguese	The Portuguese	1.0
a new republic	a new republic	1.0
Diplomatic arguments	Diplomatic arguments	1.0
more than 2 passengers	having more than 2 passengers	0.888888888888889
Inca	Inca	1.0
Paths, trains and boats	Paths, trains and boats	1.0
Riomaggiore, Manarola, Corniglia, Vernazza and Monterosso	Five Lands	0
readjusting to their native culture	readjusting to their native culture	1.0
Norwegians	17th century	0
US green card	an invitation letter	0
some may be knock-offs	some may be knock-offs	1.0
On the outlying islands	check with the owners in advance to determine what is an acceptable payment method	0
Kerala's temple festivals	November end to Mid of May	0
a microwave oven	microwave oven	1.0
waving	come over	0
the North Kivu province	Goma	0
Permits are limited	Permits are limited	1.0
often covered in heather	treeless moorland often covered in heather	0.8
during winter	Indian summer	0
This	Hong Kong Island	0
the Kowloon waterfront	To get the best views of Hong Kong, leave the island and head for the Kowloon waterfront opposite	0.23529411764705882
safety bars	safety bars that allow a stirrup leather to fall off the saddle if pulled backwards by a falling rider	0.2222222222222222
a heel and a smooth, quite narrow, sole	safety bars that allow a stirrup leather to fall off the saddle if pulled backwards by a falling rider	0
A listing of available hosts	A listing of available hosts	1.0
a typical guest is in their twenties	older travellers	0
the Internet	you do not need to use a phone company located where you live or where you travel	0
Cherry blossom	Cherry blossom	1.0
the emperor	the emperor	1.0
In remote locations, without cell phone coverage	A satellite phone is not generally a replacement for a mobile phone	0.125
to camp on site	camp on site	0.8571428571428571
Fruit juices	beer	0
The Spaniards	The Spaniards	1.0
more comfortable and less crowded	MetroPlus is more comfortable and less crowded but slightly more expensive, though still cheaper than normal metro tickets in Europe	0.4
corner store	Every corner store	0.8
through a toll-free telephone number	toll-free telephone number	0.8571428571428571
immigration check	a formality	0
SkyTeam	Star Alliance	0
elephants and giraffes	elephants and giraffes	1.0
downloading the desired language data	Google Translate	0
yogurt	coconut milk	0
crevasses	flags	0
In the churchyard	Haldarsvík	0
Student visas	Student visas	1.0
an international student	international student	1.0
Sundarbans National Park	The Sundarbans	0.5
to purchase a ticket a few days in advance	purchase a ticket a few days in advance	0.923076923076923
July 2020	1964	0
hot climates	hot	0.6666666666666666
The fabulous riches	head and shoulders	0
phages	phages	1.0
the show	War Memorial Stadium, which was set to be attended by 9,000 people	0
a neighbor	a neighbor	1.0
enough ambiguity in the Afghan constitution	Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary	0.47619047619047616
Police	Daesh (ISIL) militant	0
TogiNet Radio	TogiNet Radio	1.0
geeky	old school	0
Nicklas Backstrom	Alex Ovechkin	0
Alex Ovechkin	Alex Ovechkin	1.0
block	Dump trucks were used to block tube entrances	0.2222222222222222
Simon	Simon	1.0
the quake did not meet the magnitude 6.5 requirement	No tsunami warning	0
The luminosity and rotation	luminosity and rotation	1.0
