Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
Apple	Around 60 cases of malfunctioning iPods overheating have been reported, causing a total of six fires and leaving four people with minor burns	0.0	Apple	Around 60 cases malfunctioning iPods overheating reported , causing total six fires leaving four people minor burns	0.0	0
the phone	reinvent the phone	0.6666666666666666	phone	reinvent phone	0.6666666666666666	0
her presidential candidacy	her intention to run for president	0.2222222222222222	presidential candidacy	intention run president	0.0	0
in La Plata	La Plata	0.8	La Plata	La Plata	1.0	1
had not breached online content censorship laws	Big Brother had not breached online content censorship laws	0.8750000000000001	breached online content censorship laws	Big Brother breached online content censorship laws	0.8333333333333333	0
physically reside on a server	it must physically reside on a server	0.8	physically reside server	must physically reside server	0.8571428571428571	0
John Howard	Peter Costello	0.0	John Howard	Peter Costello	0.0	0
Maciej Krezel	a number of countries have failed to make the medal podium	0.0	Maciej Krezel	number countries failed make medal podium	0.0	0
Finland	the Netherlands	0.0	Finland	Netherlands	0.0	0
53	53	1.0	53	53	1.0	1
Manchester City	Manchester City	1.0	Manchester City	Manchester City	1.0	1
Jack Layton	Jack Layton	1.0	Jack Layton	Jack Layton	1.0	1
the state government and some federal MPs	Prime Minister John Howard	0.0	state government federal MPs	Prime Minister John Howard	0.0	0
crystals	crystals	1.0	crystals	crystals	1.0	1
crystals formed in cat urine	The composition of these crystals matches those found in the urine of affected pets	0.3529411764705882	crystals formed cat urine	composition crystals matches found urine affected pets	0.36363636363636365	0
Tommy Dreamer	Tommy Dreamer	1.0	Tommy Dreamer	Tommy Dreamer	1.0	1
" Dustin """"Goldust"""" Runnels"	"Dustin """"Goldust"""" Runnels"	1.0	Dustin `` '' Goldust '' '' Runnels	Dustin `` '' Goldust '' '' Runnels	1.0	1
to avoid the old path of polluting first and cleaning up later	We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level	0.1290322580645161	avoid old path polluting first cleaning later	endeavour cut carbon dioxide emissions per unit GDP notable margin 2020 2005 level	0.0	0
Ed Davey	Ed Davey	1.0	Ed Davey	Ed Davey	1.0	1
Norman Lamb	Norman Lamb	1.0	Norman Lamb	Norman Lamb	1.0	1
the performers	the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.	0.125	performers	performers smoke cannabis joints stage , theatre encouraging audience join .	0.19999999999999998	0
extravehicular activity (EVA)	Apollo–Soyuz	0.0	extravehicular activity ( EVA )	Apollo–Soyuz	0.0	0
Apollo–Soyuz	Apollo–Soyuz mission	0.6666666666666666	Apollo–Soyuz	Apollo–Soyuz mission	0.6666666666666666	0
Liberal	fiscal conservatives	0.0	Liberal	fiscal conservatives	0.0	0
Skype	It is the biggest acquisition in eBay's history	0.0	Skype	biggest acquisition eBay 's history	0.0	0
diversify its profit sources and gain popularity in areas where Skype holds a strong position	gain popularity in areas where Skype holds a strong position	0.782608695652174	diversify profit sources gain popularity areas Skype holds strong position	gain popularity areas Skype holds strong position	0.8235294117647058	0
the dependency on oil	"Ayatollah Ali Khamenei, has described the dependency on oil as """"a trap"""" dating from before Iran's Islamic revolution in 1979"	0.2857142857142857	dependency oil	Ayatollah Ali Khamenei , described dependency oil `` '' trap '' '' dating Iran 's Islamic revolution 1979	0.2666666666666667	0
a pre-printed sheet of paper indicating their candidate of choice into an envelope	an envelope	0.1666666666666666	pre-printed sheet paper indicating candidate choice envelope	envelope	0.25	0
a lifelong interest in the war	Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war	0.2857142857142857	lifelong interest war	Allen reportedly invested much wealth marine exploration began quest find Musashi lifelong interest war	0.35294117647058826	0
the very high fatality rate	very high fatality rate	1.0	high fatality rate	high fatality rate	1.0	1
two	6,000	0.0	two	6,000	0.0	0
satellite-based technology	satellite-based technology	1.0	satellite-based technology	satellite-based technology	1.0	1
pinpoint aircraft with greater precision	NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year	0.0769230769230769	pinpoint aircraft greater precision	NextGen system FAA claims would allow aircraft fly shorter routes save millions gallons fuel year	0.10526315789473685	0
devote 10 agents to adult pornography	Historians have criticized past FBI policies for focusing resources on cases which are easy to solve	0.0909090909090909	devote 10 agents adult pornography	Historians criticized past FBI policies focusing resources cases easy solve	0.0	0
rolled over	an airport fire vehicle	0.0	rolled	airport fire vehicle	0.0	0
to commercial flights	Squadron Leader Dilokrit Pattavee	0.0	commercial flights	Squadron Leader Dilokrit Pattavee	0.0	0
Carter	Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979	0.0	Carter	Iranian Revolution , led Iran hostage crisis , 1979 ; Soviet invasion Afghanistan , 1979	0.0	0
Henry Kissinger	Brzezinski	0.0	Henry Kissinger	Brzezinski	0.0	0
second claw was larger	western claw	0.3333333333333333	second claw larger	western claw	0.4	0
the 1960s	Algeria	0.0	1960s	Algeria	0.0	0
in St. Peter's Square	St. Peter's Square	0.8571428571428571	St. Peter 's Square	St. Peter 's Square	1.0	1
Uka	Uka	1.0	Uka	Uka	1.0	1
9,000	9,000	1.0	9,000	9,000	1.0	1
US$14.7 billion	10 billion euros (US$14.7 billion)	0.5714285714285715	US $ 14.7 billion	10 billion euros ( US $ 14.7 billion )	0.6666666666666666	0
in marshland near Lyon in the east of France	marshland near Lyon in the east of France	0.9333333333333332	marshland near Lyon east France	marshland near Lyon east France	1.0	1
the 1800s	UN peacekeepers, whom arrived in Haiti after the 2010 earthquake, are being blamed for the spread of the disease	0.0	1800s	UN peacekeepers , arrived Haiti 2010 earthquake , blamed spread disease	0.0	0
the troop's encampment	UN peacekeepers	0.0	troop 's encampment	UN peacekeepers	0.0	0
trespassing	Christopher Garcia	0.0	trespassing	Christopher Garcia	0.0	0
The sign was not physically damaged	the suspected male offender is being investigated for trespassing	0.0	sign physically damaged	suspected male offender investigated trespassing	0.0	0
to the National Congress	Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November	0.3157894736842105	National Congress	Protesters hope collect petition 1.2 million signatures present National Congress November	0.3076923076923077	0
northwest	northwest	1.0	northwest	northwest	1.0	1
dual radios	the base station has dual radios	0.5714285714285715	dual radios	base station dual radios	0.6666666666666666	0
as they are banned	drugs	0.0	banned	drugs	0.0	0
encephalitis vaccine	deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides	0.0	encephalitis vaccine	deployment pig catchers seriously affected areas , distributing thousands mosquito curtains spraying pesticides	0.0	0
through mosquitos	through mosquitos	1.0	mosquitos	mosquitos	1.0	1
possibly open the door for civil unions	could possibly open the door for civil unions in the future	0.8	possibly open door civil unions	could possibly open door civil unions future	0.8333333333333333	0
to the press	Panamanian law firm Mossack Fonseca, leaked to the press	0.4	press	Panamanian law firm Mossack Fonseca , leaked press	0.25	0
Lo Piccolo	police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession	0.0	Lo Piccolo	police concerned couple top-level hits feared might spark full-blown war succession	0.0	0
in Nepal	Nepal	0.6666666666666666	Nepal	Nepal	1.0	1
a rabid dog	a rabid dog	1.0	rabid dog	rabid dog	1.0	1
right after his pit-stop	pit-stop	0.4	right pit-stop	pit-stop	0.6666666666666666	0
the suspension damage	Giancarlo Fisichella lost control of his car and ended the race very soon after the start	0.0	suspension damage	Giancarlo Fisichella lost control car ended race soon start	0.0	0
a hearing	a hearing by a court commissioner	0.4	hearing	hearing court commissioner	0.5	0
Actress	Best Actor and Actress	0.4	Actress	Best Actor Actress	0.5	0
OHA	tenants	0.0	OHA	tenants	0.0	0
2,220	2,250	0.0	2,220	2,250	0.0	0
34 have been verified to be martian in origin	Fifteen of these rocks are attributed to the meteorite shower	0.1111111111111111	34 verified martian origin	Fifteen rocks attributed meteorite shower	0.0	0
in 2006	2006	0.6666666666666666	2006	2006	1.0	1
during the 2009 Hungarian Grand Prix	Massa is due to be out for at least the rest of the 2009 season	0.1111111111111111	2009 Hungarian Grand Prix	Massa due least rest 2009 season	0.2	0
all fifty of its delegates	all fifty of its delegates	1.0	fifty delegates	fifty delegates	1.0	1
information	10 gunmen from the Pakistani militant group Laskhar-e-Taiba	0.0	information	10 gunmen Pakistani militant group Laskhar-e-Taiba	0.0	0
boat	boat	1.0	boat	boat	1.0	1
Four	116	0.0	Four	116	0.0	0
in 2007	Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.	0.2352941176470588	2007	Northern Rock required support due exposure subprime mortgage crisis 2007 .	0.18181818181818182	0
the United States	United States	1.0	United States	United States	1.0	1
the economy	heavy reliance on coal exports	0.0	economy	heavy reliance coal exports	0.0	0
the Sporting Shooters Association's hunting program	supplementary pest control trial	0.0	Sporting Shooters Association 's hunting program	supplementary pest control trial	0.0	0
moving the device through the air	two sensors	0.0	moving device air	two sensors	0.0	0
the controller	Resembling a television remote	0.0	controller	Resembling television remote	0.0	0
the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature	the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him	0.8	committee , unable reach Bob Dylan directly winning 2016 Nobel Prize Literature	committee , unable reach Bob Dylan directly winning 2016 Nobel Prize Literature , abandoned efforts reach	0.88	0
Bob Dylan	Bob Dylan	1.0	Bob Dylan	Bob Dylan	1.0	1
Gordon Johndroe	Gordon Johndroe	1.0	Gordon Johndroe	Gordon Johndroe	1.0	1
over 1,000	Sweden	0.0	1,000	Sweden	0.0	0
A power failure	A power failure	1.0	power failure	power failure	1.0	1
waist-high	20 feet	0.0	waist-high	20 feet	0.0	0
flooding	The Ninth Ward, which saw flooding as high as 20 feet	0.1818181818181818	flooding	Ninth Ward , saw flooding high 20 feet	0.25	0
how planets form, especially how the Earth formed	how planets form	0.6	planets form , especially Earth formed	planets form	0.5714285714285715	0
take pictures of the police stop	the photographer stopped his vehicle on the other side of Sepulveda Boulevard	0.1333333333333333	take pictures police stop	photographer stopped vehicle side Sepulveda Boulevard	0.0	0
240 kilometers an hour (149 miles per hour)	At its peak	0.0	240 kilometers hour ( 149 miles per hour )	peak	0.0	0
just after an early pit stop for Fernando Alonso	Piquet Jr.	0.0	early pit stop Fernando Alonso	Piquet Jr .	0.0	0
The aircraft	The Il-76 has been a major component of both the Russian and Soviet military since the 1970s	0.0	aircraft	Il-76 major component Russian Soviet military since 1970s	0.0	0
both female and male individuals	contraception medication be considered a medical necessity	0.0	female male individuals	contraception medication considered medical necessity	0.0	0
rachis	confirms that at least some dinosaurs had feathers	0.0	rachis	confirms least dinosaurs feathers	0.0	0
in low-income countries	low-income countries	0.8	low-income countries	low-income countries	1.0	1
standard inkjet printers	a tiny printable chip	0.0	standard inkjet printers	tiny printable chip	0.0	0
extreme weather conditions	extreme weather conditions	1.0	extreme weather conditions	extreme weather conditions	1.0	1
when he believes life begins	when he believes life begins	1.0	believes life begins	believes life begins	1.0	1
the specifics of likely cases	when he believes life begins	0.0	specifics likely cases	believes life begins	0.0	0
skywards	8:46 a.m.	0.0	skywards	8:46 a.m .	0.0	0
temperature variations	Infrared images show that the temperature variations from night and day show that they are likely caves	0.2222222222222222	temperature variations	Infrared images show temperature variations night day show likely caves	0.33333333333333337	0
Infrared images	deep holes in the ground	0.0	Infrared images	deep holes ground	0.0	0
Springboks play Australia	All Blacks (New Zealand	0.0	Springboks play Australia	Blacks ( New Zealand	0.0	0
Johannesburg	Ellis Park in Johannesburg	0.4	Johannesburg	Ellis Park Johannesburg	0.5	0
49	49	1.0	49	49	1.0	1
Bolonia	Bolonia	1.0	Bolonia	Bolonia	1.0	1
29 per cent	those who oppose Australia becoming a republic grew by 8 per cent since 2008.	0.25	29 per cent	oppose Australia becoming republic grew 8 per cent since 2008 .	0.30769230769230765	0
at the end of Queen Elizabeth II's reign	Australia should become a republic at the end of Queen Elizabeth II's reign	0.7777777777777778	end Queen Elizabeth II 's reign	Australia become republic end Queen Elizabeth II 's reign	0.8	0
Planned Parenthood	Planned Parenthood	1.0	Planned Parenthood	Planned Parenthood	1.0	1
the Oversight and Investigations Subcommittee	Oversight and Investigations Subcommittee	1.0	Oversight Investigations Subcommittee	Oversight Investigations Subcommittee	1.0	1
ASUS	ASUS	1.0	ASUS	ASUS	1.0	1
laptop	earlier launched world-wide for cost-saving and functionality factors	0.0	laptop	earlier launched world-wide cost-saving functionality factors	0.0	0
the boy	the boy had hidden more than 600 postal documents	0.2222222222222222	boy	boy hidden 600 postal documents	0.33333333333333337	0
in the second set	a tie break	0.0	second set	tie break	0.0	0
Murray lost	Murray lost the first set in a tie break	0.4444444444444445	Murray lost	Murray lost first set tie break	0.5	0
children	school aged children	0.5	children	school aged children	0.5	0
The Onion	The Onion	1.0	Onion	Onion	1.0	1
At 11:20	11:20	0.6666666666666666	11:20	11:20	1.0	1
bad weather	The Twin Otter	0.0	bad weather	Twin Otter	0.0	0
the storm is far from landfall	it remains difficult to assess potential impact to the United States or Caribbean	0.0	storm far landfall	remains difficult assess potential impact United States Caribbean	0.0	0
Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666	Deputy Prime Minister Wong Kan Seng	Wong Kan Seng	0.6666666666666666	0
After a week of losses in the midterm election	Bush told an audience about the expansion of trade in Asia	0.25	week losses midterm election	Bush told audience expansion trade Asia	0.0	0
fund extra carriages	Today's announcement also extended the government's commitment made in March of this year to fund extra carriages	0.3157894736842105	fund extra carriages	Today 's announcement also extended government 's commitment made March year fund extra carriages	0.35294117647058826	0
presidential commission	a presidential commission	1.0	presidential commission	presidential commission	1.0	1
making the sport of gymnastics, and others, as safe as possible	making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment	0.625	making sport gymnastics , others , safe possible	making sport gymnastics , others , safe possible athletes follow dreams safe , positive empowered environment	0.631578947368421	0
Palawan	Puerto Princesa in Palawan	0.4	Palawan	Puerto Princesa Palawan	0.5	0
the press secretary	Donald Trump	0.0	press secretary	Donald Trump	0.0	0
Turkey	Turkey	1.0	Turkey	Turkey	1.0	1
hostile fire	hostile fire	1.0	hostile fire	hostile fire	1.0	1
mountainous	mountainous	1.0	mountainous	mountainous	1.0	1
restore eroded sandbars	officials are hoping it will be enough to restore eroded sandbars downstream	0.4	restore eroded sandbars	officials hoping enough restore eroded sandbars downstream	0.6	0
7	70	0.0	7	70	0.0	0
racer	Peter Lenz, a 13-year-old motorcycle racer, has died	0.25	racer	Peter Lenz , 13-year-old motorcycle racer , died	0.2857142857142857	0
overcome a fear which is based on the unknown or on not being in control	may help to overcome a fear which is based on the unknown or on not being in control	0.896551724137931	overcome fear based unknown control	may help overcome fear based unknown control	0.8333333333333333	0
Drink alcoholic drinks with moderation	liver damage and even blindness and death. The potential danger is increased when consuming illegally produced alcohol	0.0	Drink alcoholic drinks moderation	liver damage even blindness death . potential danger increased consuming illegally produced alcohol	0.0	0
The Canal District	The Canal District	1.0	Canal District	Canal District	1.0	1
cultural and historical value	The whole district is designated as a UNESCO World Heritage Site for its unique cultural and historical value	0.4	cultural historical value	whole district designated UNESCO World Heritage Site unique cultural historical value	0.42857142857142855	0
inland	Antarctica	0.0	inland	Antarctica	0.0	0
in remote areas	remote areas with favorable atmospheric conditions	0.4444444444444444	remote areas	remote areas favorable atmospheric conditions	0.5714285714285715	0
Central Auckland	Tamaki Drive beaches are on the Waitemata Harbour, in the upmarket suburbs of Mission Bay and St Heliers in Central Auckland	0.1904761904761905	Central Auckland	Tamaki Drive beaches Waitemata Harbour , upmarket suburbs Mission Bay St Heliers Central Auckland	0.2666666666666667	0
because it is established by law as the first official language	because it is established by law as the first official language	1.0	established law first official language	established law first official language	1.0	1
people who work with poultry	birdwatchers	0.0	people work poultry	birdwatchers	0.0	0
the Arctic Ocean to the Baltic Sea	The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg	0.4545454545454545	Arctic Ocean Baltic Sea	White Sea–Baltic Canal connects Arctic Ocean Baltic Sea , via Lake Onega , Lake Ladoga Saint Petersburg	0.4210526315789474	0
The Portuguese	The Portuguese	1.0	Portuguese	Portuguese	1.0	1
a new republic	a new republic	1.0	new republic	new republic	1.0	1
Diplomatic arguments	Diplomatic arguments	1.0	Diplomatic arguments	Diplomatic arguments	1.0	1
more than 2 passengers	There is a surcharge for having more than 2 passengers	0.6153846153846153	2 passengers	surcharge 2 passengers	0.8	0
Inca	Inca	1.0	Inca	Inca	1.0	1
Paths, trains and boats	Liguria	0.0	Paths , trains boats	Liguria	0.0	0
Riomaggiore, Manarola, Corniglia, Vernazza and Monterosso	Cinque Terre, which means Five Lands	0.0	Riomaggiore , Manarola , Corniglia , Vernazza Monterosso	Cinque Terre , means Five Lands	0.0	0
readjusting to their native culture	patience and understanding	0.0	readjusting native culture	patience understanding	0.0	0
Norwegians	Norwegians	1.0	Norwegians	Norwegians	1.0	1
US green card	an invitation letter	0.0	US green card	invitation letter	0.0	0
some may be knock-offs	some may be knock-offs, and the real imported ones may be more expensive than at home	0.4210526315789474	may knock-offs	may knock-offs , real imported ones may expensive home	0.4	0
On the outlying islands	check with the owners in advance to determine what is an acceptable payment method	0.0	outlying islands	check owners advance determine acceptable payment method	0.0	0
Kerala's temple festivals	Kerala	0.0	Kerala 's temple festivals	Kerala	0.4	0
a microwave oven	microwave oven	1.0	microwave oven	microwave oven	1.0	1
waving	come over	0.0	waving	come	0.0	0
the North Kivu province	any visits outside of Goma should be researched to understand the state of the fighting that persists in the North Kivu province	0.2727272727272727	North Kivu province	visits outside Goma researched understand state fighting persists North Kivu province	0.42857142857142855	0
Permits are limited	Permits are limited	1.0	Permits limited	Permits limited	1.0	1
often covered in heather	"Rogaland and Agder they are usually called """"hei"""" meaning a treeless moorland often covered in heather"	0.4210526315789474	often covered heather	Rogaland Agder usually called `` '' hei '' '' meaning treeless moorland often covered heather	0.42857142857142855	0
during winter	many hill stations receiving healthy amounts of snow and offering activities such as skiing and snowboarding	0.0	winter	many hill stations receiving healthy amounts snow offering activities skiing snowboarding	0.0	0
This	Hong Kong Island	0.0		Hong Kong Island	0.0	0
the Kowloon waterfront	Kowloon waterfront	1.0	Kowloon waterfront	Kowloon waterfront	1.0	1
safety bars	Stirrups	0.0	safety bars	Stirrups	0.0	0
a heel and a smooth, quite narrow, sole	Stirrups	0.0	heel smooth , quite narrow , sole	Stirrups	0.0	0
A listing of available hosts	A listing of available hosts	1.0	listing available hosts	listing available hosts	1.0	1
a typical guest is in their twenties	Hostels cater primarily to young people – a typical guest is in their twenties	0.631578947368421	typical guest twenties	Hostels cater primarily young people – typical guest twenties	0.5	0
the Internet	There is also no requirement that you obtain a local number from the community in which you live	0.0	Internet	also requirement obtain local number community live	0.0	0
Cherry blossom	Cherry blossom viewing	0.8	Cherry blossom	Cherry blossom viewing	0.8	0
the emperor	the emperor	1.0	emperor	emperor	1.0	1
In remote locations, without cell phone coverage	A satellite phone is not generally a replacement for a mobile phone	0.125	remote locations , without cell phone coverage	satellite phone generally replacement mobile phone	0.16666666666666666	0
