Reference	Predection	F1_score
المتظاهرين	المتظاهرين في الجنوب حالة الفوضى	0.33333333333333337
سكان مدينة ""بشكيك""	العديد من سكان مدينة ""بشكيك""	0.7499999999999999
في عام 2013	2013	0.5
عندما لم يكن جرس بابه مسموعاً من متجره ف مرآب منزله	2013	0
كتب	كتب يجب على الأطفال أن يبحثوا عنها عندما يتوجه كل منهم إلى المكتبة	0.14285714285714288
أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	1.0
أربعة	أربعة	1.0
 Apple 	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0
الهاتف	سنصنع التاريخ اليوم	0
عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0
في لابلاتا	٢٠٠٥	0
لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	برنامج الأخ الأكبر لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	0.8695652173913044
يجب أن يكون موجوداً على الخادم بشكل ملموس	يجب أن يكون موجوداً على الخادم بشكل ملموس	1.0
جون هاوارد	بيتر كوستيلو	0
ماسيج كريزيل	ماسيج كريزيل	1.0
فنلندا	فنلندا	1.0
53	53	1.0
مانشستر سيتي	بالميراس	0
جاك ليتون	جاك ليتون	1.0
حكومة الولاية وبعض النواب الفيدراليين	حكومة الولاية وبعض النواب الفيدراليين	1.0
بلورات	بلورات	1.0
بلورات تتشكل في بول القطط	بلورات تتشكل في بول القطط	1.0
تومي دريمر	تومي دريمر	1.0
داستن ""جولدست"" رانلز	داستن ""جولدست"" رانلز	1.0
تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	1.0
إيد ديفي 	نورمان لامب	0
نورمان لامب 	نورمان لامب	1.0
الفنانون	الفنانون	1.0
نشاط مأهول خارج المركبة ( EVA )	EVA	0.33333333333333337
أبولو سويوز	أبولو سويوز	1.0
الليبرالي	المحافظين الماليين	0
سكايب	الصين، وأوروبا الشرقية، والبرازيل	0
تنويع مصادر ربحها واكتساب شعبية في المناطق التي يحتل فيها سكايب مكانة قوية	تنويع مصادر ربحها واكتساب شعبية في المناطق التي يحتل فيها سكايب مكانة قوية	1.0
الاعتماد على النفط	الاعتماد على النفط	1.0
 ويضعون ورقة مطبوعة بشكل مسبق مشيرة إلى مرشحهم المفضل في ظرف	صندوق الاقتراع	0
اهتمامه بالحرب الذي استمر طوال حياته	اهتمامه بالحرب	0.5
معدل الوفيات المرتفع جداً	شكل البكتيريا المتغير الجديد ""مثير للقلق ومروّع للغاية بسبب معدل الوفيات المرتفع	0.375
اثنين	اثنين	1.0
 مرتبطة بالأقمار الاصطناعية 	تقنية مرتبطة بالأقمار الاصطناعية	0.8571428571428571
بتحديد مكان طائرة بدقة أعلى	تقنية مرتبطة بالأقمار الاصطناعية	0
يخصص 10 عملاء للمواد الإباحية للبالغين	يخصص 10 عملاء للمواد الإباحية للبالغين	1.0
انقلاب	انقلاب	1.0
 أمام الرحلات الجوية التجارية	وانفجرت	0
كارتر	كارتر	1.0
لهنري كيسنجر	بريجنسكي	0
مخلبه الثاني كان أكبر	الريش الكامل والدم الحار	0
الستينيات	الستينيات	1.0
في ساحة القديس بطرس.	ساحة القديس بطرس	0.8571428571428571
 '' أوكا '' '' 	أوكا	1.0
9000	9000	1.0
14.7 مليار دولار أمريكي	14.7 مليار دولار أمريكي	1.0
في مستنقعات بالقرب من ليون في شرق فرنسا.	فرنسا	0.2222222222222222
منذ القرن التاسع عشر	القرن التاسع عشر	0.8571428571428571
مُعسكر القوات	نفايات معسكر الأمم المتّحدة	0
التعدّي على ممتلكات الغيْر	التعدّي على ممتلكات الغيْر	1.0
لم يمسس اللافتة ضرر	تغيير شكل حرف ال""O"" ليبدو كحرف ""e"".	0
إلى الجمعية الوطنية	الجمعية الوطنية	0.8
الشمال الغربي.	الشمال الغربي	1.0
لأجهزة راديو مزدوجة 	امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.6666666666666666
استخدامها ممنوع في الألعاب	استخدامها ممنوع في الألعاب	1.0
لقاح التهاب الدماغ،	نشر من يصطاد الخنازير في المناطق المصابة بشدة	0
من خلال الخنازير،	البعوض	0
منع الاتحادات المدنية لشخصين من نفس الجنس	قد يفتح فشل الجملة الثانية، التي تقترح منع الاتحادات المدنية لشخصين من نفس الجنس، الباب للاتحادات المدنية في المستقبل	0.46153846153846156
 للصحافة 	للصحافة	1.0
للو بيكولو	للو بيكولو	1.0
في نيبال	نيبال	0.6666666666666666
كلب مسعور	قراصنة	0
مباشرةً بعد التوقف للصيانة	التوقف للصيانة	0.6666666666666666
 بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571
جلسة استماع	وكيل المحكمة جلسة استماع	0.6666666666666666
ممثلة	أفضل فيلمٍ ومخرجٍ وتصويرٍ سينمائيٍّ	0
هيئة الإسكان 	هيئة الإسكان في أوكلاند	0.6666666666666666
2,220	2250	0
جرى التحقق من أن أصل حوالي 34 فقط	مؤكدة كيميائيًا	0
في عام2006	2006	0
خلال سباق جائزة المجر الكبرى عام 2009.	2009.	0.25
جميع أصوات مندوبيها الخمسين	جميع أصوات مندوبيها الخمسين	1.0
المعلومات	المعلومات	1.0
قارب	قارب	1.0
أربع	45	0
في عام 2007	2007.	0.5
الولايات المتحدة	الولايات المتحدة	1.0
الاقتصاد	سيضر بالاقتصاد	0
برنامج الصيد التابع للجمعية	تجربة مكافحة الآفات التكميلية	0
التلويح بالجهاز في الهواء	التلويح بالجهاز في الهواء	1.0
 نظام التحكم	نينتندو الثوري	0
اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016	أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها	0.878048780487805
بوب ديلان	بوب ديلان	1.0
جوردون جوندرو	جوردون جوندرو	1.0
أكثر من 1,000	1,000	0.5
 عطل كهربائي	عطل كهربائي	1.0
20 قدماً	20 قدماً	1.0
فيضاناً	شهد فيضاناً يصل ارتفاعه إلى 20 قدماً	0.25
كيفية تشكل الكواكب، وعلى الأخص كيف تشكلت الأرض	كيفية تشكل الكواكب	0.36363636363636365
التقاط صور لحاجز الشرطة	التقاط صور لحاجز الشرطة	1.0
240 كيلومتراً في الساعة (149 ميلاً في الساعة)	240 كيلومتراً في الساعة	0.6666666666666666
بعد توقف فيرناندو ألونسو المبكر	2008	0
الطائرة	مكوناً رئيسياً لكل من الجيشين الروسي والسوفيتي منذ سبعينيات القرن العشرين	0
إناث وذكور	إناث وذكور	1.0
محور النورة	محوراً متطوراً بالكامل	0
في البلدان ذوات الدخل المنخفض	البلدان ذوات الدخل المنخفض	0.888888888888889
طابعات نفاثة للحبر	طابعات نفاثة للحبر قياسية	0.8571428571428571
الظروف الجوية القاسية	الظروف الجوية القاسية	1.0
متى يعتقد أن تبدأ الحياة	متى يعتقد أن تبدأ الحياة	1.0
التعليق على تفاصيل الحالات المحتملة	متى يعتقد أن تبدأ الحياة	0
نحو السماء 	السماء	0.6666666666666666
التغيرات في درجات الحرارة	التغيرات في درجات الحرارة بين الليل والنهار	0.7272727272727273
صور الأشعة تحت الحمراء	صور الأشعة تحت الحمراء	1.0
منتخب جنوب أفريقيا للرغبي أستراليا	منتخب جنوب أفريقيا للرغبي أستراليا	1.0
جوهانسبرغ	ملعب إليس بارك في جوهانسبرغ	0.33333333333333337
49	49	1.0
بولونياا	بولونيا	0
29%	29%	1.0
في نهاية عهد الملكة إليزابيث الثانية	نهاية عهد الملكة إليزابيث الثانية	0.9090909090909091
تنظيم الأبوة	تنظيم الأبوة	1.0
للجنة الفرعية للرقابة والتحقيقات	لجنة الفرعية للرقابة والتحقيقات	0.75
أسوس	أسوس	1.0
أجهزة الحاسوب المحمولة	أُطلق في وقت سابق في جميع أنحاء العالم لعوامل توفير التكاليف والقدرة الوظيفية	0
الصبي	الصبي	1.0
في هذه المرحلة	المجموعة الثانية	0
خسر موراي	خسر	0.6666666666666666
أطفال	أطفال في سن المدرسة	0.4
ذي أنيون	ذي أنيون	1.0
عند الساعة 11:20	11:20	0.5
سوء الأحوال الجوية	سوء الأحوال الجوية	1.0
العاصفة بعيدة عن اليابسة	العاصفة بعيدة عن اليابسة	1.0
نائب رئيس الوزراء السنغافوري وونغ كان سينغ	وونغ كان سينغ	0.6
بعد أسبوعٍ من الخسائر في انتخابات التجديد النصفي	بعد أسبوعٍ من الخسائر في انتخابات التجديد النصفي	1.0
تمويل عربات قطار إضافية	تمديد التزام الحكومة الذي وعدت به في مارس هذا العام بتمويل عربات قطار إضافية	0.3333333333333333
لجنة رئاسية	لجنة رئاسية	1.0
جعل رياضة الجمباز وغيرها، آمنةً قدر الإمكان	جعل رياضة الجمباز وغيرها، آمنةً قدر الإمكان للرياضيين	0.9333333333333333
بالاوان	بويرتو برنسيسا في بالاوان	0.4
السكرتير الصحفي	دونالد ترامب	0
تركيا	تركيا	1.0
نيران عدائية	لنيران عدائية	0.5
الجبلية	الجبلية	1.0
استعادة قضبان الرمال المتآكلة	استعادة قضبان الرمال المتآكلة في اتجاه مجرى النهر	0.6666666666666666
7	7 تسديدات	0.6666666666666666
متسابق	زميله	0
الخوف الذي ينبع من المجهول أو من عدم السيطرة	التغلب على الخوف الذي ينبع من المجهول أو من عدم السيطرة	0.9
شرب المشروبات الروحية باعتدال	قم بشرب المشروبات الروحية باعتدال	0.6666666666666665
حي القناة	حي القناة	1.0
لقيمتها الثقافية والتاريخية الفريدة	قيمتها الثقافية والتاريخية الفريدة	0.75
الداخل	الداخل	1.0
في المناطق النائيّة	المناطق النائيّة ذات الظّروف الجويّة الملائمة	0.4444444444444444
شواطئ نورث شور	شواطئ نورث شور	1.0
لأنها وبموجب القانون تعتبر اللغة الرسمية الأولى	وبموجب القانون تعتبر اللغة الرسمية الأولى	0.923076923076923
الأشخاص الذين يعملون في قطاع الدواجن	الأشخاص الذين يعملون في قطاع الدواجن	1.0
المحيط المتجمد الشمالي ببحر البلطيق	المحيط المتجمد الشمالي	0.7499999999999999
البرتغاليون	البرتغاليون	1.0
جمهورية جديدة	أُنشئت جمهورية جديدة	0.8
السجال الدبلوماسي	السجال الدبلوماسي حول المنطقة	0.6666666666666666
وجودِ أكثر من مسافرين	رسم إضافي في حالة وجودِ أكثر من مسافرين	0.6666666666666666
 الإنكا	الإنكا	1.0
الطرق والقطارات والقوارب	تربط الطرق والقطارات والقوارب	0.8571428571428571
ريوماغيوري ومانارولا وكورنيغليا وفيرنازا ومونتيروسو	خمسة أراضي	0
إعادة التكيف مع ثقافتهم الأصلية	إعادة التكيف مع ثقافتهم الأصلية	1.0
النرويجيين	النرويجيين	1.0
لبطاقة الإقامة الأمريكية الدائمة	لبطاقة الإقامة الأمريكية الدائمة	1.0
قد يكون بعضها مقلدة	قد تواجه الإطارات ذات العلامات التجارية الراقية المتوفرة في هذه المناطق مشكلتين	0.125
في الجزر النائية	تحقق مسبقًا مع المالكين لمعرفة طرق الدفع المقبولة	0
مهرجانات معبد كيرالا	معبد كيرالا	0.8
فرن ميكروويف	أقسام أطعمة جاهزة أكثر تنوعاً. حتى أن بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام	0.2222222222222222
التلويح	حني السبابة اتجاه الجسم	0
مقاطعة شمال ""كيفو""	غوما	0
تقتصر التصاريح	تقتصر التصاريح	1.0
غالباً ما تكون مغطاة بالخلنج	المستنقعات الخالية من الأشجار التي غالباً ما تكون مغطاة بالخلنج	0.6666666666666666
خلال الشتاء	الشتاء	0.6666666666666666
هذا	دليلٍ على الماضي الاستعماريِّ للمنطقة، فهذا مكانٌ جيدٌ للبدء	0
كولون البحرية في الجهة المقابلة	جزيرة هونج كونج	0
قضبان أمان	السروج الإنجليزية	0
الكعب والنعل الناعم الضيق للغاية	الكعب والنعل الناعم الضيق للغاية	1.0
قائمة بالمستضيفين المتوفيين	قائمة بالمستضيفين المتوفيين	1.0
ضيفها المعتاد في العشرينيات من عمره	مسافرين أكبر سناً	0
الإنترنت	شراء رقم عالمي بشكل منفصل	0
أزهار الكرز	مشاهدة أزهار الكرز	0.8
الإمبراطور	الإمبراطور	1.0
في المواقع البعيدة، مع غياب تغطية الهاتف الخلوي	في المواقع البعيدة، مع غياب تغطية الهاتف الخلوي	1.0
التخييم في الموقع	التخييم في الموقع	1.0
عصائر الفاكهة	عصائر الفاكهة	1.0
الإسبان	الإسبان	1.0
أكثر راحة وأقل ازدحامًا	تكون عربات الدرجة الأولى دائماً في نهاية القطار الأقرب لمدينة كيب تاون	0
متجر بقالة	متجر بقالة	1.0
عن طريق رقم هاتف مجاني	تتخصص بعض البطاقات في تقديم أسعار مكالمات مواتية لمجموعات محددة من البلدان	0
فحص الهجرة	فحص الهجرة	1.0
سكاي تيم	سكاي تيم	1.0
الفيلة والزراف	الفيلة والزراف	1.0
تنزيل بيانات اللغة التي تريدها	Google	0
الزبادي	جنوب الهند	0
شقوق	الجرارات المتخصصة، وسحب الزلاجات المحملة بالوقود والإمدادات	0
في باحة الكنيسة	هالدارسفيك	0
تأشيرات الطلاب	تأشيرات الطلاب	1.0
كطالب دولي	طالب دولي	0.5
منتزه سونداربانس الوطني	منتزه سونداربانس الوطني	1.0
شراء التذاكر مسبقاً قبل بضعة أيام	شراء التذاكر مسبقاً قبل بضعة أيام	1.0
تموز عام 2020	1964	0
المناخات الحارة	المناخات الحارة	1.0
الثروات	الرأس والكتفين	0
العاثيات	العاثيات أو الفيروسات	0.5
العرض	العرض	1.0
أحد الجيران	أحد الجيران	1.0
ما يكفي من التباس في الدستور الأفغاني	عثروا على ما يكفي من التباس في الدستور الأفغاني	0.8750000000000001
الشرطة	مكتب المحافظ	0
توجي نت راديو	موقع راديو الإنترنت	0.3333333333333333
غريب الأطوار	مسرح إذاعي على الطريقة القديمة، بانعطاف غريب الأطوار، جديد وصارخ!	0.16666666666666669
نيكلاس باكستروم	نيكلاس باكستروم	1.0
أليكس أوفيتشكين	أليكس أوفيتشكين	1.0
لإغلاق	وتم استعمال شاحنات التفريغ لإغلاق مداخل النفق	0.25
سايمون	بروكس وكرونينغ	0
الزلزال لم يستوف متطلبات 6.5 درجة	الزلزال لم يستوف متطلبات 6.5 درجة	1.0
الضيائيّة والدوران	الضيائيّة والدوران	1.0
